,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
250,Garrett,746,Garrett Precinct 08-002,735,22,263,11,746,1,0.985254691689008,0.014745308310991957,461,0.029490616621983913,0.35254691689008044,0.6179624664879356
251,Garrett,572,Garrett Precinct 08-001,565,31,218,7,572,1,0.9877622377622378,0.012237762237762238,323,0.05419580419580419,0.3811188811188811,0.5646853146853147
252,Garrett,1056,Garrett Precinct 14-002,1037,50,416,19,1056,1,0.9820075757575758,0.017992424242424244,590,0.04734848484848485,0.3939393939393939,0.5587121212121212
253,Garrett,1898,Garrett Precinct 07-000,1852,81,432,46,1898,1,0.9757639620653319,0.02423603793466807,1385,0.04267650158061117,0.22760800842992623,0.7297154899894626
254,Garrett,2642,Garrett Precinct 16-000,2604,106,746,38,2642,1,0.9856169568508706,0.014383043149129448,1790,0.04012112036336109,0.28236184708554124,0.6775170325510976
255,Garrett,1535,Garrett Precinct 10-000,1521,80,518,14,1535,1,0.9908794788273616,0.009120521172638436,937,0.05211726384364821,0.33745928338762216,0.6104234527687297
256,Garrett,2412,Garrett Precinct 14-001,2373,110,576,39,2412,1,0.9838308457711443,0.01616915422885572,1726,0.04560530679933665,0.23880597014925373,0.7155887230514096
257,Garrett,1811,Garrett Precinct 06-000,1677,155,498,134,1811,1,0.9260077305356157,0.07399226946438432,1158,0.08558807288790723,0.27498619547211484,0.639425731639978
258,Garrett,562,Garrett Precinct 13-000,558,31,194,4,562,1,0.9928825622775801,0.0071174377224199285,337,0.05516014234875445,0.34519572953736655,0.599644128113879
259,Garrett,1486,Garrett Precinct 01-000,1470,115,530,16,1486,1,0.9892328398384926,0.010767160161507403,841,0.07738896366083446,0.3566621803499327,0.5659488559892328
260,Garrett,1547,Garrett Precinct 02-000,1514,134,582,33,1547,1,0.9786683904330963,0.021331609566903685,831,0.08661926308985132,0.3762120232708468,0.5371687136393019
261,Garrett,1443,Garrett Precinct 05-000,1420,136,604,23,1443,1,0.9840609840609841,0.01593901593901594,703,0.09424809424809424,0.41857241857241856,0.48717948717948717
262,Garrett,725,Garrett Precinct 12-000,708,35,286,17,725,1,0.976551724137931,0.023448275862068966,404,0.04827586206896552,0.39448275862068966,0.5572413793103448
263,Garrett,655,Garrett Precinct 04-000,637,26,279,18,655,1,0.9725190839694656,0.02748091603053435,350,0.03969465648854962,0.4259541984732824,0.5343511450381679
264,Garrett,140,Garrett Precinct 11-000,136,5,63,4,140,1,0.9714285714285714,0.02857142857142857,72,0.03571428571428571,0.45,0.5142857142857142
269,Garrett,627,Garrett Precinct 03-002,615,34,222,12,627,1,0.9808612440191388,0.019138755980861243,371,0.05422647527910686,0.35406698564593303,0.5917065390749602
270,Garrett,2171,Garrett Precinct 03-001,2136,98,701,35,2171,1,0.9838783970520497,0.016121602947950252,1372,0.04514048825426071,0.32289267618608936,0.6319668355596499
271,Garrett,421,Garrett Precinct 15-000,419,36,201,2,421,1,0.995249406175772,0.004750593824228029,184,0.0855106888361045,0.47743467933491684,0.43705463182897863
272,Garrett,988,Garrett Precinct 09-000,964,95,457,24,988,1,0.9757085020242915,0.024291497975708502,436,0.09615384615384616,0.4625506072874494,0.44129554655870445
