,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,14,0,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,732,0.01876675603217158,0.0,0.9812332439678284
251,Garrett,572,Garrett Precinct 08-001,565,0,2,7,0,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,565,0.012237762237762238,0.0,0.9877622377622378
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,19,1,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,1036,0.017992424242424244,0.000946969696969697,0.9810606060606061
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,47,1,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1850,0.02476290832455216,0.0005268703898840885,0.9747102212855637
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,37,6,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,2599,0.014004542013626041,0.002271006813020439,0.9837244511733535
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,20,1,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,1514,0.013029315960912053,0.0006514657980456026,0.9863192182410423
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,64,2,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,2346,0.026533996683250415,0.0008291873963515755,0.972636815920398
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,34,0,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1777,0.018774157923799006,0.0,0.981225842076201
258,Garrett,562,Garrett Precinct 13-000,558,0,1,11,0,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,551,0.019572953736654804,0.0,0.9804270462633452
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,51,1,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,1434,0.034320323014804845,0.0006729475100942127,0.9650067294751009
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,31,1,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,1515,0.0200387847446671,0.0006464124111182935,0.9793148028442146
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,37,0,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,1406,0.02564102564102564,0.0,0.9743589743589743
262,Garrett,725,Garrett Precinct 12-000,708,15,0,9,0,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,716,0.012413793103448275,0.0,0.9875862068965517
263,Garrett,655,Garrett Precinct 04-000,637,14,3,10,0,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,645,0.015267175572519083,0.0,0.9847328244274809
264,Garrett,140,Garrett Precinct 11-000,136,2,1,2,0,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,138,0.014285714285714285,0.0,0.9857142857142858
269,Garrett,627,Garrett Precinct 03-002,615,1,5,20,0,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,607,0.03189792663476874,0.0,0.9681020733652312
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,34,1,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,2136,0.01566098572086596,0.00046061722708429296,0.9838783970520497
271,Garrett,421,Garrett Precinct 15-000,419,0,1,22,2,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,397,0.052256532066508314,0.004750593824228029,0.9429928741092637
272,Garrett,988,Garrett Precinct 09-000,964,4,10,36,1,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,951,0.03643724696356275,0.0010121457489878543,0.9625506072874493
