,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,24,258,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,464,0.032171581769437,0.34584450402144773,0.6219839142091153
251,Garrett,572,Garrett Precinct 08-001,565,0,2,32,204,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,336,0.055944055944055944,0.35664335664335667,0.5874125874125874
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,55,386,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,615,0.052083333333333336,0.36553030303030304,0.5823863636363636
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,80,424,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1394,0.04214963119072708,0.22339304531085352,0.7344573234984194
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,127,692,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,1823,0.04806964420893263,0.2619227857683573,0.6900075700227101
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,96,477,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,962,0.06254071661237785,0.31074918566775245,0.6267100977198697
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,107,562,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,1743,0.044361525704809286,0.2330016583747927,0.722636815920398
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,151,481,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1179,0.08337934842628382,0.26559911651021534,0.6510215350635008
258,Garrett,562,Garrett Precinct 13-000,558,0,1,49,165,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,348,0.08718861209964412,0.29359430604982206,0.6192170818505338
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,114,524,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,848,0.07671601615074024,0.35262449528936746,0.5706594885598923
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,149,534,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,864,0.09631544925662573,0.3451842275371687,0.5585003232062056
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,132,588,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,723,0.09147609147609148,0.4074844074844075,0.501039501039501
262,Garrett,725,Garrett Precinct 12-000,708,15,0,38,278,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,409,0.05241379310344828,0.383448275862069,0.5641379310344827
263,Garrett,655,Garrett Precinct 04-000,637,14,3,36,256,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,363,0.0549618320610687,0.39083969465648855,0.5541984732824428
264,Garrett,140,Garrett Precinct 11-000,136,2,1,7,55,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,78,0.05,0.39285714285714285,0.5571428571428572
269,Garrett,627,Garrett Precinct 03-002,615,1,5,39,200,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,388,0.06220095693779904,0.3189792663476874,0.6188197767145136
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,127,661,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,1383,0.05849838783970521,0.30446798710271766,0.6370336250575771
271,Garrett,421,Garrett Precinct 15-000,419,0,1,53,158,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,210,0.12589073634204276,0.3752969121140142,0.498812351543943
272,Garrett,988,Garrett Precinct 09-000,964,4,10,127,398,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,463,0.12854251012145748,0.402834008097166,0.4686234817813765
