,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
250,Garrett,746,Garrett Precinct 08-002,735,24,258,11,746,1,0.985254691689008,0.014745308310991957,464,0.032171581769437,0.34584450402144773,0.6219839142091153
251,Garrett,572,Garrett Precinct 08-001,565,32,204,7,572,1,0.9877622377622378,0.012237762237762238,336,0.055944055944055944,0.35664335664335667,0.5874125874125874
252,Garrett,1056,Garrett Precinct 14-002,1037,55,386,19,1056,1,0.9820075757575758,0.017992424242424244,615,0.052083333333333336,0.36553030303030304,0.5823863636363636
253,Garrett,1898,Garrett Precinct 07-000,1852,80,424,46,1898,1,0.9757639620653319,0.02423603793466807,1394,0.04214963119072708,0.22339304531085352,0.7344573234984194
254,Garrett,2642,Garrett Precinct 16-000,2604,127,692,38,2642,1,0.9856169568508706,0.014383043149129448,1823,0.04806964420893263,0.2619227857683573,0.6900075700227101
255,Garrett,1535,Garrett Precinct 10-000,1521,96,477,14,1535,1,0.9908794788273616,0.009120521172638436,962,0.06254071661237785,0.31074918566775245,0.6267100977198697
256,Garrett,2412,Garrett Precinct 14-001,2373,107,562,39,2412,1,0.9838308457711443,0.01616915422885572,1743,0.044361525704809286,0.2330016583747927,0.722636815920398
257,Garrett,1811,Garrett Precinct 06-000,1677,151,481,134,1811,1,0.9260077305356157,0.07399226946438432,1179,0.08337934842628382,0.26559911651021534,0.6510215350635008
258,Garrett,562,Garrett Precinct 13-000,558,49,165,4,562,1,0.9928825622775801,0.0071174377224199285,348,0.08718861209964412,0.29359430604982206,0.6192170818505338
259,Garrett,1486,Garrett Precinct 01-000,1470,114,524,16,1486,1,0.9892328398384926,0.010767160161507403,848,0.07671601615074024,0.35262449528936746,0.5706594885598923
260,Garrett,1547,Garrett Precinct 02-000,1514,149,534,33,1547,1,0.9786683904330963,0.021331609566903685,864,0.09631544925662573,0.3451842275371687,0.5585003232062056
261,Garrett,1443,Garrett Precinct 05-000,1420,132,588,23,1443,1,0.9840609840609841,0.01593901593901594,723,0.09147609147609148,0.4074844074844075,0.501039501039501
262,Garrett,725,Garrett Precinct 12-000,708,38,278,17,725,1,0.976551724137931,0.023448275862068966,409,0.05241379310344828,0.383448275862069,0.5641379310344827
263,Garrett,655,Garrett Precinct 04-000,637,36,256,18,655,1,0.9725190839694656,0.02748091603053435,363,0.0549618320610687,0.39083969465648855,0.5541984732824428
264,Garrett,140,Garrett Precinct 11-000,136,7,55,4,140,1,0.9714285714285714,0.02857142857142857,78,0.05,0.39285714285714285,0.5571428571428572
269,Garrett,627,Garrett Precinct 03-002,615,39,200,12,627,1,0.9808612440191388,0.019138755980861243,388,0.06220095693779904,0.3189792663476874,0.6188197767145136
270,Garrett,2171,Garrett Precinct 03-001,2136,127,661,35,2171,1,0.9838783970520497,0.016121602947950252,1383,0.05849838783970521,0.30446798710271766,0.6370336250575771
271,Garrett,421,Garrett Precinct 15-000,419,53,158,2,421,1,0.995249406175772,0.004750593824228029,210,0.12589073634204276,0.3752969121140142,0.498812351543943
272,Garrett,988,Garrett Precinct 09-000,964,127,398,24,988,1,0.9757085020242915,0.024291497975708502,463,0.12854251012145748,0.402834008097166,0.4686234817813765
