,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
282,Harford,3035,Harford Precinct 03-023,2597,600,531,438,3035,1,0.8556836902800659,0.1443163097199341,1904,0.19769357495881384,0.17495881383855025,0.6273476112026359
283,Harford,3016,Harford Precinct 03-022,2720,633,699,296,3016,1,0.9018567639257294,0.09814323607427056,1684,0.20988063660477455,0.23176392572944296,0.5583554376657824
284,Harford,3085,Harford Precinct 04-001,2968,472,587,117,3085,1,0.9620745542949757,0.03792544570502431,2026,0.15299837925445706,0.19027552674230147,0.6567260940032414
285,Harford,2129,Harford Precinct 04-006,2056,279,404,73,2129,1,0.9657116016909347,0.03428839830906529,1446,0.13104744011272898,0.18976045091592297,0.6791921089713481
286,Harford,2731,Harford Precinct 04-003,2662,494,762,69,2731,1,0.9747345294763823,0.025265470523617724,1475,0.18088612229952397,0.2790186744782131,0.5400952032222629
287,Harford,2632,Harford Precinct 04-004,2493,458,582,139,2632,1,0.9471884498480243,0.05281155015197568,1592,0.17401215805471124,0.22112462006079028,0.6048632218844985
288,Harford,4062,Harford Precinct 03-005,3803,811,1062,259,4062,1,0.9362383062530774,0.0637616937469227,2189,0.1996553421959626,0.2614475627769572,0.5388970950270803
289,Harford,2376,Harford Precinct 05-002,2261,463,608,115,2376,1,0.9515993265993266,0.0484006734006734,1305,0.19486531986531985,0.2558922558922559,0.5492424242424242
290,Harford,1712,Harford Precinct 03-004,1595,331,459,117,1712,1,0.9316588785046729,0.0683411214953271,922,0.1933411214953271,0.26810747663551404,0.5385514018691588
291,Harford,2679,Harford Precinct 05-003,2566,425,713,113,2679,1,0.9578200821201941,0.0421799178798059,1541,0.15864128406121686,0.26614408361328856,0.5752146323254946
292,Harford,1922,Harford Precinct 01-003,1115,302,149,807,1922,1,0.5801248699271592,0.4198751300728408,1471,0.1571279916753382,0.07752341311134235,0.7653485952133194
293,Harford,2731,Harford Precinct 01-005,1671,417,233,1060,2731,1,0.6118637861589161,0.3881362138410839,2081,0.1526913218601245,0.0853167337971439,0.7619919443427317
294,Harford,3854,Harford Precinct 01-010,2529,819,462,1325,3854,1,0.656201349247535,0.34379865075246496,2573,0.21250648676699532,0.11987545407368967,0.667618059159315
295,Harford,3035,Harford Precinct 01-019,1562,564,223,1473,3035,1,0.514662273476112,0.48533772652388796,2248,0.185831960461285,0.07347611202635915,0.7406919275123558
296,Harford,1603,Harford Precinct 02-019,986,115,73,617,1603,1,0.6150966936993137,0.3849033063006862,1415,0.07174048658764816,0.045539613225202745,0.8827199001871491
297,Harford,2076,Harford Precinct 01-018,1562,459,324,514,2076,1,0.7524084778420038,0.24759152215799615,1293,0.22109826589595374,0.15606936416184972,0.6228323699421965
298,Harford,1794,Harford Precinct 01-017,1518,372,381,276,1794,1,0.8461538461538461,0.15384615384615385,1041,0.20735785953177258,0.21237458193979933,0.580267558528428
299,Harford,3477,Harford Precinct 01-016,2382,714,440,1095,3477,1,0.6850733390854185,0.31492666091458155,2323,0.20534943917169973,0.1265458728789186,0.6681046879493816
300,Harford,3030,Harford Precinct 01-020,1753,839,386,1277,3030,1,0.5785478547854785,0.42145214521452146,1805,0.2768976897689769,0.12739273927392739,0.5957095709570958
