,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
282,Harford,3035,Harford Precinct 03-023,2597,80,19,14,8,11,438,3035,1,0.8556836902800659,0.1443163097199341,2903,0.026359143327841845,0.006260296540362438,0.004612850082372323,0.0026359143327841844,0.003624382207578254,0.956507413509061
283,Harford,3016,Harford Precinct 03-022,2720,50,18,14,5,21,296,3016,1,0.9018567639257294,0.09814323607427056,2908,0.016578249336870028,0.005968169761273209,0.004641909814323607,0.0016578249336870027,0.006962864721485411,0.9641909814323607
284,Harford,3085,Harford Precinct 04-001,2968,28,11,16,3,14,117,3085,1,0.9620745542949757,0.03792544570502431,3013,0.00907617504051864,0.003565640194489465,0.005186385737439222,0.0009724473257698541,0.00453808752025932,0.9766612641815235
285,Harford,2129,Harford Precinct 04-006,2056,23,7,9,5,7,73,2129,1,0.9657116016909347,0.03428839830906529,2078,0.010803193987787695,0.0032879286049788633,0.004227336777829967,0.0023485204321277596,0.0032879286049788633,0.9760450915922968
286,Harford,2731,Harford Precinct 04-003,2662,43,15,14,2,14,69,2731,1,0.9747345294763823,0.025265470523617724,2643,0.015745148297326986,0.005492493592090809,0.005126327352618088,0.0007323324789454412,0.005126327352618088,0.9677773709264006
287,Harford,2632,Harford Precinct 04-004,2493,39,19,12,3,15,139,2632,1,0.9471884498480243,0.05281155015197568,2544,0.014817629179331307,0.007218844984802432,0.004559270516717325,0.0011398176291793312,0.0056990881458966565,0.9665653495440729
288,Harford,4062,Harford Precinct 03-005,3803,57,21,20,2,14,259,4062,1,0.9362383062530774,0.0637616937469227,3948,0.014032496307237814,0.0051698670605613,0.004923682914820286,0.0004923682914820286,0.0034465780403741997,0.9719350073855244
289,Harford,2376,Harford Precinct 05-002,2261,33,17,13,2,9,115,2376,1,0.9515993265993266,0.0484006734006734,2302,0.013888888888888888,0.007154882154882155,0.005471380471380472,0.0008417508417508417,0.003787878787878788,0.9688552188552189
290,Harford,1712,Harford Precinct 03-004,1595,37,8,7,2,7,117,1712,1,0.9316588785046729,0.0683411214953271,1651,0.02161214953271028,0.004672897196261682,0.0040887850467289715,0.0011682242990654205,0.0040887850467289715,0.9643691588785047
291,Harford,2679,Harford Precinct 05-003,2566,39,17,13,1,16,113,2679,1,0.9578200821201941,0.0421799178798059,2593,0.014557670772676373,0.006345651362448675,0.0048525569242254575,0.0003732736095558044,0.0059723777528928705,0.9678984695782008
