,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
282,Harford,3035,Harford Precinct 03-023,2597,589,1023,438,3035,1,0.8556836902800659,0.1443163097199341,1423,0.19406919275123558,0.3370675453047776,0.4688632619439868
283,Harford,3016,Harford Precinct 03-022,2720,562,1157,296,3016,1,0.9018567639257294,0.09814323607427056,1297,0.1863395225464191,0.38362068965517243,0.4300397877984085
284,Harford,3085,Harford Precinct 04-001,2968,535,1549,117,3085,1,0.9620745542949757,0.03792544570502431,1001,0.17341977309562398,0.5021069692058346,0.32447325769854135
285,Harford,2129,Harford Precinct 04-006,2056,369,1064,73,2129,1,0.9657116016909347,0.03428839830906529,696,0.17332080789102866,0.4997651479567872,0.3269140441521841
286,Harford,2731,Harford Precinct 04-003,2662,428,1319,69,2731,1,0.9747345294763823,0.025265470523617724,984,0.15671915049432442,0.4829732698645185,0.36030757964115706
287,Harford,2632,Harford Precinct 04-004,2493,396,1256,139,2632,1,0.9471884498480243,0.05281155015197568,980,0.15045592705167174,0.47720364741641336,0.3723404255319149
288,Harford,4062,Harford Precinct 03-005,3803,623,1917,259,4062,1,0.9362383062530774,0.0637616937469227,1522,0.1533727227966519,0.47193500738552435,0.3746922698178237
289,Harford,2376,Harford Precinct 05-002,2261,369,1075,115,2376,1,0.9515993265993266,0.0484006734006734,932,0.1553030303030303,0.4524410774410774,0.39225589225589225
290,Harford,1712,Harford Precinct 03-004,1595,294,775,117,1712,1,0.9316588785046729,0.0683411214953271,643,0.17172897196261683,0.4526869158878505,0.3755841121495327
291,Harford,2679,Harford Precinct 05-003,2566,355,1235,113,2679,1,0.9578200821201941,0.0421799178798059,1089,0.13251213139231055,0.46099290780141844,0.406494960806271
292,Harford,1922,Harford Precinct 01-003,1115,535,327,807,1922,1,0.5801248699271592,0.4198751300728408,1060,0.27835587929240374,0.17013527575442247,0.5515088449531738
293,Harford,2731,Harford Precinct 01-005,1671,733,526,1060,2731,1,0.6118637861589161,0.3881362138410839,1472,0.2683998535335042,0.19260344196265106,0.5389967045038447
294,Harford,3854,Harford Precinct 01-010,2529,999,981,1325,3854,1,0.656201349247535,0.34379865075246496,1874,0.2592112091333679,0.2545407368967307,0.4862480539699014
295,Harford,3035,Harford Precinct 01-019,1562,1086,459,1473,3035,1,0.514662273476112,0.48533772652388796,1490,0.35782537067545306,0.1512355848434926,0.49093904448105435
296,Harford,1603,Harford Precinct 02-019,986,95,79,617,1603,1,0.6150966936993137,0.3849033063006862,1429,0.059263880224578916,0.049282595134123516,0.8914535246412976
297,Harford,2076,Harford Precinct 01-018,1562,544,607,514,2076,1,0.7524084778420038,0.24759152215799615,925,0.26204238921001927,0.2923892100192678,0.4455684007707129
298,Harford,1794,Harford Precinct 01-017,1518,312,625,276,1794,1,0.8461538461538461,0.15384615384615385,857,0.17391304347826086,0.34838350055741363,0.4777034559643255
299,Harford,3477,Harford Precinct 01-016,2382,911,719,1095,3477,1,0.6850733390854185,0.31492666091458155,1847,0.2620074777106701,0.20678746045441473,0.5312050618349151
300,Harford,3030,Harford Precinct 01-020,1753,897,615,1277,3030,1,0.5785478547854785,0.42145214521452146,1518,0.296039603960396,0.20297029702970298,0.500990099009901
301,Harford,2453,Harford Precinct 03-020,2282,417,1057,171,2453,1,0.9302894415002039,0.06971055849979617,979,0.16999592335915206,0.430900937627395,0.3991031390134529
302,Harford,2703,Harford Precinct 03-002,2479,515,1128,224,2703,1,0.9171291157972623,0.0828708842027377,1060,0.1905290418054014,0.41731409544950054,0.39215686274509803
303,Harford,1877,Harford Precinct 02-003,1397,521,417,480,1877,1,0.7442727757059137,0.2557272242940863,939,0.2775705913692062,0.2221630261054875,0.5002663825253063
304,Harford,327,Harford Precinct 02-001,263,65,124,64,327,1,0.8042813455657493,0.19571865443425077,138,0.19877675840978593,0.37920489296636084,0.42201834862385323
305,Harford,2551,Harford Precinct 02-015,1517,897,423,1034,2551,1,0.5946687573500588,0.4053312426499412,1231,0.3516268130145041,0.1658173265386123,0.4825558604468836
306,Harford,3443,Harford Precinct 02-010,1918,964,491,1525,3443,1,0.5570723206505954,0.4429276793494046,1988,0.27998838222480393,0.14260819053151322,0.5774034272436829
307,Harford,2679,Harford Precinct 02-014,1630,669,312,1049,2679,1,0.6084359835759612,0.3915640164240388,1698,0.24972004479283313,0.11646136618141098,0.6338185890257558
308,Harford,2411,Harford Precinct 02-011,1702,634,714,709,2411,1,0.705931148900871,0.294068851099129,1063,0.2629614267938615,0.2961426793861468,0.4408958938199917
309,Harford,264,Harford Precinct 02-004,242,41,82,22,264,1,0.9166666666666666,0.08333333333333333,141,0.1553030303030303,0.3106060606060606,0.5340909090909091
310,Harford,3615,Harford Precinct 02-002,3332,712,1420,283,3615,1,0.9217150760719225,0.07828492392807745,1483,0.19695712309820193,0.39280774550484093,0.4102351313969571
312,Harford,295,Harford Precinct 02-005,242,25,36,53,295,1,0.8203389830508474,0.17966101694915254,234,0.0847457627118644,0.12203389830508475,0.7932203389830509
313,Harford,137,Harford Precinct 06-005,57,70,40,80,137,1,0.41605839416058393,0.583941605839416,27,0.5109489051094891,0.291970802919708,0.19708029197080293
314,Harford,794,Harford Precinct 06-007,641,78,119,153,794,1,0.8073047858942065,0.19269521410579346,597,0.0982367758186398,0.14987405541561713,0.7518891687657431
315,Harford,3367,Harford Precinct 06-006,2576,888,1173,791,3367,1,0.7650727650727651,0.23492723492723494,1306,0.26373626373626374,0.3483813483813484,0.3878823878823879
316,Harford,2179,Harford Precinct 06-003,1655,654,562,524,2179,1,0.7595227168425883,0.24047728315741165,963,0.30013767783386874,0.25791647544745294,0.4419458467186783
317,Harford,2603,Harford Precinct 06-001,1942,662,411,661,2603,1,0.746062235881675,0.253937764118325,1530,0.2543219362274299,0.15789473684210525,0.5877833269304649
318,Harford,340,Harford Precinct 06-004,310,53,69,30,340,1,0.9117647058823529,0.08823529411764706,218,0.15588235294117647,0.20294117647058824,0.6411764705882353
319,Harford,1986,Harford Precinct 06-002,1564,659,786,422,1986,1,0.7875125881168177,0.21248741188318226,541,0.33182275931520644,0.3957703927492447,0.27240684793554887
320,Harford,1712,Harford Precinct 05-004,1537,296,593,175,1712,1,0.8977803738317757,0.1022196261682243,823,0.17289719626168223,0.3463785046728972,0.4807242990654206
321,Harford,2884,Harford Precinct 05-001,2747,437,1193,137,2884,1,0.95249653259362,0.04750346740638003,1254,0.1515256588072122,0.4136615811373093,0.4348127600554785
441,Harford,2560,Harford Precinct 04-002,2438,398,1311,122,2560,1,0.95234375,0.04765625,851,0.15546875,0.512109375,0.332421875
443,Harford,2984,Harford Precinct 03-006,2861,444,1358,123,2984,1,0.9587801608579088,0.04121983914209115,1182,0.1487935656836461,0.4550938337801609,0.396112600536193
444,Harford,3240,Harford Precinct 04-005,3026,540,1472,214,3240,1,0.9339506172839506,0.06604938271604938,1228,0.16666666666666666,0.454320987654321,0.3790123456790123
451,Harford,2747,Harford Precinct 01-045,2393,625,911,354,2747,1,0.8711321441572625,0.12886785584273752,1211,0.22752093192573716,0.3316345103749545,0.44084455769930836
1738,Harford,2157,Harford Precinct 01-002,1667,493,701,490,2157,1,0.7728326379230412,0.22716736207695873,963,0.2285581826611034,0.32498840982846544,0.44645340751043117
1739,Harford,2040,Harford Precinct 01-041,1629,573,664,411,2040,1,0.7985294117647059,0.20147058823529412,803,0.28088235294117647,0.3254901960784314,0.39362745098039215
1740,Harford,3676,Harford Precinct 01-001,1714,1169,374,1962,3676,1,0.4662676822633297,0.5337323177366703,2133,0.3180087051142546,0.10174102285092491,0.5802502720348205
1741,Harford,3478,Harford Precinct 01-004,2572,864,914,906,3478,1,0.7395054629097182,0.26049453709028175,1700,0.2484186313973548,0.26279470960322027,0.48878665899942497
1742,Harford,3873,Harford Precinct 01-006,1543,1211,298,2330,3873,1,0.3983991737671056,0.6016008262328943,2364,0.3126775109734056,0.0769429382907307,0.6103795507358637
1743,Harford,2164,Harford Precinct 03-007,1998,382,950,166,2164,1,0.9232902033271719,0.0767097966728281,832,0.17652495378927913,0.4390018484288355,0.3844731977818854
1744,Harford,2054,Harford Precinct 03-014,1919,323,737,135,2054,1,0.9342745861733204,0.06572541382667965,994,0.1572541382667965,0.3588120740019474,0.48393378773125606
1745,Harford,3462,Harford Precinct 03-003,3325,571,1712,137,3462,1,0.9604274985557482,0.039572501444251874,1179,0.16493356441363374,0.49451184286539573,0.34055459272097055
1746,Harford,2794,Harford Precinct 03-008,2645,494,1186,149,2794,1,0.9466714387974231,0.05332856120257695,1114,0.17680744452397995,0.42448103078024335,0.39871152469577664
1747,Harford,3241,Harford Precinct 03-009,2986,602,1399,255,3241,1,0.9213205800678803,0.07867941993211972,1240,0.1857451403887689,0.431656896019747,0.3825979635914841
1748,Harford,3003,Harford Precinct 03-013,2807,537,1337,196,3003,1,0.9347319347319347,0.06526806526806526,1129,0.17882117882117882,0.44522144522144524,0.37595737595737594
1749,Harford,3352,Harford Precinct 03-010,2942,508,853,410,3352,1,0.8776849642004774,0.12231503579952267,1991,0.1515513126491647,0.2544749403341289,0.5939737470167065
1750,Harford,2607,Harford Precinct 03-024,2426,375,834,181,2607,1,0.9305715381664749,0.06942846183352512,1398,0.14384349827387802,0.31990794016110474,0.5362485615650172
1751,Harford,2554,Harford Precinct 03-015,2121,377,799,433,2554,1,0.8304620203602192,0.16953797963978073,1378,0.14761158966327328,0.3128425998433829,0.5395458104933438
1752,Harford,2186,Harford Precinct 01-007,1978,320,632,208,2186,1,0.9048490393412626,0.09515096065873742,1234,0.1463860933211345,0.2891125343092406,0.5645013723696248
1753,Harford,3096,Harford Precinct 01-015,2442,742,911,654,3096,1,0.7887596899224806,0.21124031007751937,1443,0.2396640826873385,0.294250645994832,0.46608527131782945
1754,Harford,2678,Harford Precinct 01-009,2194,530,730,484,2678,1,0.8192681105302465,0.18073188946975355,1418,0.19790888722927558,0.2725914861837192,0.5294996265870052
1755,Harford,3303,Harford Precinct 01-008,2689,719,1248,614,3303,1,0.8141083863154708,0.18589161368452922,1336,0.2176808961550106,0.37783832879200724,0.40448077505298213
1756,Harford,2527,Harford Precinct 03-016,2247,395,805,280,2527,1,0.889196675900277,0.11080332409972299,1327,0.15631183221210923,0.3185595567867036,0.5251286110011871
1757,Harford,1005,Harford Precinct 01-021,871,175,338,134,1005,1,0.8666666666666667,0.13333333333333333,492,0.17412935323383086,0.336318407960199,0.48955223880597015
1758,Harford,3462,Harford Precinct 01-013,2644,736,852,818,3462,1,0.7637203928365107,0.2362796071634893,1874,0.21259387637203928,0.24610051993067592,0.5413056036972848
1759,Harford,2938,Harford Precinct 01-011,2628,585,1086,310,2938,1,0.8944860449285228,0.10551395507147719,1267,0.19911504424778761,0.36963921034717495,0.43124574540503746
1760,Harford,2684,Harford Precinct 01-012,2311,593,1108,373,2684,1,0.8610283159463488,0.13897168405365126,983,0.22093889716840537,0.4128166915052161,0.3662444113263785
1761,Harford,3797,Harford Precinct 01-014,3420,690,1471,377,3797,1,0.9007110877008164,0.09928891229918356,1636,0.18172241243086648,0.3874111140373979,0.43086647353173557
1762,Harford,2630,Harford Precinct 03-012,2339,440,754,291,2630,1,0.8893536121673004,0.11064638783269962,1436,0.16730038022813687,0.28669201520912546,0.5460076045627377
1763,Harford,1993,Harford Precinct 03-011,1840,358,723,153,1993,1,0.9232313095835424,0.0767686904164576,912,0.17962870045158053,0.36276969392875064,0.45760160561966884
1764,Harford,2372,Harford Precinct 03-017,2236,433,977,136,2372,1,0.9426644182124789,0.05733558178752108,962,0.18254637436762225,0.41188870151770657,0.40556492411467115
1765,Harford,2779,Harford Precinct 03-018,2379,555,882,400,2779,1,0.8560633321338611,0.1439366678661389,1342,0.19971212666426771,0.31738035264483627,0.482907520690896
1766,Harford,2558,Harford Precinct 03-019,2363,503,1152,195,2558,1,0.9237685691946833,0.07623143080531665,903,0.19663799843627836,0.4503518373729476,0.353010164190774
1767,Harford,2823,Harford Precinct 03-021,2432,531,1195,391,2823,1,0.8614948636202622,0.13850513637973788,1097,0.18809776833156217,0.42330853701735743,0.3885936946510804
