,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
282,Harford,3035,Harford Precinct 03-023,2597,170,92,109,8,176,3035,1,0.8556836902800659,0.05601317957166392,0.030313014827018123,0.05799011532125206,2918,0.035914332784184516,0.0026359143327841844,0.9614497528830313
283,Harford,3016,Harford Precinct 03-022,2720,112,81,68,5,103,3016,1,0.9018567639257294,0.03713527851458886,0.026856763925729443,0.034151193633952255,2943,0.022546419098143235,0.0016578249336870027,0.9757957559681698
284,Harford,3085,Harford Precinct 04-001,2968,36,24,79,3,57,3085,1,0.9620745542949757,0.011669367909238249,0.007779578606158833,0.018476499189627228,3003,0.02560777957860616,0.0009724473257698541,0.973419773095624
285,Harford,2129,Harford Precinct 04-006,2056,27,19,68,2,27,2129,1,0.9657116016909347,0.012682010333489901,0.008924377642085486,0.012682010333489901,2059,0.03193987787693753,0.0009394081728511038,0.9671207139502114
286,Harford,2731,Harford Precinct 04-003,2662,11,22,90,5,36,2731,1,0.9747345294763823,0.004027828634199927,0.008055657268399853,0.013181984621017943,2636,0.032954961552544855,0.001830831197363603,0.9652142072500915
287,Harford,2632,Harford Precinct 04-004,2493,67,24,83,1,48,2632,1,0.9471884498480243,0.025455927051671733,0.00911854103343465,0.0182370820668693,2548,0.031534954407294834,0.00037993920972644377,0.9680851063829787
288,Harford,4062,Harford Precinct 03-005,3803,99,67,86,2,93,4062,1,0.9362383062530774,0.024372230428360415,0.016494337764647957,0.022895125553914326,3974,0.02117183653372723,0.0004923682914820286,0.9783357951747907
289,Harford,2376,Harford Precinct 05-002,2261,47,39,56,3,29,2376,1,0.9515993265993266,0.01978114478114478,0.016414141414141416,0.012205387205387205,2317,0.02356902356902357,0.0012626262626262627,0.9751683501683501
290,Harford,1712,Harford Precinct 03-004,1595,66,25,49,1,26,1712,1,0.9316588785046729,0.038551401869158876,0.014602803738317757,0.015186915887850467,1662,0.028621495327102803,0.0005841121495327102,0.9707943925233645
291,Harford,2679,Harford Precinct 05-003,2566,25,27,60,4,61,2679,1,0.9578200821201941,0.00933184023889511,0.010078387458006719,0.02276969018290407,2615,0.022396416573348264,0.0014930944382232176,0.9761104889884286
292,Harford,1922,Harford Precinct 01-003,1115,562,172,65,5,73,1922,1,0.5801248699271592,0.2924037460978148,0.08949011446409989,0.03798126951092612,1852,0.033818938605619145,0.0026014568158168575,0.963579604578564
293,Harford,2731,Harford Precinct 01-005,1671,760,170,122,8,130,2731,1,0.6118637861589161,0.27828634199926766,0.062248260710362505,0.04760161113145368,2601,0.04467228121567191,0.0029293299157817647,0.9523983888685463
294,Harford,3854,Harford Precinct 01-010,2529,964,155,127,15,206,3854,1,0.656201349247535,0.25012973533990657,0.04021795537104307,0.05345096004151531,3712,0.032952776336274,0.0038920601971977166,0.9631551634665283
295,Harford,3035,Harford Precinct 01-019,1562,1218,107,158,17,148,3035,1,0.514662273476112,0.40131795716639207,0.035255354200988465,0.04876441515650742,2860,0.052059308072487646,0.005601317957166392,0.942339373970346
296,Harford,1603,Harford Precinct 02-019,986,297,219,3,2,101,1603,1,0.6150966936993137,0.1852776044915783,0.13661883967560823,0.0630068621334997,1598,0.0018714909544603868,0.0012476606363069245,0.9968808484092326
297,Harford,2076,Harford Precinct 01-018,1562,400,44,79,4,70,2076,1,0.7524084778420038,0.1926782273603083,0.02119460500963391,0.03371868978805395,1993,0.038053949903660886,0.0019267822736030828,0.960019267822736
298,Harford,1794,Harford Precinct 01-017,1518,125,33,37,1,118,1794,1,0.8461538461538461,0.06967670011148272,0.01839464882943144,0.06577480490523968,1756,0.020624303232998884,0.0005574136008918618,0.9788182831661093
299,Harford,3477,Harford Precinct 01-016,2382,746,187,126,13,162,3477,1,0.6850733390854185,0.21455277538107564,0.05378199597354041,0.04659188955996549,3338,0.0362381363244176,0.003738855335058959,0.9600230083405235
300,Harford,3030,Harford Precinct 01-020,1753,850,175,119,11,252,3030,1,0.5785478547854785,0.28052805280528054,0.057755775577557754,0.08316831683168317,2900,0.03927392739273927,0.0036303630363036304,0.9570957095709571
301,Harford,2453,Harford Precinct 03-020,2282,100,26,80,4,45,2453,1,0.9302894415002039,0.040766408479412965,0.01059926620464737,0.018344883815735832,2369,0.03261312678353037,0.0016306563391765185,0.9657562168772931
302,Harford,2703,Harford Precinct 03-002,2479,89,60,103,0,75,2703,1,0.9171291157972623,0.032926378098409176,0.022197558268590455,0.02774694783573807,2600,0.03810580836108028,0.0,0.9618941916389198
303,Harford,1877,Harford Precinct 02-003,1397,383,40,82,11,57,1877,1,0.7442727757059137,0.20404901438465636,0.021310602024507193,0.030367607884922748,1784,0.04368673415023974,0.005860415556739478,0.9504528502930207
