,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
99,Howard,1720,Howard Precinct 04-003,1518,77,12,41,202,1720,1,0.8825581395348837,0.11744186046511627,1590,0.044767441860465114,0.0069767441860465115,0.023837209302325583,0.9244186046511628
129,Howard,1498,Howard Precinct 04-001,1349,42,5,25,149,1498,1,0.9005340453938585,0.09946595460614152,1426,0.028037383177570093,0.0033377837116154874,0.016688918558077435,0.951935914552737
131,Howard,1440,Howard Precinct 04-005,1280,67,25,31,160,1440,1,0.8888888888888888,0.1111111111111111,1317,0.04652777777777778,0.017361111111111112,0.021527777777777778,0.9145833333333333
688,Howard,1703,Howard Precinct 06-007,920,47,23,32,783,1703,1,0.540223135642983,0.45977686435701703,1601,0.02759835584263065,0.013505578391074574,0.018790369935408103,0.9401056958308867
689,Howard,3903,Howard Precinct 06-029,1974,212,37,131,1929,3903,1,0.5057647963105304,0.49423520368946966,3523,0.054317191903663846,0.009479887266205482,0.033563925185754545,0.9026389956443761
690,Howard,1011,Howard Precinct 06-030,438,25,17,15,573,1011,1,0.4332344213649852,0.5667655786350149,954,0.024727992087042534,0.016815034619188922,0.01483679525222552,0.9436201780415431
691,Howard,2972,Howard Precinct 01-006,1817,57,13,47,1155,2972,1,0.6113728129205922,0.3886271870794078,2855,0.01917900403768506,0.004374158815612382,0.015814266487214,0.9606325706594886
694,Howard,4044,Howard Precinct 01-015,1543,55,26,44,2501,4044,1,0.3815529179030663,0.6184470820969338,3919,0.013600395647873393,0.006429277942631058,0.010880316518298714,0.9690900098911969
926,Howard,2116,Howard Precinct 04-004,1753,78,12,44,363,2116,1,0.8284499054820416,0.1715500945179584,1982,0.036862003780718335,0.005671077504725898,0.020793950850661626,0.9366729678638941
930,Howard,2206,Howard Precinct 03-002,1871,107,16,51,335,2206,1,0.8481414324569356,0.15185856754306437,2032,0.048504079782411606,0.007252946509519492,0.023118766999093383,0.9211242067089755
942,Howard,3762,Howard Precinct 03-005,2617,149,29,46,1145,3762,1,0.6956406166932483,0.3043593833067517,3538,0.03960659223817119,0.007708665603402445,0.012227538543328018,0.9404572036150983
