,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
99,Howard,1720,Howard Precinct 04-003,1518,157,813,202,1720,1.0,0.8825581395348837,0.11744186046511627,750,0.09127906976744186,0.47267441860465115,0.436046511627907
129,Howard,1498,Howard Precinct 04-001,1349,127,666,149,1498,1.0,0.9005340453938585,0.09946595460614152,705,0.08477970627503338,0.4445927903871829,0.4706275033377837
131,Howard,1440,Howard Precinct 04-005,1280,131,755,160,1440,1.0,0.8888888888888888,0.1111111111111111,554,0.09097222222222222,0.5243055555555556,0.38472222222222224
688,Howard,1703,Howard Precinct 06-007,920,209,197,783,1703,1.0,0.540223135642983,0.45977686435701703,1297,0.12272460364063417,0.11567821491485614,0.7615971814445097
689,Howard,3903,Howard Precinct 06-029,1974,796,842,1929,3903,1.0,0.5057647963105304,0.49423520368946966,2265,0.20394568280809633,0.21573148859851396,0.5803228285933897
690,Howard,1011,Howard Precinct 06-030,438,240,150,573,1011,1.0,0.4332344213649852,0.5667655786350149,621,0.23738872403560832,0.14836795252225518,0.6142433234421365
691,Howard,2972,Howard Precinct 01-006,1817,280,409,1155,2972,1.0,0.6113728129205922,0.3886271870794078,2283,0.09421265141318977,0.1376177658142665,0.7681695827725438
694,Howard,4044,Howard Precinct 01-015,1543,1179,917,2501,4044,1.0,0.3815529179030663,0.6184470820969338,1948,0.29154302670623145,0.22675568743818003,0.4817012858555885
926,Howard,2116,Howard Precinct 04-004,1753,183,884,363,2116,1.0,0.8284499054820416,0.1715500945179584,1049,0.08648393194706994,0.41776937618147447,0.4957466918714556
930,Howard,2206,Howard Precinct 03-002,1871,234,1022,335,2206,1.0,0.8481414324569356,0.15185856754306437,950,0.10607434270172257,0.46328195829555757,0.43064369900271987
942,Howard,3762,Howard Precinct 03-005,2617,351,931,1145,3762,1.0,0.6956406166932483,0.3043593833067517,2480,0.09330143540669857,0.2474747474747475,0.6592238171185539
1349,Howard,2057,Howard Precinct 02-008,1283,305,679,774,2057,1.0,0.6237238697131745,0.3762761302868255,1073,0.1482741857073408,0.3300923675255226,0.5216334467671366
1358,Howard,2252,Howard Precinct 01-008,1565,294,513,687,2252,1.0,0.6949378330373002,0.30506216696269983,1445,0.130550621669627,0.227797513321492,0.6416518650088809
1359,Howard,1598,Howard Precinct 01-013,988,348,601,610,1598,1.0,0.6182728410513142,0.38172715894868586,649,0.21777221526908636,0.3760951188986233,0.40613266583229035
1360,Howard,2627,Howard Precinct 01-001,2032,398,997,595,2627,1.0,0.7735059002664636,0.22649409973353635,1232,0.15150361629234868,0.3795203654358584,0.4689760182717929
1409,Howard,1452,Howard Precinct 02-005,1077,183,363,375,1452,1.0,0.7417355371900827,0.25826446280991733,906,0.12603305785123967,0.25,0.6239669421487604
1410,Howard,2087,Howard Precinct 02-015,1499,208,449,588,2087,1.0,0.7182558696693819,0.2817441303306181,1430,0.09966459032103497,0.21514135122184955,0.6851940584571155
1411,Howard,2065,Howard Precinct 02-018,1679,242,639,386,2065,1.0,0.8130750605326876,0.18692493946731234,1184,0.1171912832929782,0.30944309927360775,0.5733656174334141
1412,Howard,2274,Howard Precinct 02-011,1600,206,486,674,2274,1.0,0.7036059806508356,0.2963940193491645,1582,0.09058927000879508,0.21372031662269128,0.6956904133685137
1413,Howard,1532,Howard Precinct 02-019,1154,154,538,378,1532,1.0,0.7532637075718016,0.24673629242819844,840,0.10052219321148825,0.35117493472584854,0.5483028720626631
1414,Howard,327,Howard Precinct 02-021,278,44,85,49,327,1.0,0.8501529051987767,0.14984709480122324,198,0.1345565749235474,0.2599388379204893,0.6055045871559633
1415,Howard,2492,Howard Precinct 02-012,1768,228,567,724,2492,1.0,0.709470304975923,0.29052969502407705,1697,0.09149277688603531,0.22752808988764045,0.6809791332263242
1416,Howard,1902,Howard Precinct 02-006,1286,196,420,616,1902,1.0,0.676130389064143,0.323869610935857,1286,0.10304942166140904,0.22082018927444794,0.676130389064143
1417,Howard,4633,Howard Precinct 02-009,1730,402,390,2903,4633,1.0,0.37340815886034967,0.6265918411396504,3841,0.08676883229009281,0.08417871789337363,0.8290524498165336
1418,Howard,1313,Howard Precinct 02-024,1031,156,393,282,1313,1.0,0.7852246763137852,0.21477532368621477,764,0.1188118811881188,0.2993145468392993,0.5818735719725818
1419,Howard,1532,Howard Precinct 02-007,1267,161,547,265,1532,1.0,0.827023498694517,0.17297650130548303,824,0.10509138381201044,0.35704960835509136,0.5378590078328982
1496,Howard,2112,Howard Precinct 05-011,1724,343,791,388,2112,1.0,0.8162878787878788,0.18371212121212122,978,0.16240530303030304,0.37452651515151514,0.4630681818181818
1497,Howard,1558,Howard Precinct 05-020,1249,282,698,309,1558,1.0,0.8016688061617459,0.19833119383825418,578,0.1810012836970475,0.44801026957637996,0.37098844672657255
1498,Howard,1752,Howard Precinct 04-006,1451,207,950,301,1752,1.0,0.8281963470319634,0.17180365296803654,595,0.11815068493150685,0.5422374429223744,0.3396118721461187
1499,Howard,1427,Howard Precinct 04-002,1273,146,768,154,1427,1.0,0.8920812894183602,0.1079187105816398,513,0.102312543798178,0.5381920112123336,0.35949544498948843
1500,Howard,2228,Howard Precinct 05-019,1846,286,913,382,2228,1.0,0.8285457809694794,0.17145421903052063,1029,0.12836624775583483,0.4097845601436266,0.4618491921005386
1501,Howard,2504,Howard Precinct 05-001,1817,384,1016,687,2504,1.0,0.7256389776357828,0.2743610223642173,1104,0.15335463258785942,0.4057507987220447,0.44089456869009586
1502,Howard,1727,Howard Precinct 03-006,1346,194,599,381,1727,1.0,0.7793862188766647,0.22061378112333527,934,0.1123335263462652,0.3468442385639838,0.540822235089751
1509,Howard,2158,Howard Precinct 05-006,1511,649,1165,647,2158,1.0,0.7001853568118629,0.29981464318813716,344,0.30074142724745134,0.5398517145505097,0.15940685820203893
1510,Howard,2369,Howard Precinct 06-028,1575,408,900,794,2369,1.0,0.6648374841705361,0.33516251582946394,1061,0.1722245673279865,0.3799071338117349,0.4478682988602786
1511,Howard,1568,Howard Precinct 06-032,1213,234,519,355,1568,1.0,0.7735969387755102,0.2264030612244898,815,0.14923469387755103,0.3309948979591837,0.5197704081632653
1512,Howard,1414,Howard Precinct 06-003,1102,247,435,312,1414,1.0,0.7793493635077794,0.22065063649222066,732,0.1746817538896747,0.30763790664780766,0.5176803394625177
1513,Howard,2320,Howard Precinct 05-005,1501,401,785,819,2320,1.0,0.6469827586206897,0.35301724137931034,1134,0.1728448275862069,0.33836206896551724,0.48879310344827587
1514,Howard,1265,Howard Precinct 05-013,838,201,255,427,1265,1.0,0.6624505928853754,0.3375494071146245,809,0.15889328063241107,0.2015810276679842,0.6395256916996047
1570,Howard,1476,Howard Precinct 05-023,899,217,220,577,1476,1.0,0.6090785907859079,0.39092140921409213,1039,0.1470189701897019,0.14905149051490515,0.7039295392953929
1571,Howard,2674,Howard Precinct 05-009,883,355,279,1791,2674,1.0,0.33021690351533284,0.6697830964846672,2040,0.13275991024682124,0.10433807030665669,0.762902019446522
1572,Howard,837,Howard Precinct 05-002,604,156,175,233,837,1.0,0.7216248506571087,0.27837514934289126,506,0.1863799283154122,0.20908004778972522,0.6045400238948626
1573,Howard,70,Howard Precinct 02-022,57,10,7,13,70,1.0,0.8142857142857143,0.18571428571428572,53,0.14285714285714285,0.1,0.7571428571428571
1574,Howard,2055,Howard Precinct 03-003,1577,206,627,478,2055,1.0,0.767396593673966,0.23260340632603407,1222,0.10024330900243308,0.3051094890510949,0.594647201946472
1575,Howard,1663,Howard Precinct 03-001,1335,161,507,328,1663,1.0,0.8027660853878533,0.19723391461214673,995,0.0968129885748647,0.3048707155742634,0.5983162958508719
1576,Howard,228,Howard Precinct 03-004,180,28,73,48,228,1.0,0.7894736842105263,0.21052631578947367,127,0.12280701754385964,0.3201754385964912,0.5570175438596491
1577,Howard,2119,Howard Precinct 02-017,1305,247,520,814,2119,1.0,0.6158565361019349,0.38414346389806514,1352,0.1165644171779141,0.24539877300613497,0.6380368098159509
1578,Howard,2614,Howard Precinct 05-015,1651,540,525,963,2614,1.0,0.6315990818668707,0.3684009181331293,1549,0.20657995409334354,0.2008416220351951,0.5925784238714613
1579,Howard,2031,Howard Precinct 05-008,1199,376,259,832,2031,1.0,0.5903495814869523,0.4096504185130478,1396,0.18513047759724274,0.1275233874938454,0.6873461349089118
1580,Howard,2609,Howard Precinct 05-004,1301,648,429,1308,2609,1.0,0.49865848984285166,0.5013415101571483,1532,0.2483710233806056,0.16443081640475277,0.5871981602146417
1581,Howard,802,Howard Precinct 06-012,491,183,164,311,802,1.0,0.6122194513715711,0.3877805486284289,455,0.2281795511221945,0.20448877805486285,0.5673316708229427
1582,Howard,2061,Howard Precinct 06-008,763,369,233,1298,2061,1.0,0.37020863658418246,0.6297913634158175,1459,0.17903930131004367,0.11305191654536632,0.70790878214459
1583,Howard,2606,Howard Precinct 06-017,1064,604,321,1542,2606,1.0,0.40828856485034537,0.5917114351496546,1681,0.23177283192632386,0.12317728319263238,0.6450498848810438
