,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
99,Howard,1720,Howard Precinct 04-003,1518,65,36,383,819,101,1720,1.0,0.8825581395348837,0.0377906976744186,0.020930232558139535,0.05872093023255814,518,0.22267441860465118,0.4761627906976744,0.30116279069767443
129,Howard,1498,Howard Precinct 04-001,1349,40,68,298,628,41,1498,1.0,0.9005340453938585,0.0267022696929239,0.04539385847797063,0.027369826435246995,572,0.19893190921228304,0.4192256341789052,0.3818424566088118
131,Howard,1440,Howard Precinct 04-005,1280,44,55,325,738,61,1440,1.0,0.8888888888888888,0.030555555555555555,0.03819444444444445,0.04236111111111111,377,0.22569444444444445,0.5125,0.26180555555555557
688,Howard,1703,Howard Precinct 06-007,920,548,99,387,196,136,1703,1.0,0.540223135642983,0.3217850851438638,0.05813270698766882,0.07985907222548444,1120,0.22724603640634175,0.11509101585437463,0.6576629477392836
689,Howard,3903,Howard Precinct 06-029,1974,852,170,1290,597,907,3903,1.0,0.5057647963105304,0.21829362029208302,0.04355623879067384,0.23238534460671278,2016,0.3305149884704074,0.15295926210607225,0.5165257494235204
690,Howard,1011,Howard Precinct 06-030,438,312,156,324,113,105,1011,1.0,0.4332344213649852,0.3086053412462908,0.1543026706231454,0.10385756676557864,574,0.32047477744807124,0.11177052423343224,0.5677546983184966
691,Howard,2972,Howard Precinct 01-006,1817,361,178,664,406,616,2972,1.0,0.6113728129205922,0.12146702557200538,0.059892328398384924,0.2072678331090175,1902,0.2234185733512786,0.13660834454912515,0.6399730820995962
694,Howard,4044,Howard Precinct 01-015,1543,1617,221,832,377,663,4044,1.0,0.3815529179030663,0.39985163204747776,0.054648862512364,0.163946587537092,2835,0.20573689416419386,0.09322453016815034,0.7010385756676558
926,Howard,2116,Howard Precinct 04-004,1753,171,39,460,911,153,2116,1.0,0.8284499054820416,0.08081285444234404,0.018431001890359167,0.0723062381852552,745,0.21739130434782608,0.43052930056710775,0.35207939508506614
930,Howard,2206,Howard Precinct 03-002,1871,96,47,489,938,192,2206,1.0,0.8481414324569356,0.043517679057116954,0.02130553037171351,0.08703535811423391,779,0.2216681776971895,0.4252039891205802,0.3531278331822303
942,Howard,3762,Howard Precinct 03-005,2617,201,60,809,994,884,3762,1.0,0.6956406166932483,0.05342902711323764,0.01594896331738437,0.2349813928761297,1959,0.21504518872939926,0.2642211589580011,0.5207336523125997
1349,Howard,2057,Howard Precinct 02-008,1283,171,67,575,560,536,2057,1.0,0.6237238697131745,0.08313077297034516,0.032571706368497814,0.2605736509479825,922,0.27953330092367523,0.2722411278561011,0.4482255712202236
1358,Howard,2252,Howard Precinct 01-008,1565,276,136,836,595,275,2252,1.0,0.6949378330373002,0.12255772646536411,0.06039076376554174,0.12211367673179396,821,0.37122557726465366,0.2642095914742451,0.36456483126110123
1359,Howard,1598,Howard Precinct 01-013,988,356,57,315,406,197,1598,1.0,0.6182728410513142,0.2227784730913642,0.03566958698372966,0.123279098873592,877,0.19712140175219023,0.25406758448060074,0.548811013767209
1360,Howard,2627,Howard Precinct 01-001,2032,248,78,567,626,269,2627,1.0,0.7735059002664636,0.09440426341834793,0.029691663494480394,0.10239817282070804,1434,0.21583555386372288,0.23829463266082984,0.5458698134754473
1409,Howard,1452,Howard Precinct 02-005,1077,25,28,425,383,322,1452,1.0,0.7417355371900827,0.01721763085399449,0.01928374655647383,0.22176308539944903,644,0.2926997245179063,0.26377410468319556,0.44352617079889806
1410,Howard,2087,Howard Precinct 02-015,1499,82,42,534,561,464,2087,1.0,0.7182558696693819,0.0392908481073311,0.020124580737901295,0.22232870148538572,992,0.2558696693818879,0.268806899856253,0.4753234307618591
1411,Howard,2065,Howard Precinct 02-018,1679,80,49,576,616,257,2065,1.0,0.8130750605326876,0.0387409200968523,0.023728813559322035,0.12445520581113802,873,0.27893462469733654,0.2983050847457627,0.42276029055690073
1412,Howard,2274,Howard Precinct 02-011,1600,181,59,577,646,434,2274,1.0,0.7036059806508356,0.07959542656112577,0.025945470536499562,0.19085312225153914,1051,0.2537379067722076,0.28408091468777485,0.4621811785400176
1413,Howard,1532,Howard Precinct 02-019,1154,100,30,416,494,248,1532,1.0,0.7532637075718016,0.06527415143603134,0.0195822454308094,0.1618798955613577,622,0.27154046997389036,0.3224543080939948,0.40600522193211486
1414,Howard,327,Howard Precinct 02-021,278,3,10,88,103,36,327,1.0,0.8501529051987767,0.009174311926605505,0.03058103975535168,0.11009174311926606,136,0.2691131498470948,0.3149847094801223,0.41590214067278286
1415,Howard,2492,Howard Precinct 02-012,1768,140,62,564,542,522,2492,1.0,0.709470304975923,0.056179775280898875,0.024879614767255216,0.20947030497592295,1386,0.22632423756019263,0.2174959871589085,0.5561797752808989
1416,Howard,1902,Howard Precinct 02-006,1286,153,46,439,443,417,1902,1.0,0.676130389064143,0.0804416403785489,0.024185068349106203,0.2192429022082019,1020,0.23080967402733965,0.23291272344900105,0.5362776025236593
1417,Howard,4633,Howard Precinct 02-009,1730,622,346,708,350,1935,4633,1.0,0.37340815886034967,0.13425426289661127,0.07468163177206993,0.41765594647096915,3575,0.1528167494064321,0.075545003237643,0.7716382473559249
1418,Howard,1313,Howard Precinct 02-024,1031,76,35,337,383,171,1313,1.0,0.7852246763137852,0.057882711348057884,0.026656511805026657,0.13023610053313023,593,0.25666412795125665,0.2916984006092917,0.45163747143945165
1419,Howard,1532,Howard Precinct 02-007,1267,55,38,417,599,172,1532,1.0,0.827023498694517,0.03590078328981723,0.024804177545691905,0.1122715404699739,516,0.27219321148825065,0.39099216710182766,0.3368146214099217
