,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
99,Howard,1720,Howard Precinct 04-003,1518,383,819,202,1720,1.0,0.8825581395348837,0.11744186046511627,518,0.22267441860465118,0.4761627906976744,0.30116279069767443
129,Howard,1498,Howard Precinct 04-001,1349,298,628,149,1498,1.0,0.9005340453938585,0.09946595460614152,572,0.19893190921228304,0.4192256341789052,0.3818424566088118
131,Howard,1440,Howard Precinct 04-005,1280,325,738,160,1440,1.0,0.8888888888888888,0.1111111111111111,377,0.22569444444444445,0.5125,0.26180555555555557
688,Howard,1703,Howard Precinct 06-007,920,387,196,783,1703,1.0,0.540223135642983,0.45977686435701703,1120,0.22724603640634175,0.11509101585437463,0.6576629477392836
689,Howard,3903,Howard Precinct 06-029,1974,1290,597,1929,3903,1.0,0.5057647963105304,0.49423520368946966,2016,0.3305149884704074,0.15295926210607225,0.5165257494235204
690,Howard,1011,Howard Precinct 06-030,438,324,113,573,1011,1.0,0.4332344213649852,0.5667655786350149,574,0.32047477744807124,0.11177052423343224,0.5677546983184966
691,Howard,2972,Howard Precinct 01-006,1817,664,406,1155,2972,1.0,0.6113728129205922,0.3886271870794078,1902,0.2234185733512786,0.13660834454912515,0.6399730820995962
694,Howard,4044,Howard Precinct 01-015,1543,832,377,2501,4044,1.0,0.3815529179030663,0.6184470820969338,2835,0.20573689416419386,0.09322453016815034,0.7010385756676558
926,Howard,2116,Howard Precinct 04-004,1753,460,911,363,2116,1.0,0.8284499054820416,0.1715500945179584,745,0.21739130434782608,0.43052930056710775,0.35207939508506614
930,Howard,2206,Howard Precinct 03-002,1871,489,938,335,2206,1.0,0.8481414324569356,0.15185856754306437,779,0.2216681776971895,0.4252039891205802,0.3531278331822303
942,Howard,3762,Howard Precinct 03-005,2617,809,994,1145,3762,1.0,0.6956406166932483,0.3043593833067517,1959,0.21504518872939926,0.2642211589580011,0.5207336523125997
1349,Howard,2057,Howard Precinct 02-008,1283,575,560,774,2057,1.0,0.6237238697131745,0.3762761302868255,922,0.27953330092367523,0.2722411278561011,0.4482255712202236
1358,Howard,2252,Howard Precinct 01-008,1565,836,595,687,2252,1.0,0.6949378330373002,0.30506216696269983,821,0.37122557726465366,0.2642095914742451,0.36456483126110123
1359,Howard,1598,Howard Precinct 01-013,988,315,406,610,1598,1.0,0.6182728410513142,0.38172715894868586,877,0.19712140175219023,0.25406758448060074,0.548811013767209
1360,Howard,2627,Howard Precinct 01-001,2032,567,626,595,2627,1.0,0.7735059002664636,0.22649409973353635,1434,0.21583555386372288,0.23829463266082984,0.5458698134754473
1409,Howard,1452,Howard Precinct 02-005,1077,425,383,375,1452,1.0,0.7417355371900827,0.25826446280991733,644,0.2926997245179063,0.26377410468319556,0.44352617079889806
1410,Howard,2087,Howard Precinct 02-015,1499,534,561,588,2087,1.0,0.7182558696693819,0.2817441303306181,992,0.2558696693818879,0.268806899856253,0.4753234307618591
1411,Howard,2065,Howard Precinct 02-018,1679,576,616,386,2065,1.0,0.8130750605326876,0.18692493946731234,873,0.27893462469733654,0.2983050847457627,0.42276029055690073
1412,Howard,2274,Howard Precinct 02-011,1600,577,646,674,2274,1.0,0.7036059806508356,0.2963940193491645,1051,0.2537379067722076,0.28408091468777485,0.4621811785400176
1413,Howard,1532,Howard Precinct 02-019,1154,416,494,378,1532,1.0,0.7532637075718016,0.24673629242819844,622,0.27154046997389036,0.3224543080939948,0.40600522193211486
1414,Howard,327,Howard Precinct 02-021,278,88,103,49,327,1.0,0.8501529051987767,0.14984709480122324,136,0.2691131498470948,0.3149847094801223,0.41590214067278286
1415,Howard,2492,Howard Precinct 02-012,1768,564,542,724,2492,1.0,0.709470304975923,0.29052969502407705,1386,0.22632423756019263,0.2174959871589085,0.5561797752808989
1416,Howard,1902,Howard Precinct 02-006,1286,439,443,616,1902,1.0,0.676130389064143,0.323869610935857,1020,0.23080967402733965,0.23291272344900105,0.5362776025236593
1417,Howard,4633,Howard Precinct 02-009,1730,708,350,2903,4633,1.0,0.37340815886034967,0.6265918411396504,3575,0.1528167494064321,0.075545003237643,0.7716382473559249
1418,Howard,1313,Howard Precinct 02-024,1031,337,383,282,1313,1.0,0.7852246763137852,0.21477532368621477,593,0.25666412795125665,0.2916984006092917,0.45163747143945165
1419,Howard,1532,Howard Precinct 02-007,1267,417,599,265,1532,1.0,0.827023498694517,0.17297650130548303,516,0.27219321148825065,0.39099216710182766,0.3368146214099217
1496,Howard,2112,Howard Precinct 05-011,1724,652,706,388,2112,1.0,0.8162878787878788,0.18371212121212122,754,0.3087121212121212,0.33428030303030304,0.35700757575757575
1497,Howard,1558,Howard Precinct 05-020,1249,506,586,309,1558,1.0,0.8016688061617459,0.19833119383825418,466,0.3247753530166881,0.3761232349165597,0.2991014120667522
1498,Howard,1752,Howard Precinct 04-006,1451,415,807,301,1752,1.0,0.8281963470319634,0.17180365296803654,530,0.23687214611872145,0.4606164383561644,0.3025114155251142
1499,Howard,1427,Howard Precinct 04-002,1273,369,709,154,1427,1.0,0.8920812894183602,0.1079187105816398,349,0.2585844428871759,0.4968465311843027,0.24456902592852137
1500,Howard,2228,Howard Precinct 05-019,1846,572,871,382,2228,1.0,0.8285457809694794,0.17145421903052063,785,0.25673249551166966,0.3909335727109515,0.3523339317773788
1501,Howard,2504,Howard Precinct 05-001,1817,707,873,687,2504,1.0,0.7256389776357828,0.2743610223642173,924,0.2823482428115016,0.3486421725239617,0.36900958466453676
1502,Howard,1727,Howard Precinct 03-006,1346,439,670,381,1727,1.0,0.7793862188766647,0.22061378112333527,618,0.254198031268095,0.38795599305153444,0.3578459756803706
1509,Howard,2158,Howard Precinct 05-006,1511,723,728,647,2158,1.0,0.7001853568118629,0.29981464318813716,707,0.335032437442076,0.3373493975903614,0.3276181649675626
1510,Howard,2369,Howard Precinct 06-028,1575,777,679,794,2369,1.0,0.6648374841705361,0.33516251582946394,913,0.3279864921907978,0.28661882650907555,0.38539468130012666
1511,Howard,1568,Howard Precinct 06-032,1213,454,490,355,1568,1.0,0.7735969387755102,0.2264030612244898,624,0.2895408163265306,0.3125,0.3979591836734694
1512,Howard,1414,Howard Precinct 06-003,1102,443,375,312,1414,1.0,0.7793493635077794,0.22065063649222066,596,0.3132956152758133,0.2652050919377652,0.4214992927864215
1513,Howard,2320,Howard Precinct 05-005,1501,755,618,819,2320,1.0,0.6469827586206897,0.35301724137931034,947,0.3254310344827586,0.2663793103448276,0.4081896551724138
1514,Howard,1265,Howard Precinct 05-013,838,405,197,427,1265,1.0,0.6624505928853754,0.3375494071146245,663,0.3201581027667984,0.15573122529644268,0.5241106719367589
1570,Howard,1476,Howard Precinct 05-023,899,448,197,577,1476,1.0,0.6090785907859079,0.39092140921409213,831,0.3035230352303523,0.1334688346883469,0.5630081300813008
1571,Howard,2674,Howard Precinct 05-009,883,674,228,1791,2674,1.0,0.33021690351533284,0.6697830964846672,1772,0.25205684367988035,0.08526551982049364,0.6626776364996261
1572,Howard,837,Howard Precinct 05-002,604,351,128,233,837,1.0,0.7216248506571087,0.27837514934289126,358,0.41935483870967744,0.15292712066905614,0.42771804062126645
1573,Howard,70,Howard Precinct 02-022,57,18,14,13,70,1.0,0.8142857142857143,0.18571428571428572,38,0.2571428571428571,0.2,0.5428571428571428
1574,Howard,2055,Howard Precinct 03-003,1577,528,725,478,2055,1.0,0.767396593673966,0.23260340632603407,802,0.2569343065693431,0.35279805352798055,0.3902676399026764
1575,Howard,1663,Howard Precinct 03-001,1335,367,601,328,1663,1.0,0.8027660853878533,0.19723391461214673,695,0.22068550811785928,0.3613950691521347,0.41791942273000604
1576,Howard,228,Howard Precinct 03-004,180,54,98,48,228,1.0,0.7894736842105263,0.21052631578947367,76,0.23684210526315788,0.4298245614035088,0.3333333333333333
1577,Howard,2119,Howard Precinct 02-017,1305,625,520,814,2119,1.0,0.6158565361019349,0.38414346389806514,974,0.2949504483246815,0.24539877300613497,0.4596507786691836
1578,Howard,2614,Howard Precinct 05-015,1651,875,427,963,2614,1.0,0.6315990818668707,0.3684009181331293,1312,0.33473603672532515,0.16335118592195869,0.5019127773527161
1579,Howard,2031,Howard Precinct 05-008,1199,715,184,832,2031,1.0,0.5903495814869523,0.4096504185130478,1132,0.3520433284096504,0.09059576563269325,0.5573609059576563
1580,Howard,2609,Howard Precinct 05-004,1301,856,284,1308,2609,1.0,0.49865848984285166,0.5013415101571483,1469,0.32809505557684937,0.10885396703717899,0.5630509773859717
1581,Howard,802,Howard Precinct 06-012,491,295,134,311,802,1.0,0.6122194513715711,0.3877805486284289,373,0.36783042394014964,0.16708229426433915,0.46508728179551123
1582,Howard,2061,Howard Precinct 06-008,763,596,168,1298,2061,1.0,0.37020863658418246,0.6297913634158175,1297,0.2891800097040272,0.08151382823871907,0.6293061620572538
