,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
99,Howard,1720,Howard Precinct 04-003,1518,65,36,334,753,101,1720,1.0,0.8825581395348837,0.0377906976744186,0.020930232558139535,0.05872093023255814,633,0.1941860465116279,0.4377906976744186,0.3680232558139535
129,Howard,1498,Howard Precinct 04-001,1349,40,68,311,581,41,1498,1.0,0.9005340453938585,0.0267022696929239,0.04539385847797063,0.027369826435246995,606,0.2076101468624833,0.3878504672897196,0.4045393858477971
131,Howard,1440,Howard Precinct 04-005,1280,44,55,264,725,61,1440,1.0,0.8888888888888888,0.030555555555555555,0.03819444444444445,0.04236111111111111,451,0.18333333333333332,0.5034722222222222,0.31319444444444444
688,Howard,1703,Howard Precinct 06-007,920,548,99,262,144,136,1703,1.0,0.540223135642983,0.3217850851438638,0.05813270698766882,0.07985907222548444,1297,0.15384615384615385,0.08455666470933647,0.7615971814445097
689,Howard,3903,Howard Precinct 06-029,1974,852,170,1042,521,907,3903,1.0,0.5057647963105304,0.21829362029208302,0.04355623879067384,0.23238534460671278,2340,0.26697412246989494,0.13348706123494747,0.5995388162951576
690,Howard,1011,Howard Precinct 06-030,438,312,156,232,106,105,1011,1.0,0.4332344213649852,0.3086053412462908,0.1543026706231454,0.10385756676557864,673,0.2294757665677547,0.10484668644906034,0.6656775469831849
691,Howard,2972,Howard Precinct 01-006,1817,361,178,456,330,616,2972,1.0,0.6113728129205922,0.12146702557200538,0.059892328398384924,0.2072678331090175,2186,0.15343203230148048,0.11103633916554509,0.7355316285329744
694,Howard,4044,Howard Precinct 01-015,1543,1617,221,1237,561,663,4044,1.0,0.3815529179030663,0.39985163204747776,0.054648862512364,0.163946587537092,2246,0.30588526211671613,0.1387240356083086,0.5553907022749752
926,Howard,2116,Howard Precinct 04-004,1753,171,39,352,879,153,2116,1.0,0.8284499054820416,0.08081285444234404,0.018431001890359167,0.0723062381852552,885,0.166351606805293,0.41540642722117205,0.41824196597353497
930,Howard,2206,Howard Precinct 03-002,1871,96,47,402,866,192,2206,1.0,0.8481414324569356,0.043517679057116954,0.02130553037171351,0.08703535811423391,938,0.18223028105167724,0.3925657298277425,0.4252039891205802
942,Howard,3762,Howard Precinct 03-005,2617,201,60,550,793,884,3762,1.0,0.6956406166932483,0.05342902711323764,0.01594896331738437,0.2349813928761297,2419,0.14619883040935672,0.21079213184476342,0.6430090377458798
1349,Howard,2057,Howard Precinct 02-008,1283,171,67,433,459,536,2057,1.0,0.6237238697131745,0.08313077297034516,0.032571706368497814,0.2605736509479825,1165,0.21050072921730675,0.2231404958677686,0.5663587749149247
1358,Howard,2252,Howard Precinct 01-008,1565,276,136,517,421,275,2252,1.0,0.6949378330373002,0.12255772646536411,0.06039076376554174,0.12211367673179396,1314,0.22957371225577264,0.1869449378330373,0.58348134991119
1359,Howard,1598,Howard Precinct 01-013,988,356,57,484,479,197,1598,1.0,0.6182728410513142,0.2227784730913642,0.03566958698372966,0.123279098873592,635,0.30287859824780977,0.2997496871088861,0.3973717146433041
1360,Howard,2627,Howard Precinct 01-001,2032,248,78,646,750,269,2627,1.0,0.7735059002664636,0.09440426341834793,0.029691663494480394,0.10239817282070804,1231,0.2459078797106966,0.2854967643700038,0.46859535591929957
1409,Howard,1452,Howard Precinct 02-005,1077,25,28,282,258,322,1452,1.0,0.7417355371900827,0.01721763085399449,0.01928374655647383,0.22176308539944903,912,0.19421487603305784,0.17768595041322313,0.628099173553719
1410,Howard,2087,Howard Precinct 02-015,1499,82,42,303,342,464,2087,1.0,0.7182558696693819,0.0392908481073311,0.020124580737901295,0.22232870148538572,1442,0.14518447532343076,0.1638715860086248,0.6909439386679445
1411,Howard,2065,Howard Precinct 02-018,1679,80,49,342,465,257,2065,1.0,0.8130750605326876,0.0387409200968523,0.023728813559322035,0.12445520581113802,1258,0.16561743341404359,0.22518159806295399,0.6092009685230024
1412,Howard,2274,Howard Precinct 02-011,1600,181,59,310,357,434,2274,1.0,0.7036059806508356,0.07959542656112577,0.025945470536499562,0.19085312225153914,1607,0.1363236587510994,0.15699208443271767,0.706684256816183
1413,Howard,1532,Howard Precinct 02-019,1154,100,30,328,423,248,1532,1.0,0.7532637075718016,0.06527415143603134,0.0195822454308094,0.1618798955613577,781,0.21409921671018275,0.27610966057441255,0.5097911227154047
1414,Howard,327,Howard Precinct 02-021,278,3,10,56,66,36,327,1.0,0.8501529051987767,0.009174311926605505,0.03058103975535168,0.11009174311926606,205,0.1712538226299694,0.2018348623853211,0.6269113149847095
1415,Howard,2492,Howard Precinct 02-012,1768,140,62,365,406,522,2492,1.0,0.709470304975923,0.056179775280898875,0.024879614767255216,0.20947030497592295,1721,0.14646869983948635,0.16292134831460675,0.6906099518459069
1416,Howard,1902,Howard Precinct 02-006,1286,153,46,330,315,417,1902,1.0,0.676130389064143,0.0804416403785489,0.024185068349106203,0.2192429022082019,1257,0.17350157728706625,0.16561514195583596,0.6608832807570978
1417,Howard,4633,Howard Precinct 02-009,1730,622,346,558,252,1935,4633,1.0,0.37340815886034967,0.13425426289661127,0.07468163177206993,0.41765594647096915,3823,0.12044031944744227,0.05439240233110296,0.8251672782214547
1418,Howard,1313,Howard Precinct 02-024,1031,76,35,223,271,171,1313,1.0,0.7852246763137852,0.057882711348057884,0.026656511805026657,0.13023610053313023,819,0.16984006092916984,0.2063975628332064,0.6237623762376238
1419,Howard,1532,Howard Precinct 02-007,1267,55,38,282,437,172,1532,1.0,0.827023498694517,0.03590078328981723,0.024804177545691905,0.1122715404699739,813,0.18407310704960836,0.28524804177545693,0.5306788511749347
1496,Howard,2112,Howard Precinct 05-011,1724,78,43,480,587,267,2112,1.0,0.8162878787878788,0.036931818181818184,0.020359848484848484,0.12642045454545456,1045,0.22727272727272727,0.2779356060606061,0.4947916666666667
1497,Howard,1558,Howard Precinct 05-020,1249,96,50,438,540,163,1558,1.0,0.8016688061617459,0.06161745827984596,0.03209242618741977,0.10462130937098844,580,0.2811296534017972,0.3465982028241335,0.3722721437740693
1498,Howard,1752,Howard Precinct 04-006,1451,99,42,404,826,160,1752,1.0,0.8281963470319634,0.05650684931506849,0.023972602739726026,0.091324200913242,522,0.23059360730593606,0.4714611872146119,0.2979452054794521
