,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,136,12,20,33,87,577,3490,1,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,3202,0.03896848137535817,0.0034383954154727794,0.0057306590257879654,0.009455587392550143,0.02492836676217765,0.9174785100286533
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,98,6,27,29,51,368,2962,1,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,2751,0.03308575286968265,0.002025658338960162,0.00911546252532073,0.009790681971640782,0.017218095881161376,0.9287643484132343
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,29,1,5,5,8,511,1587,1,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1539,0.018273471959672338,0.000630119722747322,0.00315059861373661,0.00315059861373661,0.005040957781978576,0.9697542533081286
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,108,10,26,39,55,329,1951,1,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,1713,0.055356227575602254,0.005125576627370579,0.013326499231163505,0.01998974884674526,0.028190671450538187,0.8780112762685802
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,185,17,45,82,164,401,3199,1,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,2706,0.0578305720537668,0.0053141606752110035,0.014066895904970303,0.025633010315723664,0.05126602063144733,0.8458893404188809
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,111,12,32,23,68,273,1806,1,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,1560,0.061461794019933555,0.006644518272425249,0.017718715393133997,0.01273532668881506,0.03765227021040975,0.8637873754152824
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,85,7,29,29,67,489,2832,1,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,2615,0.03001412429378531,0.0024717514124293787,0.010240112994350282,0.010240112994350282,0.02365819209039548,0.9233757062146892
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,76,9,22,24,65,423,2301,1,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,2105,0.03302911777488049,0.003911342894393742,0.009561060408518035,0.010430247718383311,0.02824858757062147,0.914819643633203
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,90,6,29,45,50,904,4265,1,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,4045,0.021101992966002344,0.001406799531066823,0.006799531066822978,0.010550996483001172,0.011723329425556858,0.9484173505275498
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,70,7,20,33,53,475,3162,1,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,2979,0.022137887413029727,0.002213788741302973,0.006325110689437065,0.010436432637571158,0.016761543327008223,0.9421252371916509
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,126,3,26,30,54,702,3854,1,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,3615,0.03269330565646082,0.0007784120394395433,0.006746237675142709,0.007784120394395433,0.01401141670991178,0.9379865075246497
85,Montgomery,5497,Montgomery Precinct 13-064,833,2253,1847,116,5,15,22,82,564,5497,1,0.15153720211024194,0.40985992359468804,0.33600145533927595,0.10260141895579407,5257,0.0211024195015463,0.0009095870474804438,0.0027287611424413314,0.004002183008913953,0.01491722757867928,0.9563398217209387
