,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,906,401,577,3490,1.0,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,2183,0.25959885386819487,0.1148997134670487,0.6255014326647564
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,806,349,368,2962,1.0,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,1807,0.27211343686698175,0.11782579338284943,0.6100607697501688
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,264,56,511,1587,1.0,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1267,0.166351606805293,0.03528670447385003,0.798361688720857
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,580,220,329,1951,1.0,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,1151,0.2972834443874936,0.11276268580215275,0.5899538698103537
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,976,496,401,3199,1.0,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,1727,0.305095342294467,0.15504845264145045,0.5398562050640825
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,651,444,273,1806,1.0,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,711,0.36046511627906974,0.24584717607973422,0.39368770764119604
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,828,310,489,2832,1.0,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,1694,0.2923728813559322,0.1094632768361582,0.5981638418079096
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,638,267,423,2301,1.0,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,1396,0.27727075184702304,0.11603650586701435,0.6066927422859626
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,924,264,904,4265,1.0,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,3077,0.21664712778429074,0.06189917936694021,0.721453692848769
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,660,266,475,3162,1.0,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,2236,0.20872865275142316,0.08412397216951296,0.7071473750790639
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,1031,287,702,3854,1.0,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,2536,0.2675142708873897,0.07446808510638298,0.6580176440062273
