,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,698,298,1940,3490,1,0.44412607449856734,0.5558739255014327,2494,0.2,0.08538681948424069,0.7146131805157593
75,Montgomery,2962,Montgomery Precinct 04-006,1536,735,273,1426,2962,1,0.5185685347738015,0.4814314652261985,1954,0.24814314652261985,0.09216745442268737,0.6596893990546928
76,Montgomery,1587,Montgomery Precinct 04-027,360,367,91,1227,1587,1,0.22684310018903592,0.7731568998109641,1129,0.23125393824826718,0.0573408947700063,0.7114051669817265
77,Montgomery,1951,Montgomery Precinct 04-009,995,541,150,956,1951,1,0.5099948744233727,0.4900051255766274,1260,0.27729369554074834,0.07688364941055868,0.645822655048693
78,Montgomery,3199,Montgomery Precinct 13-051,2034,991,371,1165,3199,1,0.6358236949046577,0.36417630509534227,1837,0.3097843075961238,0.11597374179431072,0.5742419506095655
79,Montgomery,1806,Montgomery Precinct 04-034,1249,528,295,557,1806,1,0.6915836101882613,0.30841638981173863,983,0.292358803986711,0.16334440753045404,0.544296788482835
80,Montgomery,2832,Montgomery Precinct 13-043,911,660,195,1921,2832,1,0.321680790960452,0.678319209039548,1977,0.2330508474576271,0.06885593220338983,0.698093220338983
81,Montgomery,2301,Montgomery Precinct 13-045,911,597,214,1390,2301,1,0.3959148196436332,0.6040851803563668,1490,0.25945241199478486,0.09300304215558453,0.6475445458496306
82,Montgomery,4265,Montgomery Precinct 13-036,1040,840,207,3225,4265,1,0.24384525205158264,0.7561547479484173,3218,0.1969519343493552,0.048534583821805394,0.7545134818288394
83,Montgomery,3162,Montgomery Precinct 13-037,1002,626,181,2160,3162,1,0.31688804554079697,0.683111954459203,2355,0.19797596457938013,0.05724225173940544,0.7447817836812144
84,Montgomery,3854,Montgomery Precinct 13-035,962,847,217,2892,3854,1,0.24961079398028022,0.7503892060197198,2790,0.2197716658017644,0.0563051375194603,0.7239231966787752
85,Montgomery,5497,Montgomery Precinct 13-064,833,974,117,4664,5497,1,0.15153720211024194,0.8484627978897581,4406,0.17718755684919046,0.02128433691104239,0.8015281062397671
