,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,794,293,1940,3490,1,0.44412607449856734,0.5558739255014327,2403,0.22750716332378224,0.08395415472779369,0.688538681948424
75,Montgomery,2962,Montgomery Precinct 04-006,1536,670,275,1426,2962,1,0.5185685347738015,0.4814314652261985,2017,0.2261985145172181,0.09284267386900742,0.6809588116137745
76,Montgomery,1587,Montgomery Precinct 04-027,360,225,41,1227,1587,1,0.22684310018903592,0.7731568998109641,1321,0.14177693761814744,0.0258349086326402,0.8323881537492124
77,Montgomery,1951,Montgomery Precinct 04-009,995,519,163,956,1951,1,0.5099948744233727,0.4900051255766274,1269,0.26601742696053304,0.08354689902614044,0.6504356740133265
78,Montgomery,3199,Montgomery Precinct 13-051,2034,883,370,1165,3199,1,0.6358236949046577,0.36417630509534227,1946,0.27602375742419505,0.1156611441075336,0.6083150984682714
79,Montgomery,1806,Montgomery Precinct 04-034,1249,559,365,557,1806,1,0.6915836101882613,0.30841638981173863,882,0.30952380952380953,0.20210409745293467,0.4883720930232558
80,Montgomery,2832,Montgomery Precinct 13-043,911,703,225,1921,2832,1,0.321680790960452,0.678319209039548,1904,0.24823446327683615,0.07944915254237288,0.672316384180791
81,Montgomery,2301,Montgomery Precinct 13-045,911,579,196,1390,2301,1,0.3959148196436332,0.6040851803563668,1526,0.2516297262059974,0.08518035636679705,0.6631899174272056
82,Montgomery,4265,Montgomery Precinct 13-036,1040,809,177,3225,4265,1,0.24384525205158264,0.7561547479484173,3279,0.18968347010550995,0.04150058616647128,0.7688159437280188
83,Montgomery,3162,Montgomery Precinct 13-037,1002,618,178,2160,3162,1,0.31688804554079697,0.683111954459203,2366,0.1954459203036053,0.056293485135989876,0.7482605945604048
84,Montgomery,3854,Montgomery Precinct 13-035,962,915,223,2892,3854,1,0.24961079398028022,0.7503892060197198,2716,0.23741567202906072,0.05786196159833939,0.7047223663725999
85,Montgomery,5497,Montgomery Precinct 13-064,833,1154,112,4664,5497,1,0.15153720211024194,0.8484627978897581,4231,0.20993269055848646,0.02037474986356194,0.7696925595779516
86,Montgomery,2249,Montgomery Precinct 13-052,1568,563,310,681,2249,1,0.6971987550022232,0.3028012449977768,1376,0.25033348154735435,0.1378390395731436,0.611827478879502
87,Montgomery,2706,Montgomery Precinct 08-003,2131,735,556,575,2706,1,0.7875092387287509,0.21249076127124908,1415,0.27161862527716185,0.20546932742054694,0.5229120473022912
88,Montgomery,2330,Montgomery Precinct 13-046,1386,539,333,944,2330,1,0.5948497854077254,0.4051502145922747,1458,0.23133047210300428,0.14291845493562233,0.6257510729613734
89,Montgomery,1337,Montgomery Precinct 08-004,1020,366,293,317,1337,1,0.762902019446522,0.23709798055347794,678,0.2737471952131638,0.21914734480179507,0.5071054599850411
90,Montgomery,2775,Montgomery Precinct 08-008,1990,713,541,785,2775,1,0.7171171171171171,0.2828828828828829,1521,0.2569369369369369,0.19495495495495496,0.5481081081081081
91,Montgomery,3472,Montgomery Precinct 08-009,2306,1049,551,1166,3472,1,0.6641705069124424,0.3358294930875576,1872,0.30213133640552997,0.15869815668202766,0.5391705069124424
92,Montgomery,3315,Montgomery Precinct 08-001,2336,1031,607,979,3315,1,0.7046757164404224,0.2953242835595777,1677,0.3110105580693816,0.18310708898944192,0.5058823529411764
93,Montgomery,2576,Montgomery Precinct 08-012,1661,759,470,915,2576,1,0.6447981366459627,0.35520186335403725,1347,0.29464285714285715,0.18245341614906832,0.5229037267080745
94,Montgomery,2565,Montgomery Precinct 08-005,2188,737,643,377,2565,1,0.8530214424951267,0.1469785575048733,1185,0.28732943469785577,0.250682261208577,0.4619883040935672
95,Montgomery,3510,Montgomery Precinct 01-002,2324,904,708,1186,3510,1,0.6621082621082621,0.3378917378917379,1898,0.25754985754985754,0.20170940170940171,0.5407407407407407
96,Montgomery,3657,Montgomery Precinct 12-003,2956,882,1059,701,3657,1,0.8083128247197157,0.1916871752802844,1716,0.24118129614438064,0.2895816242821985,0.4692370795734208
97,Montgomery,2213,Montgomery Precinct 12-001,1875,463,661,338,2213,1,0.8472661545413466,0.1527338454586534,1089,0.20921825576140984,0.29868956168097605,0.4920921825576141
98,Montgomery,2541,Montgomery Precinct 01-001,2052,547,708,489,2541,1,0.807556080283353,0.19244391971664698,1286,0.21526957890594253,0.27863046044864226,0.5060999606454152
353,Montgomery,2107,Montgomery Precinct 03-002,1792,495,630,315,2107,1,0.8504983388704319,0.14950166112956811,982,0.2349311817750356,0.29900332225913623,0.4660654959658282
354,Montgomery,2553,Montgomery Precinct 03-001,2159,675,684,394,2553,1,0.8456717587152369,0.15432824128476302,1194,0.26439482961222094,0.2679200940070505,0.46768507638072854
355,Montgomery,1784,Montgomery Precinct 11-000,1537,478,453,247,1784,1,0.8615470852017937,0.1384529147982063,853,0.2679372197309417,0.2539237668161435,0.4781390134529148
357,Montgomery,2683,Montgomery Precinct 10-010,2126,822,534,557,2683,1,0.7923965710026091,0.20760342899739098,1327,0.30637346254193065,0.19903093551994036,0.49459560193812896
358,Montgomery,2533,Montgomery Precinct 10-002,1848,650,629,685,2533,1,0.7295696802210817,0.2704303197789183,1254,0.2566127121989735,0.2483221476510067,0.49506514015001973
359,Montgomery,1582,Montgomery Precinct 10-001,1196,338,336,386,1582,1,0.7560050568900126,0.24399494310998734,908,0.213653603034134,0.21238938053097345,0.5739570164348925
360,Montgomery,1642,Montgomery Precinct 10-013,1102,590,204,540,1642,1,0.6711327649208283,0.32886723507917176,848,0.35931790499390986,0.12423873325213154,0.5164433617539586
361,Montgomery,2293,Montgomery Precinct 10-006,1631,874,328,662,2293,1,0.7112952464020933,0.28870475359790665,1091,0.38116005233318795,0.14304404709986918,0.4757959005669429
362,Montgomery,2754,Montgomery Precinct 10-007,2119,941,474,635,2754,1,0.7694262890341321,0.23057371096586782,1339,0.3416848220769789,0.1721132897603486,0.48620188816267246
363,Montgomery,2878,Montgomery Precinct 07-003,2258,1236,315,620,2878,1,0.7845726198749131,0.21542738012508686,1327,0.4294649061848506,0.10945100764419737,0.46108408617095203
364,Montgomery,2119,Montgomery Precinct 07-022,1760,1015,205,359,2119,1,0.830580462482303,0.16941953751769703,899,0.4789995280792827,0.09674374705049552,0.4242567248702218
365,Montgomery,2648,Montgomery Precinct 10-009,1916,689,613,732,2648,1,0.7235649546827795,0.2764350453172205,1346,0.2601963746223565,0.23149546827794562,0.5083081570996979
366,Montgomery,1510,Montgomery Precinct 10-004,1093,598,225,417,1510,1,0.723841059602649,0.276158940397351,687,0.39602649006622515,0.1490066225165563,0.4549668874172185
367,Montgomery,2274,Montgomery Precinct 10-005,1625,817,357,649,2274,1,0.7145998240985049,0.2854001759014952,1100,0.3592788038698329,0.15699208443271767,0.4837291116974494
368,Montgomery,3358,Montgomery Precinct 04-012,2173,1193,499,1185,3358,1,0.6471113758189398,0.35288862418106015,1666,0.3552709946396665,0.14860035735556879,0.49612864800476475
369,Montgomery,2320,Montgomery Precinct 10-003,1721,724,397,599,2320,1,0.7418103448275862,0.25818965517241377,1199,0.3120689655172414,0.1711206896551724,0.5168103448275863
370,Montgomery,3272,Montgomery Precinct 07-015,2621,1292,447,651,3272,1,0.801039119804401,0.19896088019559902,1533,0.39486552567237165,0.13661369193154035,0.468520782396088
414,Montgomery,1927,Montgomery Precinct 07-005,1663,939,190,264,1927,1,0.8629994810586403,0.13700051894135962,798,0.48728593668915415,0.09859885832900882,0.41411520498183707
415,Montgomery,2403,Montgomery Precinct 13-039,1605,925,145,798,2403,1,0.6679151061173533,0.33208489388264667,1333,0.38493549729504783,0.06034124011652101,0.5547232625884311
416,Montgomery,4752,Montgomery Precinct 13-047,2084,1046,107,2668,4752,1,0.4385521885521885,0.5614478114478114,3599,0.22011784511784513,0.02251683501683502,0.7573653198653199
417,Montgomery,2398,Montgomery Precinct 13-004,1617,1041,54,781,2398,1,0.6743119266055045,0.3256880733944954,1303,0.4341117597998332,0.022518765638031693,0.5433694745621351
418,Montgomery,3101,Montgomery Precinct 13-008,1299,862,68,1802,3101,1,0.41889712995807804,0.581102870041922,2171,0.2779748468236053,0.021928410190261205,0.7000967429861336
419,Montgomery,2029,Montgomery Precinct 13-003,1652,1163,407,377,2029,1,0.8141941843272548,0.1858058156727452,459,0.5731887629374076,0.20059142434696894,0.22621981271562347
420,Montgomery,3334,Montgomery Precinct 13-016,768,915,76,2566,3334,1,0.23035392921415718,0.7696460707858428,2343,0.27444511097780444,0.022795440911817635,0.7027594481103779
421,Montgomery,2788,Montgomery Precinct 13-065,1261,577,62,1527,2788,1,0.45229555236728836,0.5477044476327116,2149,0.2069583931133429,0.02223816355810617,0.7708034433285509
422,Montgomery,2551,Montgomery Precinct 13-007,1648,1050,125,903,2551,1,0.6460211681693454,0.35397883183065465,1376,0.4116032928263426,0.04900039200313602,0.5393963151705213
423,Montgomery,2274,Montgomery Precinct 13-024,1361,851,190,913,2274,1,0.5985048372911169,0.401495162708883,1233,0.37423043095866315,0.08355321020228672,0.5422163588390502
1110,Montgomery,1766,Montgomery Precinct 07-028,1362,707,238,404,1766,1,0.7712344280860702,0.2287655719139298,821,0.4003397508493771,0.1347678369195923,0.46489241223103056
1111,Montgomery,3027,Montgomery Precinct 10-012,1945,1059,325,1082,3027,1,0.6425503799141064,0.35744962008589365,1643,0.34985133795837464,0.10736703006276842,0.542781631978857
1112,Montgomery,1301,Montgomery Precinct 04-032,978,510,181,323,1301,1,0.7517294388931591,0.2482705611068409,610,0.3920061491160646,0.13912375096079937,0.46887009992313605
1113,Montgomery,2349,Montgomery Precinct 10-011,1333,658,136,1016,2349,1,0.56747552149851,0.43252447850149,1555,0.28011919965942955,0.05789697743720732,0.6619838229033631
1114,Montgomery,1957,Montgomery Precinct 04-013,1683,862,308,274,1957,1,0.8599897802759325,0.14001021972406746,787,0.44047010730710273,0.15738375063873275,0.40214614205416455
1115,Montgomery,2330,Montgomery Precinct 07-018,2050,1111,231,280,2330,1,0.8798283261802575,0.12017167381974249,988,0.47682403433476395,0.09914163090128755,0.4240343347639485
1116,Montgomery,2454,Montgomery Precinct 07-024,2091,961,366,363,2454,1,0.8520782396088019,0.14792176039119803,1127,0.39160554197229014,0.1491442542787286,0.45925020374898123
1117,Montgomery,1711,Montgomery Precinct 07-027,1486,707,290,225,1711,1,0.8684979544126242,0.1315020455873758,714,0.41320864991233197,0.1694915254237288,0.4172998246639392
1118,Montgomery,3393,Montgomery Precinct 07-013,2701,1201,456,692,3393,1,0.7960506926024168,0.20394930739758327,1736,0.353964043619216,0.134394341290893,0.5116416150898909
1119,Montgomery,2602,Montgomery Precinct 07-012,2240,1148,271,362,2602,1,0.8608762490392006,0.13912375096079937,1183,0.4411990776325903,0.10415065334358185,0.4546502690238278
1120,Montgomery,4520,Montgomery Precinct 07-004,3440,1512,378,1080,4520,1,0.7610619469026548,0.23893805309734514,2630,0.3345132743362832,0.0836283185840708,0.581858407079646
1121,Montgomery,1823,Montgomery Precinct 07-007,1553,855,203,270,1823,1,0.8518924849149753,0.14810751508502468,765,0.4690071311025782,0.1113549094898519,0.4196379594075699
1122,Montgomery,3525,Montgomery Precinct 07-011,2810,1423,274,715,3525,1,0.7971631205673759,0.2028368794326241,1828,0.40368794326241136,0.0777304964539007,0.518581560283688
1123,Montgomery,5321,Montgomery Precinct 07-026,3875,1563,325,1446,5321,1,0.7282465701935726,0.27175342980642736,3433,0.2937417778613043,0.061078744596880286,0.6451794775418155
1124,Montgomery,2181,Montgomery Precinct 07-001,1599,644,158,582,2181,1,0.7331499312242091,0.2668500687757909,1379,0.29527739569005046,0.0724438331040807,0.6322787712058688
1125,Montgomery,1793,Montgomery Precinct 07-002,1663,834,341,130,1793,1,0.9274958170663692,0.07250418293363078,618,0.4651422197434467,0.1901840490797546,0.34467373117679867
1126,Montgomery,2058,Montgomery Precinct 07-006,1844,973,290,214,2058,1,0.8960155490767736,0.10398445092322643,795,0.47278911564625853,0.14091350826044705,0.38629737609329445
1127,Montgomery,1085,Montgomery Precinct 07-021,993,537,159,92,1085,1,0.9152073732718894,0.0847926267281106,389,0.4949308755760369,0.14654377880184333,0.3585253456221198
1128,Montgomery,2548,Montgomery Precinct 07-020,1786,877,297,762,2548,1,0.7009419152276295,0.2990580847723705,1374,0.34419152276295134,0.11656200941915228,0.5392464678178964
1129,Montgomery,2356,Montgomery Precinct 07-025,1718,798,268,638,2356,1,0.7292020373514432,0.2707979626485569,1290,0.3387096774193548,0.11375212224108659,0.5475382003395586
1130,Montgomery,3378,Montgomery Precinct 07-010,2587,1064,283,791,3378,1,0.7658377738306691,0.23416222616933097,2031,0.31497927767910006,0.0837773830669035,0.6012433392539964
1131,Montgomery,1339,Montgomery Precinct 07-031,1068,453,126,271,1339,1,0.7976101568334578,0.20238984316654218,760,0.33831217326362956,0.09410007468259896,0.5675877520537714
1132,Montgomery,3359,Montgomery Precinct 04-018,2439,982,353,920,3359,1,0.7261089610002978,0.2738910389997023,2024,0.2923489133670735,0.10509080083358142,0.6025602857993451
1133,Montgomery,2203,Montgomery Precinct 04-028,1437,412,70,766,2203,1,0.6522923286427599,0.3477076713572401,1721,0.1870177031320926,0.03177485247389923,0.7812074443940081
1134,Montgomery,3906,Montgomery Precinct 04-031,2703,1034,266,1203,3906,1,0.6920122887864824,0.30798771121351765,2606,0.26472094214029696,0.06810035842293907,0.667178699436764
1135,Montgomery,3257,Montgomery Precinct 04-010,2452,956,350,805,3257,1,0.7528400368437212,0.24715996315627878,1951,0.2935216456862143,0.10746085354620817,0.5990175007675775
1136,Montgomery,2490,Montgomery Precinct 04-017,1774,794,195,716,2490,1,0.7124497991967872,0.28755020080321286,1501,0.3188755020080321,0.0783132530120482,0.6028112449799197
1137,Montgomery,3550,Montgomery Precinct 04-008,2235,1017,263,1315,3550,1,0.6295774647887324,0.3704225352112676,2270,0.2864788732394366,0.07408450704225353,0.6394366197183099
1264,Montgomery,3965,Montgomery Precinct 07-008,2981,1093,256,984,3965,1,0.7518284993694829,0.24817150063051702,2616,0.2756620428751576,0.06456494325346784,0.6597730138713745
1265,Montgomery,2847,Montgomery Precinct 07-009,2231,958,240,616,2847,1,0.7836318932209343,0.21636810677906568,1649,0.33649455567263786,0.08429926238145416,0.579206181945908
1266,Montgomery,1400,Montgomery Precinct 07-032,1222,453,202,178,1400,1,0.8728571428571429,0.12714285714285714,745,0.32357142857142857,0.1442857142857143,0.5321428571428571
1267,Montgomery,1964,Montgomery Precinct 07-016,1563,813,202,401,1964,1,0.7958248472505092,0.20417515274949083,949,0.4139511201629328,0.10285132382892057,0.4831975560081466
1268,Montgomery,3443,Montgomery Precinct 04-004,2536,1125,319,907,3443,1,0.7365669474295672,0.26343305257043276,1999,0.326749927388905,0.0926517571884984,0.5805983154225965
1269,Montgomery,5607,Montgomery Precinct 04-015,2542,488,126,3065,5607,1,0.45336186909220616,0.5466381309077938,4993,0.08703406456215446,0.02247191011235955,0.890494025325486
1270,Montgomery,4958,Montgomery Precinct 13-025,1182,1114,232,3776,4958,1,0.23840258168616377,0.7615974183138362,3612,0.22468737394110527,0.04679306171843485,0.7285195643404598
