,COUNTY,VAP,NAME,WVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,190,175,712,1692,1,0.5791962174940898,0.42080378250591016,1327,0.11229314420803782,0.10342789598108747,0.7842789598108747
389,Prince George's,2531,Prince George's Precinct 11-002,511,850,162,2020,2531,1,0.20189648360331885,0.7981035163966812,1519,0.3358356380877124,0.06400632161201106,0.6001580403002765
390,Prince George's,3507,Prince George's Precinct 15-001,574,1097,139,2933,3507,1,0.16367265469061876,0.8363273453093812,2271,0.3128029654975763,0.039635015682919876,0.6475620188195038
391,Prince George's,3267,Prince George's Precinct 15-004,469,931,129,2798,3267,1,0.1435567799204163,0.8564432200795837,2207,0.2849709213345577,0.03948576675849403,0.6755433119069483
392,Prince George's,2065,Prince George's Precinct 04-001,1341,371,347,724,2065,1,0.6493946731234866,0.3506053268765133,1347,0.17966101694915254,0.16803874092009685,0.6523002421307506
394,Prince George's,1133,Prince George's Precinct 03-001,419,257,105,714,1133,1,0.3698146513680494,0.6301853486319505,771,0.22683142100617829,0.09267431597528684,0.6804942630185349
400,Prince George's,1983,Prince George's Precinct 12-002,167,436,44,1816,1983,1,0.08421583459404942,0.9157841654059505,1503,0.21986888552697934,0.022188603126575897,0.7579425113464447
401,Prince George's,4528,Prince George's Precinct 12-009,53,508,6,4475,4528,1,0.011704946996466431,0.9882950530035336,4014,0.11219081272084806,0.001325088339222615,0.8864840989399293
402,Prince George's,4488,Prince George's Precinct 12-004,126,773,39,4362,4488,1,0.02807486631016043,0.9719251336898396,3676,0.17223707664884136,0.008689839572192513,0.8190730837789661
403,Prince George's,4072,Prince George's Precinct 12-006,80,658,27,3992,4072,1,0.019646365422396856,0.9803536345776032,3387,0.16159135559921414,0.006630648330058939,0.8317779960707269
404,Prince George's,3288,Prince George's Precinct 12-012,212,637,39,3076,3288,1,0.06447688564476886,0.9355231143552312,2612,0.19373479318734793,0.011861313868613138,0.7944038929440389
405,Prince George's,2724,Prince George's Precinct 12-016,113,399,17,2611,2724,1,0.041483113069016156,0.9585168869309838,2308,0.14647577092511013,0.006240822320117474,0.8472834067547724
406,Prince George's,3144,Prince George's Precinct 12-003,178,584,23,2966,3144,1,0.056615776081424936,0.943384223918575,2537,0.18575063613231552,0.007315521628498728,0.8069338422391857
407,Prince George's,1980,Prince George's Precinct 12-007,69,530,43,1911,1980,1,0.03484848484848485,0.9651515151515152,1407,0.2676767676767677,0.021717171717171718,0.7106060606060606
408,Prince George's,1110,Prince George's Precinct 12-017,127,133,7,983,1110,1,0.11441441441441441,0.8855855855855855,970,0.11981981981981982,0.006306306306306306,0.8738738738738738
409,Prince George's,3753,Prince George's Precinct 12-013,94,885,30,3659,3753,1,0.025046629363176125,0.9749533706368239,2838,0.23581135091926458,0.007993605115907274,0.7561950439648282
410,Prince George's,2131,Prince George's Precinct 06-008,57,514,12,2074,2131,1,0.02674800563115908,0.9732519943688409,1605,0.24120131393711872,0.005631159080244017,0.7531675269826372
411,Prince George's,4750,Prince George's Precinct 06-017,139,808,26,4611,4750,1,0.02926315789473684,0.9707368421052631,3916,0.17010526315789473,0.0054736842105263155,0.8244210526315789
412,Prince George's,2691,Prince George's Precinct 06-009,88,544,17,2603,2691,1,0.032701597918989224,0.9672984020810108,2130,0.2021553325901152,0.0063173541434411,0.7915273132664437
413,Prince George's,2205,Prince George's Precinct 06-012,55,437,25,2150,2205,1,0.024943310657596373,0.9750566893424036,1743,0.1981859410430839,0.011337868480725623,0.7904761904761904
452,Prince George's,2194,Prince George's Precinct 12-008,175,541,29,2019,2194,1,0.07976298997265269,0.9202370100273473,1624,0.24658158614402917,0.013217866909753875,0.740200546946217
453,Prince George's,2657,Prince George's Precinct 12-015,108,658,33,2549,2657,1,0.04064734663153933,0.9593526533684607,1966,0.24764772299586,0.012420022581859239,0.7399322544222807
470,Prince George's,3323,Prince George's Precinct 09-007,221,1091,92,3102,3323,1,0.06650616912428528,0.9334938308757147,2140,0.32831778513391513,0.027685826060788444,0.6439963888052964
471,Prince George's,2034,Prince George's Precinct 09-004,273,649,63,1761,2034,1,0.13421828908554573,0.8657817109144543,1322,0.3190757128810226,0.030973451327433628,0.6499508357915438
472,Prince George's,3032,Prince George's Precinct 09-005,266,871,63,2766,3032,1,0.08773087071240106,0.912269129287599,2098,0.28726912928759896,0.02077836411609499,0.691952506596306
473,Prince George's,3691,Prince George's Precinct 09-001,425,1115,95,3266,3691,1,0.11514494716878895,0.884855052831211,2481,0.302086155513411,0.02573828230831753,0.6721755621782715
474,Prince George's,2377,Prince George's Precinct 09-010,356,665,57,2021,2377,1,0.14976861590239798,0.850231384097602,1655,0.2797644089188052,0.023979806478754733,0.6962557846024401
475,Prince George's,3501,Prince George's Precinct 09-002,398,1009,72,3103,3501,1,0.11368180519851472,0.8863181948014853,2420,0.28820337046558125,0.02056555269922879,0.6912310768351899
476,Prince George's,4703,Prince George's Precinct 09-008,452,1464,96,4251,4703,1,0.09610886668084201,0.9038911333191579,3143,0.31129066553263873,0.02041250265787795,0.6682968318094833
477,Prince George's,2747,Prince George's Precinct 09-006,357,1095,67,2390,2747,1,0.12995995631598106,0.8700400436840189,1585,0.3986166727338915,0.024390243902439025,0.5769930833636695
478,Prince George's,2862,Prince George's Precinct 11-004,854,984,184,2008,2862,1,0.2983927323549965,0.7016072676450035,1694,0.3438155136268344,0.06429070580013976,0.5918937805730259
479,Prince George's,2840,Prince George's Precinct 11-001,589,771,101,2251,2840,1,0.2073943661971831,0.7926056338028169,1968,0.27147887323943665,0.03556338028169014,0.6929577464788732
480,Prince George's,4018,Prince George's Precinct 09-011,519,815,89,3499,4018,1,0.12916874066699852,0.8708312593330015,3114,0.20283723245395718,0.02215032354405177,0.775012444001991
