,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,275,139,712,1692,1,0.5791962174940898,0.42080378250591016,1278,0.16252955082742318,0.08215130023640661,0.7553191489361702
389,Prince George's,2531,Prince George's Precinct 11-002,511,931,110,2020,2531,1,0.20189648360331885,0.7981035163966812,1490,0.3678387988937179,0.043461082576056895,0.5887001185302252
390,Prince George's,3507,Prince George's Precinct 15-001,574,1285,128,2933,3507,1,0.16367265469061876,0.8363273453093812,2094,0.3664100370687197,0.03649843170801255,0.5970915312232677
391,Prince George's,3267,Prince George's Precinct 15-004,469,1064,117,2798,3267,1,0.1435567799204163,0.8564432200795837,2086,0.32568105295378025,0.03581267217630854,0.6385062748699112
392,Prince George's,2065,Prince George's Precinct 04-001,1341,434,255,724,2065,1,0.6493946731234866,0.3506053268765133,1376,0.21016949152542372,0.1234866828087167,0.6663438256658596
394,Prince George's,1133,Prince George's Precinct 03-001,419,330,84,714,1133,1,0.3698146513680494,0.6301853486319505,719,0.2912621359223301,0.07413945278022947,0.6345984112974404
400,Prince George's,1983,Prince George's Precinct 12-002,167,528,40,1816,1983,1,0.08421583459404942,0.9157841654059505,1415,0.26626323751891073,0.020171457387796268,0.713565305093293
401,Prince George's,4528,Prince George's Precinct 12-009,53,749,28,4475,4528,1,0.011704946996466431,0.9882950530035336,3751,0.16541519434628976,0.006183745583038869,0.8284010600706714
402,Prince George's,4488,Prince George's Precinct 12-004,126,963,37,4362,4488,1,0.02807486631016043,0.9719251336898396,3488,0.21457219251336898,0.008244206773618538,0.7771836007130125
403,Prince George's,4072,Prince George's Precinct 12-006,80,899,34,3992,4072,1,0.019646365422396856,0.9803536345776032,3139,0.22077603143418467,0.008349705304518664,0.7708742632612967
404,Prince George's,3288,Prince George's Precinct 12-012,212,740,42,3076,3288,1,0.06447688564476886,0.9355231143552312,2506,0.22506082725060828,0.012773722627737226,0.7621654501216545
405,Prince George's,2724,Prince George's Precinct 12-016,113,601,30,2611,2724,1,0.041483113069016156,0.9585168869309838,2093,0.22063142437591776,0.011013215859030838,0.7683553597650514
