,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,86,23,13,54,1692,1,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1570,0.0508274231678487,0.013593380614657211,0.0076832151300236405,0.9278959810874704
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,289,42,21,148,2531,1,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,2179,0.11418411694982221,0.016594231529039907,0.008297115764519953,0.860924535756618
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,391,61,34,165,3507,1,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,3021,0.11149130310806958,0.017393783860849728,0.009694895922440832,0.8614200171086399
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,339,70,13,161,3267,1,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,2845,0.10376492194674013,0.021426385062748698,0.003979185797367615,0.8708295071931436
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,132,65,15,74,2065,1,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1853,0.06392251815980629,0.031476997578692496,0.007263922518159807,0.8973365617433414
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,110,34,6,50,1133,1,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,983,0.0970873786407767,0.03000882612533098,0.00529567519858782,0.8676081200353045
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,177,25,7,124,1983,1,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1774,0.08925869894099848,0.012607160867372668,0.0035300050428643467,0.8946041351487645
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,182,18,7,92,4528,1,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,4321,0.04019434628975265,0.003975265017667844,0.0015459363957597172,0.9542844522968198
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,254,41,10,173,4488,1,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,4183,0.05659536541889483,0.009135472370766489,0.0022281639928698753,0.9320409982174688
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,244,24,4,84,4072,1,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3800,0.05992141453831041,0.005893909626719057,0.0009823182711198428,0.9332023575638507
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,213,44,15,216,3288,1,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,3016,0.06478102189781022,0.01338199513381995,0.004562043795620438,0.9172749391727494
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,127,19,8,91,2724,1,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,2570,0.046622613803230545,0.0069750367107195305,0.002936857562408223,0.9434654919236417
406,Prince George's,3144,Prince George's Precinct 12-003,178,2672,156,210,18,8,138,3144,1,0.056615776081424936,0.8498727735368957,0.04961832061068702,0.04389312977099236,2908,0.06679389312977099,0.0057251908396946565,0.002544529262086514,0.9249363867684478
407,Prince George's,1980,Prince George's Precinct 12-007,69,1759,91,192,24,12,61,1980,1,0.03484848484848485,0.8883838383838384,0.04595959595959596,0.03080808080808081,1752,0.09696969696969697,0.012121212121212121,0.006060606060606061,0.8848484848484849
408,Prince George's,1110,Prince George's Precinct 12-017,127,920,20,60,11,1,43,1110,1,0.11441441441441441,0.8288288288288288,0.018018018018018018,0.03873873873873874,1038,0.05405405405405406,0.00990990990990991,0.0009009009009009009,0.9351351351351351
409,Prince George's,3753,Prince George's Precinct 12-013,94,3516,77,370,44,18,66,3753,1,0.025046629363176125,0.9368505195843325,0.02051691979749534,0.017585931254996003,3321,0.09858779642952305,0.011723954169997336,0.004796163069544364,0.8848920863309353
410,Prince George's,2131,Prince George's Precinct 06-008,57,1967,67,220,28,9,40,2131,1,0.02674800563115908,0.9230408259033318,0.03144063819802909,0.018770530267480056,1874,0.1032379164711403,0.01313937118723604,0.004223369310183012,0.8793993430314406
