,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,44,1,9,2,61,54,1692,1,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1575,0.026004728132387706,0.000591016548463357,0.005319148936170213,0.001182033096926714,0.03605200945626478,0.9308510638297872
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,226,12,19,6,258,148,2531,1,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,2010,0.08929276965626234,0.004741209008297116,0.0075069142631371,0.002370604504148558,0.10193599367838799,0.7941525088897669
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,268,5,22,8,340,165,3507,1,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,2864,0.07641859138865127,0.00142571998859424,0.006273167949814656,0.0022811519817507843,0.09694895922440833,0.8166524094667807
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,229,7,24,6,316,161,3267,1,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,2685,0.07009488827670646,0.0021426385062748698,0.0073461891643709825,0.0018365472910927456,0.09672482399755127,0.8218549127640037
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,68,4,13,2,113,74,2065,1,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1865,0.03292978208232446,0.001937046004842615,0.006295399515738499,0.0009685230024213075,0.054721549636803875,0.9031476997578692
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,67,4,9,4,84,50,1133,1,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,965,0.05913503971756399,0.00353045013239188,0.00794351279788173,0.00353045013239188,0.07413945278022947,0.851721094439541
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,99,3,7,1,80,124,1983,1,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1793,0.049924357034795766,0.0015128593040847202,0.0035300050428643467,0.0005042864346949068,0.040342914775592535,0.9041855774079677
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,83,1,5,0,105,92,4528,1,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,4334,0.018330388692579504,0.00022084805653710247,0.0011042402826855124,0.0,0.02318904593639576,0.9571554770318021
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,162,2,7,6,179,173,4488,1,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,4132,0.03609625668449198,0.000445632798573975,0.0015597147950089127,0.001336898395721925,0.03988413547237077,0.9206773618538324
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,113,3,17,5,174,84,4072,1,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3760,0.02775049115913556,0.0007367387033398821,0.004174852652259332,0.0012278978388998035,0.04273084479371316,0.9233791748526523
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,133,3,6,5,152,216,3288,1,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,2989,0.040450121654501216,0.0009124087591240876,0.0018248175182481751,0.0015206812652068127,0.046228710462287104,0.9090632603406326
