,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,165,256,54,1692,1,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1271,0.0975177304964539,0.15130023640661938,0.7511820330969267
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,732,321,148,2531,1,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,1478,0.28921374950612405,0.12682734097194784,0.5839589095219281
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,1038,405,165,3507,1,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,2064,0.29597946963216426,0.11548331907613345,0.5885372112917023
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,868,349,161,3267,1,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,2050,0.26568717477808385,0.10682583409856138,0.6274869911233547
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,233,472,74,2065,1,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1360,0.11283292978208233,0.22857142857142856,0.6585956416464891
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,219,198,50,1133,1,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,716,0.19329214474845544,0.17475728155339806,0.6319505736981466
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,428,141,124,1983,1,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1414,0.21583459404942007,0.07110438729198185,0.7130610186585981
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,669,108,92,4528,1,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,3751,0.14774734982332155,0.023851590106007067,0.8284010600706714
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,816,183,173,4488,1,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,3489,0.18181818181818182,0.04077540106951872,0.7774064171122995
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,755,176,84,4072,1,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3141,0.18541257367387035,0.043222003929273084,0.7713654223968566
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,632,157,216,3288,1,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,2499,0.1922141119221411,0.047749391727493914,0.760036496350365
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,518,103,91,2724,1,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,2103,0.19016152716593246,0.037812041116005876,0.7720264317180616
