,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,523,296,712,1692,1.0,0.5791962174940898,0.42080378250591016,873,0.30910165484633567,0.17494089834515367,0.5159574468085106
389,Prince George's,2531,Prince George's Precinct 11-002,511,1397,189,2020,2531,1.0,0.20189648360331885,0.7981035163966812,945,0.5519557487159226,0.07467404188067957,0.3733702094033979
390,Prince George's,3507,Prince George's Precinct 15-001,574,1825,205,2933,3507,1.0,0.16367265469061876,0.8363273453093812,1477,0.5203877958368976,0.058454519532363844,0.42115768463073855
391,Prince George's,3267,Prince George's Precinct 15-004,469,1351,145,2798,3267,1.0,0.1435567799204163,0.8564432200795837,1771,0.4135292317110499,0.04438322620140802,0.5420875420875421
392,Prince George's,2065,Prince George's Precinct 04-001,1341,648,524,724,2065,1.0,0.6493946731234866,0.3506053268765133,893,0.3138014527845036,0.25375302663438254,0.4324455205811138
394,Prince George's,1133,Prince George's Precinct 03-001,419,443,167,714,1133,1.0,0.3698146513680494,0.6301853486319505,523,0.3909973521624007,0.147396293027361,0.4616063548102383
400,Prince George's,1983,Prince George's Precinct 12-002,167,937,51,1816,1983,1.0,0.08421583459404942,0.9157841654059505,995,0.4725163893091276,0.025718608169440244,0.5017650025214322
401,Prince George's,4528,Prince George's Precinct 12-009,53,1537,13,4475,4528,1.0,0.011704946996466431,0.9882950530035336,2978,0.3394434628975265,0.002871024734982332,0.6576855123674912
402,Prince George's,4488,Prince George's Precinct 12-004,126,1768,38,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2682,0.3939393939393939,0.008467023172905526,0.5975935828877005
403,Prince George's,4072,Prince George's Precinct 12-006,80,1598,27,3992,4072,1.0,0.019646365422396856,0.9803536345776032,2447,0.3924361493123772,0.006630648330058939,0.6009332023575639
404,Prince George's,3288,Prince George's Precinct 12-012,212,1423,57,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1808,0.4327858880778589,0.017335766423357664,0.5498783454987834
405,Prince George's,2724,Prince George's Precinct 12-016,113,914,25,2611,2724,1.0,0.041483113069016156,0.9585168869309838,1785,0.3355359765051395,0.009177679882525698,0.6552863436123348
406,Prince George's,3144,Prince George's Precinct 12-003,178,1413,36,2966,3144,1.0,0.056615776081424936,0.943384223918575,1695,0.4494274809160305,0.011450381679389313,0.5391221374045801
407,Prince George's,1980,Prince George's Precinct 12-007,69,840,23,1911,1980,1.0,0.03484848484848485,0.9651515151515152,1117,0.42424242424242425,0.011616161616161616,0.5641414141414142
408,Prince George's,1110,Prince George's Precinct 12-017,127,607,36,983,1110,1.0,0.11441441441441441,0.8855855855855855,467,0.5468468468468468,0.032432432432432434,0.4207207207207207
409,Prince George's,3753,Prince George's Precinct 12-013,94,1629,19,3659,3753,1.0,0.025046629363176125,0.9749533706368239,2105,0.434052757793765,0.005062616573407941,0.560884625632827
410,Prince George's,2131,Prince George's Precinct 06-008,57,1021,19,2074,2131,1.0,0.02674800563115908,0.9732519943688409,1091,0.4791177850774284,0.008916001877053027,0.5119662130455185
411,Prince George's,4750,Prince George's Precinct 06-017,139,1796,27,4611,4750,1.0,0.02926315789473684,0.9707368421052631,2927,0.3781052631578947,0.00568421052631579,0.6162105263157894
412,Prince George's,2691,Prince George's Precinct 06-009,88,1143,30,2603,2691,1.0,0.032701597918989224,0.9672984020810108,1518,0.42474916387959866,0.011148272017837236,0.5641025641025641
413,Prince George's,2205,Prince George's Precinct 06-012,55,1100,28,2150,2205,1.0,0.024943310657596373,0.9750566893424036,1077,0.4988662131519274,0.012698412698412698,0.4884353741496599
452,Prince George's,2194,Prince George's Precinct 12-008,175,1125,47,2019,2194,1.0,0.07976298997265269,0.9202370100273473,1022,0.5127620783956244,0.021422060164083864,0.4658158614402917
453,Prince George's,2657,Prince George's Precinct 12-015,108,1329,34,2549,2657,1.0,0.04064734663153933,0.9593526533684607,1294,0.5001881821603312,0.01279638690252164,0.48701543093714716
470,Prince George's,3323,Prince George's Precinct 09-007,221,1864,88,3102,3323,1.0,0.06650616912428528,0.9334938308757147,1371,0.5609389106229311,0.026482094492928078,0.41257899488414085
471,Prince George's,2034,Prince George's Precinct 09-004,273,1140,93,1761,2034,1.0,0.13421828908554573,0.8657817109144543,801,0.56047197640118,0.045722713864306784,0.3938053097345133
472,Prince George's,3032,Prince George's Precinct 09-005,266,1576,81,2766,3032,1.0,0.08773087071240106,0.912269129287599,1375,0.5197889182058048,0.02671503957783641,0.45349604221635886
473,Prince George's,3691,Prince George's Precinct 09-001,425,1924,137,3266,3691,1.0,0.11514494716878895,0.884855052831211,1630,0.521267949065294,0.03711731238146844,0.44161473855323763
474,Prince George's,2377,Prince George's Precinct 09-010,356,1176,104,2021,2377,1.0,0.14976861590239798,0.850231384097602,1097,0.49474127050904504,0.04375262936474548,0.4615061001262095
475,Prince George's,3501,Prince George's Precinct 09-002,398,1744,105,3103,3501,1.0,0.11368180519851472,0.8863181948014853,1652,0.4981433876035418,0.029991431019708654,0.4718651813767495
476,Prince George's,4703,Prince George's Precinct 09-008,452,2264,150,4251,4703,1.0,0.09610886668084201,0.9038911333191579,2289,0.4813948543482883,0.0318945354029343,0.4867106102487774
477,Prince George's,2747,Prince George's Precinct 09-006,357,1479,91,2390,2747,1.0,0.12995995631598106,0.8700400436840189,1177,0.5384055333090645,0.03312704768838733,0.42846741900254826
478,Prince George's,2862,Prince George's Precinct 11-004,854,1449,223,2008,2862,1.0,0.2983927323549965,0.7016072676450035,1190,0.5062893081761006,0.07791754018169113,0.41579315164220826
479,Prince George's,2840,Prince George's Precinct 11-001,589,1522,193,2251,2840,1.0,0.2073943661971831,0.7926056338028169,1125,0.5359154929577464,0.06795774647887325,0.3961267605633803
