,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,408,143,712,1692,1.0,0.5791962174940898,0.42080378250591016,1141,0.24113475177304963,0.08451536643026004,0.6743498817966903
389,Prince George's,2531,Prince George's Precinct 11-002,511,1192,117,2020,2531,1.0,0.20189648360331885,0.7981035163966812,1222,0.47096009482418016,0.04622678783089688,0.48281311734492294
390,Prince George's,3507,Prince George's Precinct 15-001,574,1554,116,2933,3507,1.0,0.16367265469061876,0.8363273453093812,1837,0.4431137724550898,0.03307670373538637,0.5238095238095238
391,Prince George's,3267,Prince George's Precinct 15-004,469,1133,95,2798,3267,1.0,0.1435567799204163,0.8564432200795837,2039,0.3468013468013468,0.029078665442301806,0.6241199877563514
392,Prince George's,2065,Prince George's Precinct 04-001,1341,543,317,724,2065,1.0,0.6493946731234866,0.3506053268765133,1205,0.262953995157385,0.15351089588377723,0.5835351089588378
394,Prince George's,1133,Prince George's Precinct 03-001,419,381,103,714,1133,1.0,0.3698146513680494,0.6301853486319505,649,0.33627537511032657,0.09090909090909091,0.5728155339805825
400,Prince George's,1983,Prince George's Precinct 12-002,167,794,34,1816,1983,1.0,0.08421583459404942,0.9157841654059505,1155,0.40040342914775595,0.01714573877962683,0.5824508320726173
401,Prince George's,4528,Prince George's Precinct 12-009,53,1299,11,4475,4528,1.0,0.011704946996466431,0.9882950530035336,3218,0.2868816254416961,0.002429328621908127,0.7106890459363958
402,Prince George's,4488,Prince George's Precinct 12-004,126,1541,42,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2905,0.3433600713012478,0.009358288770053475,0.6472816399286988
403,Prince George's,4072,Prince George's Precinct 12-006,80,1372,25,3992,4072,1.0,0.019646365422396856,0.9803536345776032,2675,0.3369351669941061,0.006139489194499017,0.6569253438113949
404,Prince George's,3288,Prince George's Precinct 12-012,212,1266,35,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1987,0.38503649635036497,0.010644768856447688,0.6043187347931873
