,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
108,Washington,2005,Washington Precinct 07-002,1820,74,68,195,461,43,2005,1,0.9077306733167082,0.03690773067331671,0.03391521197007481,0.02144638403990025,1349,0.09725685785536159,0.22992518703241896,0.6728179551122194
109,Washington,2584,Washington Precinct 07-001,2474,27,53,210,693,30,2584,1,0.9574303405572755,0.01044891640866873,0.020510835913312694,0.011609907120743035,1681,0.08126934984520123,0.2681888544891641,0.6505417956656346
110,Washington,883,Washington Precinct 14-001,858,4,13,75,243,8,883,1,0.9716874292185731,0.004530011325028313,0.014722536806342015,0.009060022650056626,565,0.08493771234428087,0.27519818799546997,0.6398640996602492
111,Washington,1184,Washington Precinct 14-002,1120,27,11,79,193,26,1184,1,0.9459459459459459,0.022804054054054054,0.009290540540540541,0.02195945945945946,912,0.06672297297297297,0.16300675675675674,0.7702702702702703
164,Washington,1945,Washington Precinct 08-000,1896,12,22,220,493,15,1945,1,0.9748071979434447,0.006169665809768638,0.011311053984575836,0.007712082262210797,1232,0.11311053984575835,0.2534704370179949,0.6334190231362468
167,Washington,1846,Washington Precinct 19-000,1762,32,26,201,550,26,1846,1,0.9544962080173348,0.01733477789815818,0.014084507042253521,0.014084507042253521,1095,0.10888407367280607,0.2979414951245937,0.5931744312026003
168,Washington,2585,Washington Precinct 06-002,2446,42,53,290,556,44,2585,1,0.9462282398452612,0.016247582205029015,0.020502901353965184,0.01702127659574468,1739,0.11218568665377177,0.2150870406189555,0.6727272727272727
169,Washington,2120,Washington Precinct 06-001,2021,32,40,254,541,27,2120,1,0.9533018867924529,0.01509433962264151,0.018867924528301886,0.012735849056603774,1325,0.11981132075471698,0.25518867924528305,0.625
170,Washington,2992,Washington Precinct 16-000,2783,43,50,284,782,116,2992,1,0.9301470588235294,0.014371657754010695,0.016711229946524065,0.03877005347593583,1926,0.09491978609625669,0.26136363636363635,0.6437165775401069
171,Washington,3446,Washington Precinct 02-000,3270,71,36,331,692,69,3446,1,0.9489262913522926,0.02060359837492745,0.01044689495066744,0.020023215322112594,2423,0.09605339524085897,0.2008125362739408,0.7031340684852002
172,Washington,3981,Washington Precinct 23-000,3821,55,63,268,933,42,3981,1,0.9598090931926652,0.013815624215021352,0.015825169555388093,0.010550113036925395,2780,0.06731976890228586,0.2343632253202713,0.6983170057774428
173,Washington,2569,Washington Precinct 26-003,2433,34,35,301,592,67,2569,1,0.9470611132736473,0.013234721681588166,0.013623978201634877,0.026080186843129623,1676,0.11716621253405994,0.23043985986765278,0.6523939275982873
174,Washington,3543,Washington Precinct 26-001,3247,126,82,316,633,88,3543,1,0.9164549816539656,0.03556308213378493,0.02314422805532035,0.024837708156929157,2594,0.08918995201806379,0.17866215071972905,0.7321478972622072
175,Washington,2281,Washington Precinct 26-002,2020,88,94,246,411,79,2281,1,0.8855765015344147,0.03857957036387549,0.041209995615957916,0.03463393248575186,1624,0.10784743533537922,0.18018412976764578,0.711968434896975
176,Washington,2361,Washington Precinct 10-002,1969,175,111,273,567,106,2361,1,0.833968657348581,0.07412113511224058,0.04701397712833545,0.04489623041084286,1521,0.1156289707750953,0.24015247776365947,0.6442185514612452
177,Washington,1736,Washington Precinct 03-004,1327,274,72,82,93,63,1736,1,0.7644009216589862,0.1578341013824885,0.041474654377880185,0.036290322580645164,1561,0.04723502304147465,0.05357142857142857,0.8991935483870968
178,Washington,2009,Washington Precinct 03-003,1620,255,77,137,199,57,2009,1,0.8063713290194127,0.12692882030861125,0.03832752613240418,0.028372324539571926,1673,0.06819313091090094,0.09905425584868094,0.8327526132404182
179,Washington,1404,Washington Precinct 03-002,1228,100,40,139,124,36,1404,1,0.8746438746438746,0.07122507122507123,0.02849002849002849,0.02564102564102564,1141,0.099002849002849,0.08831908831908832,0.8126780626780626
180,Washington,2964,Washington Precinct 13-001,2854,30,40,213,732,40,2964,1,0.9628879892037787,0.010121457489878543,0.01349527665317139,0.01349527665317139,2019,0.07186234817813765,0.24696356275303644,0.6811740890688259
