,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
108,Washington,2005,Washington Precinct 07-002,1820,74,68,229,466,43,2005,1,0.9077306733167082,0.03690773067331671,0.03391521197007481,0.02144638403990025,1310,0.114214463840399,0.23241895261845386,0.6533665835411472
109,Washington,2584,Washington Precinct 07-001,2474,27,53,292,660,30,2584,1,0.9574303405572755,0.01044891640866873,0.020510835913312694,0.011609907120743035,1632,0.1130030959752322,0.25541795665634676,0.631578947368421
110,Washington,883,Washington Precinct 14-001,858,4,13,103,234,8,883,1,0.9716874292185731,0.004530011325028313,0.014722536806342015,0.009060022650056626,546,0.11664779161947905,0.2650056625141563,0.6183465458663646
111,Washington,1184,Washington Precinct 14-002,1120,27,11,97,194,26,1184,1,0.9459459459459459,0.022804054054054054,0.009290540540540541,0.02195945945945946,893,0.08192567567567567,0.16385135135135134,0.754222972972973
164,Washington,1945,Washington Precinct 08-000,1896,12,22,282,471,15,1945,1,0.9748071979434447,0.006169665809768638,0.011311053984575836,0.007712082262210797,1192,0.144987146529563,0.24215938303341902,0.612853470437018
167,Washington,1846,Washington Precinct 19-000,1762,32,26,267,538,26,1846,1,0.9544962080173348,0.01733477789815818,0.014084507042253521,0.014084507042253521,1041,0.14463705308775732,0.2914409534127844,0.5639219934994583
168,Washington,2585,Washington Precinct 06-002,2446,42,53,351,541,44,2585,1,0.9462282398452612,0.016247582205029015,0.020502901353965184,0.01702127659574468,1693,0.1357833655705996,0.209284332688588,0.6549323017408124
169,Washington,2120,Washington Precinct 06-001,2021,32,40,343,504,27,2120,1,0.9533018867924529,0.01509433962264151,0.018867924528301886,0.012735849056603774,1273,0.16179245283018867,0.23773584905660378,0.6004716981132076
170,Washington,2992,Washington Precinct 16-000,2783,43,50,380,765,116,2992,1,0.9301470588235294,0.014371657754010695,0.016711229946524065,0.03877005347593583,1847,0.1270053475935829,0.2556818181818182,0.6173128342245989
171,Washington,3446,Washington Precinct 02-000,3270,71,36,434,661,69,3446,1,0.9489262913522926,0.02060359837492745,0.01044689495066744,0.020023215322112594,2351,0.12594312246082415,0.1918165989553105,0.6822402785838654
172,Washington,3981,Washington Precinct 23-000,3821,55,63,361,909,42,3981,1,0.9598090931926652,0.013815624215021352,0.015825169555388093,0.010550113036925395,2711,0.09068073348404923,0.22833458929917105,0.6809846772167797
173,Washington,2569,Washington Precinct 26-003,2433,34,35,363,587,67,2569,1,0.9470611132736473,0.013234721681588166,0.013623978201634877,0.026080186843129623,1619,0.141300116776956,0.22849357726741923,0.6302063059556248
174,Washington,3543,Washington Precinct 26-001,3247,126,82,408,607,88,3543,1,0.9164549816539656,0.03556308213378493,0.02314422805532035,0.024837708156929157,2528,0.11515664690939881,0.17132373694609088,0.7135196161445103
175,Washington,2281,Washington Precinct 26-002,2020,88,94,310,406,79,2281,1,0.8855765015344147,0.03857957036387549,0.041209995615957916,0.03463393248575186,1565,0.13590530469092504,0.17799210872424376,0.6861025865848313
176,Washington,2361,Washington Precinct 10-002,1969,175,111,342,550,106,2361,1,0.833968657348581,0.07412113511224058,0.04701397712833545,0.04489623041084286,1469,0.144853875476493,0.23295213892418468,0.6221939855993224
177,Washington,1736,Washington Precinct 03-004,1327,274,72,84,107,63,1736,1,0.7644009216589862,0.1578341013824885,0.041474654377880185,0.036290322580645164,1545,0.04838709677419355,0.061635944700460826,0.8899769585253456
