,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
108,Washington,2005,Washington Precinct 07-002,1820,30,23,15,185,2005,1,0.9077306733167082,0.09226932668329177,1937,0.014962593516209476,0.011471321695760598,0.007481296758104738,0.9660847880299251
109,Washington,2584,Washington Precinct 07-001,2474,26,29,15,110,2584,1,0.9574303405572755,0.04256965944272446,2514,0.010061919504643963,0.011222910216718266,0.005804953560371517,0.9729102167182663
110,Washington,883,Washington Precinct 14-001,858,15,7,8,25,883,1,0.9716874292185731,0.028312570781426953,853,0.01698754246885617,0.007927519818799546,0.009060022650056626,0.9660249150622876
111,Washington,1184,Washington Precinct 14-002,1120,7,11,8,64,1184,1,0.9459459459459459,0.05405405405405406,1158,0.0059121621621621625,0.009290540540540541,0.006756756756756757,0.9780405405405406
164,Washington,1945,Washington Precinct 08-000,1896,22,36,39,49,1945,1,0.9748071979434447,0.02519280205655527,1848,0.011311053984575836,0.018508997429305913,0.02005141388174807,0.9501285347043702
167,Washington,1846,Washington Precinct 19-000,1762,18,24,25,84,1846,1,0.9544962080173348,0.04550379198266522,1779,0.009750812567713976,0.013001083423618635,0.013542795232936078,0.9637053087757314
168,Washington,2585,Washington Precinct 06-002,2446,40,55,27,139,2585,1,0.9462282398452612,0.053771760154738876,2463,0.015473887814313346,0.02127659574468085,0.010444874274661509,0.9528046421663443
169,Washington,2120,Washington Precinct 06-001,2021,42,33,22,99,2120,1,0.9533018867924529,0.046698113207547166,2023,0.01981132075471698,0.015566037735849057,0.010377358490566037,0.9542452830188679
170,Washington,2992,Washington Precinct 16-000,2783,47,32,40,209,2992,1,0.9301470588235294,0.06985294117647059,2873,0.01570855614973262,0.0106951871657754,0.013368983957219251,0.9602272727272727
171,Washington,3446,Washington Precinct 02-000,3270,58,61,31,176,3446,1,0.9489262913522926,0.05107370864770749,3296,0.016831108531630876,0.017701683110853163,0.008995937318630296,0.9564712710388856
172,Washington,3981,Washington Precinct 23-000,3821,39,49,37,160,3981,1,0.9598090931926652,0.04019090680733484,3856,0.009796533534287867,0.012308465209746294,0.009294147199196181,0.9686008540567697
173,Washington,2569,Washington Precinct 26-003,2433,48,55,27,136,2569,1,0.9470611132736473,0.05293888672635266,2439,0.018684312962242117,0.02140910860256909,0.010509926041261192,0.9493966523939276
174,Washington,3543,Washington Precinct 26-001,3247,41,46,28,296,3543,1,0.9164549816539656,0.08354501834603444,3428,0.011572114027660174,0.012983347445667513,0.007902907140841095,0.9675416313858313
175,Washington,2281,Washington Precinct 26-002,2020,48,36,16,261,2281,1,0.8855765015344147,0.11442349846558526,2181,0.02104340201665936,0.01578255151249452,0.0070144673388864535,0.9561595791319597
176,Washington,2361,Washington Precinct 10-002,1969,59,21,14,392,2361,1,0.833968657348581,0.1660313426514189,2267,0.024989411266412537,0.008894536213468869,0.005929690808979246,0.9601863617111394
177,Washington,1736,Washington Precinct 03-004,1327,12,6,4,409,1736,1,0.7644009216589862,0.23559907834101382,1714,0.0069124423963133645,0.0034562211981566822,0.002304147465437788,0.9873271889400922
178,Washington,2009,Washington Precinct 03-003,1620,20,20,14,389,2009,1,0.8063713290194127,0.19362867098058736,1955,0.009955201592832254,0.009955201592832254,0.006968641114982578,0.9731209556993529
179,Washington,1404,Washington Precinct 03-002,1228,15,16,28,176,1404,1,0.8746438746438746,0.12535612535612536,1345,0.010683760683760684,0.011396011396011397,0.019943019943019943,0.957977207977208
180,Washington,2964,Washington Precinct 13-001,2854,38,41,18,110,2964,1,0.9628879892037787,0.037112010796221326,2867,0.01282051282051282,0.013832658569500675,0.006072874493927126,0.9672739541160594
181,Washington,2396,Washington Precinct 25-004,1777,24,18,5,619,2396,1,0.741652754590985,0.25834724540901505,2349,0.01001669449081803,0.007512520868113523,0.002086811352253756,0.9803839732888147
182,Washington,2917,Washington Precinct 25-002,2460,27,13,11,457,2917,1,0.8433321906067878,0.1566678093932122,2866,0.009256085018854988,0.004456633527596846,0.0037709976002742542,0.9825162838532739
183,Washington,1556,Washington Precinct 13-002,1358,33,15,20,198,1556,1,0.8727506426735219,0.12724935732647816,1488,0.021208226221079693,0.009640102827763496,0.012853470437017995,0.9562982005141388
184,Washington,947,Washington Precinct 10-004,919,22,24,13,28,947,1,0.9704329461457233,0.029567053854276663,888,0.023231256599788808,0.025343189017951427,0.013727560718057022,0.9376979936642027
185,Washington,4870,Washington Precinct 10-001,3171,51,31,30,1699,4870,1,0.651129363449692,0.34887063655030803,4758,0.010472279260780287,0.006365503080082135,0.006160164271047228,0.9770020533880903
186,Washington,1255,Washington Precinct 03-001,1023,36,11,9,232,1255,1,0.8151394422310757,0.1848605577689243,1199,0.028685258964143426,0.008764940239043825,0.007171314741035857,0.9553784860557769
187,Washington,1160,Washington Precinct 25-001,490,40,0,0,670,1160,1,0.4224137931034483,0.5775862068965517,1120,0.034482758620689655,0.0,0.0,0.9655172413793104
188,Washington,2628,Washington Precinct 22-001,1978,22,18,18,650,2628,1,0.7526636225266362,0.24733637747336376,2570,0.00837138508371385,0.00684931506849315,0.00684931506849315,0.9779299847792998
189,Washington,2275,Washington Precinct 22-002,1694,33,22,14,581,2275,1,0.7446153846153846,0.2553846153846154,2206,0.014505494505494506,0.00967032967032967,0.006153846153846154,0.9696703296703296
190,Washington,1661,Washington Precinct 10-003,1445,26,35,10,216,1661,1,0.8699578567128236,0.1300421432871764,1590,0.015653220951234198,0.02107164358819988,0.006020469596628537,0.9572546658639374
191,Washington,2430,Washington Precinct 21-002,1997,39,41,33,433,2430,1,0.8218106995884774,0.17818930041152264,2317,0.016049382716049384,0.016872427983539096,0.013580246913580247,0.9534979423868313
192,Washington,1170,Washington Precinct 21-003,1051,42,30,22,119,1170,1,0.8982905982905983,0.10170940170940171,1076,0.035897435897435895,0.02564102564102564,0.018803418803418803,0.9196581196581196
193,Washington,2431,Washington Precinct 27-001,2230,49,48,27,201,2431,1,0.9173179761415056,0.08268202385849445,2307,0.020156314273961334,0.01974496092143151,0.011106540518305225,0.9489921842863019
194,Washington,2591,Washington Precinct 21-001,2125,38,37,35,466,2591,1,0.8201466615206484,0.17985333847935162,2481,0.01466615206483983,0.014280200694712466,0.013508297954457738,0.95754534928599
