,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
108,Washington,2005,Washington Precinct 07-002,1820,154,751,185,2005,1,0.9077306733167082,0.09226932668329177,1100,0.07680798004987531,0.3745635910224439,0.5486284289276808
109,Washington,2584,Washington Precinct 07-001,2474,122,973,110,2584,1,0.9574303405572755,0.04256965944272446,1489,0.04721362229102167,0.3765479876160991,0.5762383900928792
110,Washington,883,Washington Precinct 14-001,858,56,331,25,883,1,0.9716874292185731,0.028312570781426953,496,0.06342015855039637,0.37485843714609285,0.5617214043035108
111,Washington,1184,Washington Precinct 14-002,1120,73,304,64,1184,1,0.9459459459459459,0.05405405405405406,807,0.06165540540540541,0.25675675675675674,0.6815878378378378
164,Washington,1945,Washington Precinct 08-000,1896,159,737,49,1945,1,0.9748071979434447,0.02519280205655527,1049,0.08174807197943444,0.3789203084832905,0.539331619537275
167,Washington,1846,Washington Precinct 19-000,1762,164,791,84,1846,1,0.9544962080173348,0.04550379198266522,891,0.08884073672806067,0.4284940411700975,0.4826652221018418
168,Washington,2585,Washington Precinct 06-002,2446,232,929,139,2585,1,0.9462282398452612,0.053771760154738876,1424,0.0897485493230174,0.35938104448742747,0.5508704061895551
169,Washington,2120,Washington Precinct 06-001,2021,158,846,99,2120,1,0.9533018867924529,0.046698113207547166,1116,0.07452830188679245,0.39905660377358493,0.5264150943396226
170,Washington,2992,Washington Precinct 16-000,2783,180,995,209,2992,1,0.9301470588235294,0.06985294117647059,1817,0.06016042780748663,0.3325534759358289,0.6072860962566845
171,Washington,3446,Washington Precinct 02-000,3270,191,1029,176,3446,1,0.9489262913522926,0.05107370864770749,2226,0.05542658154381892,0.2986070806732443,0.6459663377829368
172,Washington,3981,Washington Precinct 23-000,3821,122,1237,160,3981,1,0.9598090931926652,0.04019090680733484,2622,0.030645566440592815,0.31072594825420746,0.6586284853051997
173,Washington,2569,Washington Precinct 26-003,2433,200,1141,136,2569,1,0.9470611132736473,0.05293888672635266,1228,0.07785130400934216,0.444141689373297,0.47800700661736084
174,Washington,3543,Washington Precinct 26-001,3247,161,671,296,3543,1,0.9164549816539656,0.08354501834603444,2711,0.045441716059836296,0.18938752469658482,0.7651707592435789
175,Washington,2281,Washington Precinct 26-002,2020,156,630,261,2281,1,0.8855765015344147,0.11442349846558526,1495,0.06839105655414292,0.2761946514686541,0.655414291977203
176,Washington,2361,Washington Precinct 10-002,1969,299,871,392,2361,1,0.833968657348581,0.1660313426514189,1191,0.12664125370605675,0.3689114781872088,0.5044472681067345
177,Washington,1736,Washington Precinct 03-004,1327,148,158,409,1736,1,0.7644009216589862,0.23559907834101382,1430,0.08525345622119816,0.09101382488479262,0.8237327188940092
178,Washington,2009,Washington Precinct 03-003,1620,128,333,389,2009,1,0.8063713290194127,0.19362867098058736,1548,0.06371329019412643,0.16575410652065703,0.7705326032852166
179,Washington,1404,Washington Precinct 03-002,1228,148,253,176,1404,1,0.8746438746438746,0.12535612535612536,1003,0.10541310541310542,0.1801994301994302,0.7143874643874644
