,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
108,Washington,2005,Washington Precinct 07-002,1820,66,7,185,2005,1,0.9077306733167082,0.09226932668329177,1932,0.03291770573566085,0.003491271820448878,0.9635910224438903
109,Washington,2584,Washington Precinct 07-001,2474,75,3,110,2584,1,0.9574303405572755,0.04256965944272446,2506,0.029024767801857584,0.0011609907120743034,0.9698142414860681
110,Washington,883,Washington Precinct 14-001,858,21,0,25,883,1,0.9716874292185731,0.028312570781426953,862,0.02378255945639864,0.0,0.9762174405436014
111,Washington,1184,Washington Precinct 14-002,1120,29,0,64,1184,1,0.9459459459459459,0.05405405405405406,1155,0.024493243243243243,0.0,0.9755067567567568
164,Washington,1945,Washington Precinct 08-000,1896,98,5,49,1945,1,0.9748071979434447,0.02519280205655527,1842,0.05038560411311054,0.002570694087403599,0.9470437017994858
167,Washington,1846,Washington Precinct 19-000,1762,81,5,84,1846,1,0.9544962080173348,0.04550379198266522,1760,0.043878656554712896,0.0027085590465872156,0.9534127843986999
168,Washington,2585,Washington Precinct 06-002,2446,127,5,139,2585,1,0.9462282398452612,0.053771760154738876,2453,0.04912959381044488,0.0019342359767891683,0.948936170212766
169,Washington,2120,Washington Precinct 06-001,2021,112,2,99,2120,1,0.9533018867924529,0.046698113207547166,2006,0.052830188679245285,0.0009433962264150943,0.9462264150943396
170,Washington,2992,Washington Precinct 16-000,2783,117,3,209,2992,1,0.9301470588235294,0.06985294117647059,2872,0.03910427807486631,0.001002673796791444,0.9598930481283422
171,Washington,3446,Washington Precinct 02-000,3270,133,4,176,3446,1,0.9489262913522926,0.05107370864770749,3309,0.03859547301218805,0.0011607661056297156,0.9602437608821822
172,Washington,3981,Washington Precinct 23-000,3821,102,5,160,3981,1,0.9598090931926652,0.04019090680733484,3874,0.02562170308967596,0.0012559658377292139,0.9731223310725948
173,Washington,2569,Washington Precinct 26-003,2433,130,4,136,2569,1,0.9470611132736473,0.05293888672635266,2435,0.0506033476060724,0.001557026080186843,0.9478396263137407
174,Washington,3543,Washington Precinct 26-001,3247,129,7,296,3543,1,0.9164549816539656,0.08354501834603444,3407,0.03640982218458933,0.0019757267852102737,0.9616144510302004
175,Washington,2281,Washington Precinct 26-002,2020,112,6,261,2281,1,0.8855765015344147,0.11442349846558526,2163,0.04910127137220517,0.00263042525208242,0.9482683033757124
176,Washington,2361,Washington Precinct 10-002,1969,110,4,392,2361,1,0.833968657348581,0.1660313426514189,2247,0.046590427784836935,0.0016941973739940702,0.951715374841169
177,Washington,1736,Washington Precinct 03-004,1327,30,4,409,1736,1,0.7644009216589862,0.23559907834101382,1702,0.01728110599078341,0.002304147465437788,0.9804147465437788
178,Washington,2009,Washington Precinct 03-003,1620,69,2,389,2009,1,0.8063713290194127,0.19362867098058736,1938,0.03434544549527128,0.0009955201592832255,0.9646590343454455
179,Washington,1404,Washington Precinct 03-002,1228,68,0,176,1404,1,0.8746438746438746,0.12535612535612536,1336,0.04843304843304843,0.0,0.9515669515669516
180,Washington,2964,Washington Precinct 13-001,2854,118,7,110,2964,1,0.9628879892037787,0.037112010796221326,2839,0.0398110661268556,0.0023616734143049934,0.9578272604588394
181,Washington,2396,Washington Precinct 25-004,1777,82,7,619,2396,1,0.741652754590985,0.25834724540901505,2307,0.034223706176961605,0.002921535893155259,0.9628547579298832
182,Washington,2917,Washington Precinct 25-002,2460,55,2,457,2917,1,0.8433321906067878,0.1566678093932122,2860,0.01885498800137127,0.0006856359273225917,0.9804593760713062
183,Washington,1556,Washington Precinct 13-002,1358,68,1,198,1556,1,0.8727506426735219,0.12724935732647816,1487,0.043701799485861184,0.0006426735218508997,0.955655526992288
184,Washington,947,Washington Precinct 10-004,919,61,3,28,947,1,0.9704329461457233,0.029567053854276663,883,0.06441393875395987,0.0031678986272439284,0.9324181626187962
185,Washington,4870,Washington Precinct 10-001,3171,103,5,1699,4870,1,0.651129363449692,0.34887063655030803,4762,0.021149897330595482,0.001026694045174538,0.97782340862423
186,Washington,1255,Washington Precinct 03-001,1023,41,1,232,1255,1,0.8151394422310757,0.1848605577689243,1213,0.03266932270916335,0.0007968127490039841,0.9665338645418327
187,Washington,1160,Washington Precinct 25-001,490,70,5,670,1160,1,0.4224137931034483,0.5775862068965517,1085,0.0603448275862069,0.004310344827586207,0.9353448275862069
188,Washington,2628,Washington Precinct 22-001,1978,82,5,650,2628,1,0.7526636225266362,0.24733637747336376,2541,0.03120243531202435,0.001902587519025875,0.9668949771689498
189,Washington,2275,Washington Precinct 22-002,1694,66,9,581,2275,1,0.7446153846153846,0.2553846153846154,2200,0.029010989010989013,0.003956043956043956,0.967032967032967
190,Washington,1661,Washington Precinct 10-003,1445,84,3,216,1661,1,0.8699578567128236,0.1300421432871764,1574,0.050571944611679714,0.001806140878988561,0.9476219145093318
191,Washington,2430,Washington Precinct 21-002,1997,132,7,433,2430,1,0.8218106995884774,0.17818930041152264,2291,0.05432098765432099,0.002880658436213992,0.942798353909465
