,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,63,12,19,4,16,82,1719,1,0.9522978475858057,0.0477021524141943,1605,0.03664921465968586,0.006980802792321117,0.011052937754508435,0.002326934264107039,0.009307737056428156,0.9336823734729494
219,Allegany,3235,Allegany Precinct 06-006,1942,34,9,12,3,19,1293,3235,1,0.6003091190108192,0.3996908809891808,3158,0.010510046367851623,0.0027820710973724882,0.0037094281298299847,0.0009273570324574962,0.005873261205564142,0.9761978361669242
220,Allegany,1207,Allegany Precinct 06-005,1034,45,7,13,4,18,173,1207,1,0.8566694283347142,0.14333057166528584,1120,0.037282518641259324,0.00579950289975145,0.010770505385252692,0.0033140016570008283,0.014913007456503728,0.927920463960232
221,Allegany,800,Allegany Precinct 06-003,740,36,2,7,1,6,60,800,1,0.925,0.075,748,0.045,0.0025,0.00875,0.00125,0.0075,0.935
222,Allegany,1902,Allegany Precinct 29-001,1833,51,9,21,11,12,69,1902,1,0.9637223974763407,0.03627760252365931,1798,0.026813880126182965,0.00473186119873817,0.011041009463722398,0.0057833859095688745,0.006309148264984227,0.9453207150368034
223,Allegany,1522,Allegany Precinct 06-001,1409,40,9,29,7,21,113,1522,1,0.9257555847568988,0.07424441524310119,1416,0.026281208935611037,0.005913272010512484,0.019053876478318004,0.0045992115637319315,0.013797634691195795,0.9303547963206308
224,Allegany,1679,Allegany Precinct 20-000,1648,21,6,8,2,9,31,1679,1,0.9815366289458011,0.01846337105419893,1633,0.012507444907683145,0.00357355568790947,0.004764740917212627,0.0011911852293031567,0.005360333531864205,0.9726027397260274
225,Allegany,928,Allegany Precinct 04-005,911,12,3,7,2,5,17,928,1,0.9816810344827587,0.018318965517241378,899,0.01293103448275862,0.003232758620689655,0.007543103448275862,0.0021551724137931034,0.005387931034482759,0.96875
226,Allegany,1457,Allegany Precinct 04-003,1352,16,10,15,9,13,105,1457,1,0.9279341111873713,0.0720658888126287,1394,0.01098146877144818,0.0068634179821551134,0.01029512697323267,0.0061770761839396015,0.008922443376801648,0.9567604667124228
227,Allegany,1118,Allegany Precinct 04-002,951,20,8,4,2,7,167,1118,1,0.8506261180679785,0.14937388193202147,1077,0.017889087656529516,0.007155635062611807,0.0035778175313059034,0.0017889087656529517,0.006261180679785331,0.9633273703041145
228,Allegany,1603,Allegany Precinct 04-008,1511,34,6,9,9,12,92,1603,1,0.9426076107298814,0.05739238927011853,1533,0.021210230817217717,0.0037429819089207735,0.0056144728633811605,0.0056144728633811605,0.007485963817841547,0.9563318777292577
229,Allegany,1425,Allegany Precinct 04-004,1355,48,14,19,1,14,70,1425,1,0.9508771929824561,0.04912280701754386,1329,0.03368421052631579,0.009824561403508772,0.013333333333333334,0.0007017543859649122,0.009824561403508772,0.9326315789473684
230,Allegany,856,Allegany Precinct 14-000,766,18,4,7,1,6,90,856,1,0.8948598130841121,0.10514018691588785,820,0.02102803738317757,0.004672897196261682,0.008177570093457943,0.0011682242990654205,0.007009345794392523,0.9579439252336449
231,Allegany,1491,Allegany Precinct 05-004,1387,37,11,18,1,9,104,1491,1,0.9302481556002683,0.06975184439973173,1415,0.02481556002682763,0.007377598926894702,0.012072434607645875,0.0006706908115358819,0.006036217303822937,0.9490274983232729
232,Allegany,2358,Allegany Precinct 23-000,2120,57,11,33,8,25,238,2358,1,0.899067005937235,0.10093299406276506,2224,0.024173027989821884,0.004664970313825276,0.013994910941475827,0.0033927056827820186,0.010602205258693808,0.9431721798134012
233,Allegany,624,Allegany Precinct 05-006,619,7,2,2,2,1,5,624,1,0.9919871794871795,0.008012820512820512,610,0.011217948717948718,0.003205128205128205,0.003205128205128205,0.003205128205128205,0.0016025641025641025,0.9775641025641025
234,Allegany,2552,Allegany Precinct 22-001,2173,41,9,16,9,23,379,2552,1,0.8514890282131662,0.14851097178683387,2454,0.016065830721003135,0.0035266457680250786,0.006269592476489028,0.0035266457680250786,0.009012539184952978,0.9615987460815048
235,Allegany,3185,Allegany Precinct 16-000,1973,17,3,9,2,9,1212,3185,1,0.6194662480376766,0.38053375196232336,3145,0.005337519623233909,0.0009419152276295133,0.00282574568288854,0.0006279434850863422,0.00282574568288854,0.9874411302982732
