,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,419,708,82,1719,1,0.9522978475858057,0.0477021524141943,592,0.24374636416521234,0.4118673647469459,0.34438627108784176
219,Allegany,3235,Allegany Precinct 06-006,1942,308,579,1293,3235,1,0.6003091190108192,0.3996908809891808,2348,0.09520865533230294,0.17897990726429674,0.7258114374034003
220,Allegany,1207,Allegany Precinct 06-005,1034,280,344,173,1207,1,0.8566694283347142,0.14333057166528584,583,0.231980115990058,0.28500414250207123,0.48301574150787074
221,Allegany,800,Allegany Precinct 06-003,740,176,160,60,800,1,0.925,0.075,464,0.22,0.2,0.58
222,Allegany,1902,Allegany Precinct 29-001,1833,406,817,69,1902,1,0.9637223974763407,0.03627760252365931,679,0.21345951629863302,0.4295478443743428,0.3569926393270242
223,Allegany,1522,Allegany Precinct 06-001,1409,342,331,113,1522,1,0.9257555847568988,0.07424441524310119,849,0.22470433639947437,0.21747700394218134,0.5578186596583443
224,Allegany,1679,Allegany Precinct 20-000,1648,241,672,31,1679,1,0.9815366289458011,0.01846337105419893,766,0.14353782013103036,0.40023823704586065,0.456223942823109
225,Allegany,928,Allegany Precinct 04-005,911,182,237,17,928,1,0.9816810344827587,0.018318965517241378,509,0.1961206896551724,0.25538793103448276,0.5484913793103449
226,Allegany,1457,Allegany Precinct 04-003,1352,265,281,105,1457,1,0.9279341111873713,0.0720658888126287,911,0.1818805765271105,0.1928620452985587,0.6252573781743308
227,Allegany,1118,Allegany Precinct 04-002,951,150,146,167,1118,1,0.8506261180679785,0.14937388193202147,822,0.13416815742397137,0.13059033989266547,0.7352415026833632
228,Allegany,1603,Allegany Precinct 04-008,1511,305,394,92,1603,1,0.9426076107298814,0.05739238927011853,904,0.19026824703680598,0.24578914535246413,0.5639426076107299
229,Allegany,1425,Allegany Precinct 04-004,1355,353,457,70,1425,1,0.9508771929824561,0.04912280701754386,615,0.24771929824561403,0.32070175438596493,0.43157894736842106
230,Allegany,856,Allegany Precinct 14-000,766,150,92,90,856,1,0.8948598130841121,0.10514018691588785,614,0.17523364485981308,0.10747663551401869,0.7172897196261683
231,Allegany,1491,Allegany Precinct 05-004,1387,264,336,104,1491,1,0.9302481556002683,0.06975184439973173,891,0.17706237424547283,0.22535211267605634,0.5975855130784709
232,Allegany,2358,Allegany Precinct 23-000,2120,443,604,238,2358,1,0.899067005937235,0.10093299406276506,1311,0.1878710771840543,0.2561492790500424,0.5559796437659033
233,Allegany,624,Allegany Precinct 05-006,619,105,208,5,624,1,0.9919871794871795,0.008012820512820512,311,0.16826923076923078,0.3333333333333333,0.4983974358974359
234,Allegany,2552,Allegany Precinct 22-001,2173,343,483,379,2552,1,0.8514890282131662,0.14851097178683387,1726,0.13440438871473354,0.18926332288401254,0.6763322884012539
235,Allegany,3185,Allegany Precinct 16-000,1973,262,692,1212,3185,1,0.6194662480376766,0.38053375196232336,2231,0.08226059654631084,0.21726844583987442,0.7004709576138147
236,Allegany,1346,Allegany Precinct 34-000,1324,309,607,22,1346,1,0.9836552748885586,0.01634472511144131,430,0.22956909361069835,0.4509658246656761,0.31946508172362553
237,Allegany,956,Allegany Precinct 21-000,934,146,432,22,956,1,0.9769874476987448,0.02301255230125523,378,0.15271966527196654,0.45188284518828453,0.39539748953974896
238,Allegany,944,Allegany Precinct 02-000,924,109,392,20,944,1,0.9788135593220338,0.0211864406779661,443,0.11546610169491525,0.4152542372881356,0.4692796610169492
239,Allegany,852,Allegany Precinct 03-000,839,105,383,13,852,1,0.9847417840375586,0.015258215962441314,364,0.12323943661971831,0.4495305164319249,0.4272300469483568
240,Allegany,746,Allegany Precinct 01-000,734,86,363,12,746,1,0.9839142091152815,0.0160857908847185,297,0.11528150134048257,0.4865951742627346,0.39812332439678283
265,Allegany,2806,Allegany Precinct 08-000,2755,387,1026,51,2806,1,0.9818246614397719,0.018175338560228082,1393,0.13791874554526015,0.36564504632929434,0.4964362081254455
266,Allegany,1114,Allegany Precinct 09-000,1103,119,436,11,1114,1,0.9901256732495511,0.009874326750448833,559,0.10682226211849193,0.39138240574506283,0.5017953321364452
267,Allegany,1650,Allegany Precinct 10-000,1628,167,670,22,1650,1,0.9866666666666667,0.013333333333333334,813,0.10121212121212121,0.40606060606060607,0.49272727272727274
268,Allegany,1273,Allegany Precinct 31-000,1251,161,521,22,1273,1,0.9827179890023566,0.01728201099764336,591,0.12647289866457187,0.40926944226237233,0.4642576590730558
273,Allegany,1685,Allegany Precinct 18-000,1660,208,758,25,1685,1,0.9851632047477745,0.01483679525222552,719,0.12344213649851632,0.44985163204747775,0.42670623145400594
274,Allegany,4960,Allegany Precinct 26-000,3677,596,632,1283,4960,1,0.7413306451612903,0.2586693548387097,3732,0.12016129032258065,0.12741935483870967,0.7524193548387097
275,Allegany,1016,Allegany Precinct 11-000,971,301,315,45,1016,1,0.9557086614173228,0.04429133858267716,400,0.296259842519685,0.31003937007874016,0.3937007874015748
276,Allegany,2829,Allegany Precinct 12-000,2623,552,757,206,2829,1,0.9271827500883705,0.07281724991162955,1520,0.1951219512195122,0.2675857193354542,0.5372923294450336
277,Allegany,1572,Allegany Precinct 24-000,1544,235,593,28,1572,1,0.9821882951653944,0.017811704834605598,744,0.1494910941475827,0.3772264631043257,0.4732824427480916
278,Allegany,1653,Allegany Precinct 07-002,1584,338,765,69,1653,1,0.9582577132486388,0.041742286751361164,550,0.2044767090139141,0.4627949183303085,0.33272837265577737
279,Allegany,1346,Allegany Precinct 29-003,1304,311,510,42,1346,1,0.9687964338781575,0.031203566121842496,525,0.2310549777117385,0.3789004457652303,0.3900445765230312
280,Allegany,1884,Allegany Precinct 13-000,1845,274,712,39,1884,1,0.9792993630573248,0.020700636942675158,898,0.1454352441613588,0.37791932059447986,0.47664543524416136
281,Allegany,3275,Allegany Precinct 07-001,2017,347,642,1258,3275,1,0.6158778625954199,0.3841221374045802,2286,0.10595419847328244,0.19603053435114504,0.6980152671755725
