,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,616,754,323,2236,1.0,0.8555456171735242,0.14445438282647585,866,0.27549194991055453,0.3372093023255814,0.387298747763864
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,635,502,338,1839,1.0,0.8162044589450789,0.18379554105492116,702,0.3452963567156063,0.27297444263186516,0.3817292006525285
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,669,872,197,2418,1.0,0.9185277088502894,0.08147229114971051,877,0.27667493796526055,0.36062861869313484,0.3626964433416046
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,320,513,272,2785,1.0,0.9023339317773789,0.09766606822262118,1952,0.11490125673249552,0.18420107719928186,0.7008976660682226
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,682,1023,200,2923,1.0,0.9315771467670202,0.06842285323297982,1218,0.23332192952446118,0.34998289428669177,0.41669517618884705
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,587,563,735,3247,1.0,0.7736372035725285,0.2263627964274715,2097,0.18078226054819835,0.17339082229750538,0.6458269171542963
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,605,905,335,2407,1.0,0.8608226007478189,0.13917739925218114,897,0.2513502285002077,0.3759867054424595,0.3726630660573328
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,787,1067,242,2960,1.0,0.9182432432432432,0.08175675675675675,1106,0.26587837837837835,0.360472972972973,0.37364864864864866
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,482,1011,114,2234,1.0,0.9489704565801254,0.051029543419874666,741,0.21575649059982094,0.45255147717099375,0.3316920322291853
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,450,972,247,2342,1.0,0.894534585824082,0.10546541417591802,920,0.19214346712211786,0.4150298889837746,0.3928266438941076
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,455,699,282,2290,1.0,0.8768558951965065,0.12314410480349346,1136,0.19868995633187772,0.3052401746724891,0.4960698689956332
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,486,770,232,2081,1.0,0.8885151369533878,0.1114848630466122,825,0.23354156655454109,0.3700144161460836,0.3964440172993753
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,571,935,433,3428,1.0,0.8736872812135356,0.1263127187864644,1922,0.16656942823803966,0.27275379229871644,0.5606767794632439
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,639,709,428,2683,1.0,0.8404770778978755,0.1595229221021245,1335,0.238166231830041,0.26425642937010807,0.4975773387998509
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,585,705,303,2353,1.0,0.8712282192945177,0.12877178070548237,1063,0.24861878453038674,0.29961750956226096,0.4517637059073523
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,353,769,90,1767,1.0,0.9490662139219015,0.050933786078098474,645,0.19977362761743067,0.4352009054895303,0.36502546689303905
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,589,805,270,2826,1.0,0.9044585987261147,0.09554140127388536,1432,0.2084217975937721,0.28485491861288037,0.5067232837933475
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,394,923,108,2071,1.0,0.9478512795750845,0.0521487204249155,754,0.190246257846451,0.44567841622404636,0.36407532592950265
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,355,585,92,1896,1.0,0.9514767932489452,0.04852320675105485,956,0.1872362869198312,0.30854430379746833,0.5042194092827004
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,316,511,75,1673,1.0,0.9551703526598924,0.04482964734010759,846,0.18888224745965332,0.3054393305439331,0.5056784219964137
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,453,1012,113,2247,1.0,0.94971072541166,0.05028927458834001,782,0.20160213618157544,0.45037828215398307,0.34801958166444147
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,550,1108,97,2451,1.0,0.9604243166054671,0.039575683394532844,793,0.22439820481436148,0.45206038351693184,0.32354141166870665
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,326,766,54,1573,1.0,0.9656706929434202,0.034329307056579786,481,0.20724729815638906,0.4869675778766688,0.30578512396694213
