,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,746,611,323,2236,1.0,0.8555456171735242,0.14445438282647585,879,0.3336314847942755,0.27325581395348836,0.39311270125223613
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,733,397,338,1839,1.0,0.8162044589450789,0.18379554105492116,709,0.3985861881457314,0.21587819467101685,0.38553561718325174
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,799,695,197,2418,1.0,0.9185277088502894,0.08147229114971051,924,0.3304383788254756,0.28742762613730355,0.38213399503722084
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,396,395,272,2785,1.0,0.9023339317773789,0.09766606822262118,1994,0.1421903052064632,0.14183123877917414,0.7159784560143626
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,849,800,200,2923,1.0,0.9315771467670202,0.06842285323297982,1274,0.2904550119739993,0.2736914129319193,0.4358535750940814
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,685,449,735,3247,1.0,0.7736372035725285,0.2263627964274715,2113,0.21096396673852788,0.13828149060671388,0.6507545426547582
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,745,718,335,2407,1.0,0.8608226007478189,0.13917739925218114,944,0.3095139177399252,0.2982966348151226,0.3921894474449522
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,977,832,242,2960,1.0,0.9182432432432432,0.08175675675675675,1151,0.33006756756756755,0.2810810810810811,0.38885135135135135
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,660,765,114,2234,1.0,0.9489704565801254,0.051029543419874666,809,0.2954341987466428,0.3424350940017905,0.3621307072515667
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,641,726,247,2342,1.0,0.894534585824082,0.10546541417591802,975,0.2736976942783945,0.30999146029035013,0.41631084543125535
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,604,524,282,2290,1.0,0.8768558951965065,0.12314410480349346,1162,0.26375545851528387,0.22882096069868996,0.5074235807860262
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,649,558,232,2081,1.0,0.8885151369533878,0.1114848630466122,874,0.3118692936088419,0.26814031715521386,0.4199903892359443
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,757,709,433,3428,1.0,0.8736872812135356,0.1263127187864644,1962,0.22082847141190198,0.20682613768961494,0.5723453908984831
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,783,543,428,2683,1.0,0.8404770778978755,0.1595229221021245,1357,0.29183749534103615,0.20238538948937757,0.5057771151695862
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,720,533,303,2353,1.0,0.8712282192945177,0.12877178070548237,1100,0.3059923501912452,0.2265193370165746,0.46748831279218017
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,508,576,90,1767,1.0,0.9490662139219015,0.050933786078098474,683,0.2874929258630447,0.32597623089983024,0.38653084323712505
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,754,609,270,2826,1.0,0.9044585987261147,0.09554140127388536,1463,0.2668082094833687,0.21549893842887474,0.5176928520877565
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,579,691,108,2071,1.0,0.9478512795750845,0.0521487204249155,801,0.27957508450024143,0.33365523901496863,0.38676967648478994
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,495,422,92,1896,1.0,0.9514767932489452,0.04852320675105485,979,0.2610759493670886,0.22257383966244726,0.5163502109704642
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,430,377,75,1673,1.0,0.9551703526598924,0.04482964734010759,866,0.25702331141661683,0.22534369396294082,0.5176329946204423
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,664,743,113,2247,1.0,0.94971072541166,0.05028927458834001,840,0.2955051179350245,0.33066310636404095,0.37383177570093457
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,792,793,97,2451,1.0,0.9604243166054671,0.039575683394532844,866,0.32313341493268055,0.32354141166870665,0.3533251733986128
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,474,571,54,1573,1.0,0.9656706929434202,0.034329307056579786,528,0.3013350286077559,0.36300063572790847,0.3356643356643357
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,638,766,107,2235,1.0,0.9521252796420582,0.04787472035794183,831,0.2854586129753915,0.34272930648769573,0.3718120805369127
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,673,455,179,1837,1.0,0.9025585193249864,0.09744148067501361,709,0.3663581927054981,0.2476864452912357,0.3859553620032662
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,467,311,85,1098,1.0,0.9225865209471766,0.07741347905282331,320,0.42531876138433516,0.28324225865209474,0.29143897996357016
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,518,334,139,1456,1.0,0.904532967032967,0.09546703296703296,604,0.3557692307692308,0.22939560439560439,0.41483516483516486
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,525,325,39,1144,1.0,0.9659090909090909,0.03409090909090909,294,0.4589160839160839,0.2840909090909091,0.256993006993007
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,583,512,106,1735,1.0,0.9389048991354467,0.06109510086455332,640,0.33602305475504324,0.29510086455331414,0.3688760806916426
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,344,271,70,999,1.0,0.92992992992993,0.07007007007007007,384,0.34434434434434436,0.27127127127127126,0.3843843843843844
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,599,448,382,1854,1.0,0.7939590075512406,0.20604099244875945,807,0.32308522114347354,0.24163969795037757,0.43527508090614886
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,544,681,121,2079,1.0,0.9417989417989417,0.0582010582010582,854,0.26166426166426165,0.32756132756132755,0.4107744107744108
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,765,484,253,1898,1.0,0.8667017913593256,0.1332982086406744,649,0.40305584826132773,0.25500526870389884,0.34193888303477343
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,873,521,207,2039,1.0,0.8984796468857283,0.1015203531142717,645,0.4281510544384502,0.2555174104953409,0.3163315350662089
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,770,456,222,1847,1.0,0.8798050893340552,0.12019491066594477,621,0.4168922577152139,0.24688684353004872,0.33622089875473743
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,562,312,75,1366,1.0,0.945095168374817,0.05490483162518302,492,0.41142020497803805,0.22840409956076135,0.3601756954612006
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,755,541,213,1716,1.0,0.8758741258741258,0.12412587412587413,420,0.43997668997669,0.3152680652680653,0.24475524475524477
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,1347,704,482,2381,1.0,0.7975640487190256,0.20243595128097439,330,0.5657286854262915,0.29567408651826965,0.1385972280554389
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,1114,701,436,2632,1.0,0.8343465045592705,0.1656534954407295,817,0.42325227963525835,0.2663373860182371,0.31041033434650456
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,829,392,226,1760,1.0,0.8715909090909091,0.12840909090909092,539,0.47102272727272726,0.22272727272727272,0.30625
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,715,410,110,1526,1.0,0.927916120576671,0.07208387942332896,401,0.46854521625163825,0.2686762778505898,0.26277850589777196
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,745,459,277,1818,1.0,0.8476347634763476,0.15236523652365236,614,0.4097909790979098,0.2524752475247525,0.33773377337733773
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,394,217,192,1940,1.0,0.9010309278350516,0.09896907216494845,1329,0.20309278350515464,0.11185567010309279,0.6850515463917526
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,719,469,167,1531,1.0,0.8909209666884389,0.10907903331156107,343,0.46962769431743956,0.30633572828216854,0.2240365774003919
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,757,568,75,1702,1.0,0.9559341950646298,0.04406580493537015,377,0.44477085781433606,0.3337250293772033,0.22150411280846063
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,876,489,453,2718,1.0,0.8333333333333334,0.16666666666666666,1353,0.32229580573951433,0.17991169977924945,0.4977924944812362
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,945,570,200,2136,1.0,0.9063670411985019,0.09363295880149813,621,0.44241573033707865,0.26685393258426965,0.2907303370786517
