,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,232,47,310,1103,44,2236,1.0,0.8555456171735242,0.1037567084078712,0.02101967799642218,0.01967799642218247,823,0.13864042933810375,0.4932915921288014,0.3680679785330948
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,264,33,339,778,41,1839,1.0,0.8162044589450789,0.14355628058727568,0.01794453507340946,0.022294725394236,722,0.18433931484502447,0.4230560087003806,0.3926046764545949
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,82,65,310,1319,50,2418,1.0,0.9185277088502894,0.03391232423490488,0.026881720430107527,0.0206782464846981,789,0.1282051282051282,0.5454921422663358,0.326302729528536
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,40,144,154,748,88,2785,1.0,0.9023339317773789,0.01436265709156194,0.05170556552962298,0.03159784560143627,1883,0.05529622980251347,0.26858168761220824,0.6761220825852783
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,34,83,341,1492,83,2923,1.0,0.9315771467670202,0.011631885049606569,0.028395484091686622,0.028395484091686622,1090,0.11666096476223059,0.5104344851180295,0.37290455011974
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,556,69,337,803,110,3247,1.0,0.7736372035725285,0.17123498614105329,0.021250384970742223,0.03387742531567601,2107,0.10378811210348013,0.24730520480443485,0.648906683092085
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,218,60,292,1302,57,2407,1.0,0.8608226007478189,0.09056917324470296,0.024927295388450354,0.023680930619027835,813,0.12131283755712505,0.5409223099293726,0.3377648525135023
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,130,53,398,1533,59,2960,1.0,0.9182432432432432,0.04391891891891892,0.017905405405405406,0.019932432432432434,1029,0.13445945945945945,0.5179054054054054,0.3476351351351351
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,24,30,245,1365,60,2234,1.0,0.9489704565801254,0.010743061772605193,0.01342882721575649,0.02685765443151298,624,0.10966875559534467,0.6110116383169203,0.279319606087735
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,112,40,227,1296,95,2342,1.0,0.894534585824082,0.04782237403928266,0.017079419299743808,0.040563620836891544,819,0.09692570452604611,0.5533731853116994,0.34970111016225447
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,137,64,226,987,81,2290,1.0,0.8768558951965065,0.05982532751091703,0.02794759825327511,0.03537117903930131,1077,0.09868995633187773,0.4310043668122271,0.4703056768558952
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,110,51,256,1054,71,2081,1.0,0.8885151369533878,0.05285920230658337,0.0245074483421432,0.03411821239788563,771,0.12301777991350313,0.5064872657376261,0.37049495434887075
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,133,166,325,1238,134,3428,1.0,0.8736872812135356,0.03879813302217036,0.048424737456242706,0.039089848308051345,1865,0.09480746791131855,0.36114352392065346,0.544049008168028
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,214,98,343,1039,116,2683,1.0,0.8404770778978755,0.07976146105106224,0.036526276556093924,0.04323518449496832,1301,0.12784196794632874,0.38725307491613864,0.4849049571375326
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,157,62,284,1041,84,2353,1.0,0.8712282192945177,0.06672333191670209,0.02634934126646834,0.035699107522311944,1028,0.12069698257543561,0.4424139396515087,0.4368890777730557
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,30,24,151,1048,36,1767,1.0,0.9490662139219015,0.01697792869269949,0.013582342954159592,0.02037351443123939,568,0.08545557441992077,0.5930956423316356,0.32144878324844367
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,115,82,314,1109,73,2826,1.0,0.9044585987261147,0.04069355980184006,0.029016277423920735,0.025831564048124558,1403,0.1111111111111111,0.3924274593064402,0.4964614295824487
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,25,38,165,1269,45,2071,1.0,0.9478512795750845,0.012071463061323033,0.01834862385321101,0.021728633510381457,637,0.07967165620473202,0.6127474649927571,0.30758087880251084
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,32,30,176,813,30,1896,1.0,0.9514767932489452,0.016877637130801686,0.015822784810126583,0.015822784810126583,907,0.09282700421940929,0.4287974683544304,0.47837552742616035
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,12,22,149,707,41,1673,1.0,0.9551703526598924,0.007172743574417215,0.01315002988643156,0.024506873879258817,817,0.08906156604901375,0.4225941422594142,0.488344291691572
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,42,40,211,1373,31,2247,1.0,0.94971072541166,0.018691588785046728,0.017801513128615932,0.013796172674677348,663,0.09390298175344905,0.6110369381397419,0.29506008010680906
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,11,19,247,1533,67,2451,1.0,0.9604243166054671,0.00448796409628723,0.007751937984496124,0.02733578131374949,671,0.10077519379844961,0.6254589963280294,0.273765809873521
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,15,20,161,1023,19,1573,1.0,0.9656706929434202,0.009535918626827717,0.012714558169103624,0.012078830260648443,389,0.10235219326128417,0.6503496503496503,0.2472981563890655
