,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,310,1103,323,2236,1.0,0.8555456171735242,0.14445438282647585,823,0.13864042933810375,0.4932915921288014,0.3680679785330948
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,339,778,338,1839,1.0,0.8162044589450789,0.18379554105492116,722,0.18433931484502447,0.4230560087003806,0.3926046764545949
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,310,1319,197,2418,1.0,0.9185277088502894,0.08147229114971051,789,0.1282051282051282,0.5454921422663358,0.326302729528536
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,154,748,272,2785,1.0,0.9023339317773789,0.09766606822262118,1883,0.05529622980251347,0.26858168761220824,0.6761220825852783
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,341,1492,200,2923,1.0,0.9315771467670202,0.06842285323297982,1090,0.11666096476223059,0.5104344851180295,0.37290455011974
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,337,803,735,3247,1.0,0.7736372035725285,0.2263627964274715,2107,0.10378811210348013,0.24730520480443485,0.648906683092085
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,292,1302,335,2407,1.0,0.8608226007478189,0.13917739925218114,813,0.12131283755712505,0.5409223099293726,0.3377648525135023
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,398,1533,242,2960,1.0,0.9182432432432432,0.08175675675675675,1029,0.13445945945945945,0.5179054054054054,0.3476351351351351
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,245,1365,114,2234,1.0,0.9489704565801254,0.051029543419874666,624,0.10966875559534467,0.6110116383169203,0.279319606087735
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,227,1296,247,2342,1.0,0.894534585824082,0.10546541417591802,819,0.09692570452604611,0.5533731853116994,0.34970111016225447
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,226,987,282,2290,1.0,0.8768558951965065,0.12314410480349346,1077,0.09868995633187773,0.4310043668122271,0.4703056768558952
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,256,1054,232,2081,1.0,0.8885151369533878,0.1114848630466122,771,0.12301777991350313,0.5064872657376261,0.37049495434887075
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,325,1238,433,3428,1.0,0.8736872812135356,0.1263127187864644,1865,0.09480746791131855,0.36114352392065346,0.544049008168028
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,343,1039,428,2683,1.0,0.8404770778978755,0.1595229221021245,1301,0.12784196794632874,0.38725307491613864,0.4849049571375326
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,284,1041,303,2353,1.0,0.8712282192945177,0.12877178070548237,1028,0.12069698257543561,0.4424139396515087,0.4368890777730557
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,151,1048,90,1767,1.0,0.9490662139219015,0.050933786078098474,568,0.08545557441992077,0.5930956423316356,0.32144878324844367
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,314,1109,270,2826,1.0,0.9044585987261147,0.09554140127388536,1403,0.1111111111111111,0.3924274593064402,0.4964614295824487
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,165,1269,108,2071,1.0,0.9478512795750845,0.0521487204249155,637,0.07967165620473202,0.6127474649927571,0.30758087880251084
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,176,813,92,1896,1.0,0.9514767932489452,0.04852320675105485,907,0.09282700421940929,0.4287974683544304,0.47837552742616035
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,149,707,75,1673,1.0,0.9551703526598924,0.04482964734010759,817,0.08906156604901375,0.4225941422594142,0.488344291691572
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,211,1373,113,2247,1.0,0.94971072541166,0.05028927458834001,663,0.09390298175344905,0.6110369381397419,0.29506008010680906
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,247,1533,97,2451,1.0,0.9604243166054671,0.039575683394532844,671,0.10077519379844961,0.6254589963280294,0.273765809873521
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,161,1023,54,1573,1.0,0.9656706929434202,0.034329307056579786,389,0.10235219326128417,0.6503496503496503,0.2472981563890655
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,191,1391,107,2235,1.0,0.9521252796420582,0.04787472035794183,653,0.08545861297539149,0.6223713646532438,0.29217002237136463
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,288,923,179,1837,1.0,0.9025585193249864,0.09744148067501361,626,0.1567773543821448,0.502449646162221,0.34077299945563416
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,196,630,85,1098,1.0,0.9225865209471766,0.07741347905282331,272,0.1785063752276867,0.5737704918032787,0.24772313296903462
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,209,679,139,1456,1.0,0.904532967032967,0.09546703296703296,568,0.14354395604395603,0.46634615384615385,0.3901098901098901
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,210,696,39,1144,1.0,0.9659090909090909,0.03409090909090909,238,0.18356643356643357,0.6083916083916084,0.20804195804195805
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,208,983,106,1735,1.0,0.9389048991354467,0.06109510086455332,544,0.11988472622478386,0.5665706051873198,0.31354466858789626
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,137,542,70,999,1.0,0.92992992992993,0.07007007007007007,320,0.13713713713713713,0.5425425425425425,0.3203203203203203
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,231,896,382,1854,1.0,0.7939590075512406,0.20604099244875945,727,0.12459546925566344,0.48327939590075514,0.39212513484358147
