,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,115,31,323,2236,1,0.8555456171735242,0.14445438282647585,2090,0.05143112701252236,0.013864042933810376,0.9347048300536672
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,129,46,338,1839,1,0.8162044589450789,0.18379554105492116,1664,0.0701468189233279,0.025013594344752584,0.9048395867319196
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,100,9,197,2418,1,0.9185277088502894,0.08147229114971051,2309,0.0413564929693962,0.0037220843672456576,0.9549214226633581
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,68,7,272,2785,1,0.9023339317773789,0.09766606822262118,2710,0.024416517055655295,0.0025134649910233393,0.9730700179533214
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,79,8,200,2923,1,0.9315771467670202,0.06842285323297982,2836,0.02702702702702703,0.0027369141293191925,0.9702360588436538
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,95,26,735,3247,1,0.7736372035725285,0.2263627964274715,3126,0.029257776408992915,0.008007391438250694,0.9627348321527563
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,99,16,335,2407,1,0.8608226007478189,0.13917739925218114,2292,0.041130037390943085,0.006647278770253427,0.9522226838388035
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,148,10,242,2960,1,0.9182432432432432,0.08175675675675675,2802,0.05,0.0033783783783783786,0.9466216216216217
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,79,6,114,2234,1,0.9489704565801254,0.051029543419874666,2149,0.03536257833482542,0.0026857654431512983,0.9619516562220233
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,60,4,247,2342,1,0.894534585824082,0.10546541417591802,2278,0.025619128949615714,0.0017079419299743809,0.9726729291204099
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,76,5,282,2290,1,0.8768558951965065,0.12314410480349346,2209,0.03318777292576419,0.002183406113537118,0.9646288209606987
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,46,3,232,2081,1,0.8885151369533878,0.1114848630466122,2032,0.022104757328207592,0.0014416146083613647,0.9764536280634311
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,101,12,433,3428,1,0.8736872812135356,0.1263127187864644,3315,0.029463243873978997,0.003500583430571762,0.9670361726954493
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,59,14,428,2683,1,0.8404770778978755,0.1595229221021245,2610,0.021990309355199404,0.005218039508013418,0.9727916511367872
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,68,4,303,2353,1,0.8712282192945177,0.12877178070548237,2281,0.02889927751806205,0.0016999575010624734,0.9694007649808755
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,69,5,90,1767,1,0.9490662139219015,0.050933786078098474,1693,0.03904923599320883,0.0028296547821165816,0.9581211092246746
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,84,9,270,2826,1,0.9044585987261147,0.09554140127388536,2733,0.029723991507430998,0.0031847133757961785,0.9670912951167728
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,48,4,108,2071,1,0.9478512795750845,0.0521487204249155,2019,0.02317720907774022,0.001931434089811685,0.9748913568324481
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,75,6,92,1896,1,0.9514767932489452,0.04852320675105485,1815,0.03955696202531646,0.0031645569620253164,0.9572784810126582
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,58,5,75,1673,1,0.9551703526598924,0.04482964734010759,1610,0.034668260609683206,0.002988643156007173,0.9623430962343096
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,69,6,113,2247,1,0.94971072541166,0.05028927458834001,2172,0.030707610146862484,0.0026702269692923898,0.9666221628838452
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,86,5,97,2451,1,0.9604243166054671,0.039575683394532844,2360,0.03508771929824561,0.002039983680130559,0.9628722970216238
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,60,7,54,1573,1,0.9656706929434202,0.034329307056579786,1506,0.03814367450731087,0.004450095359186269,0.9574062301335029
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,77,8,107,2235,1,0.9521252796420582,0.04787472035794183,2150,0.03445190156599553,0.0035794183445190158,0.9619686800894854
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,75,9,179,1837,1,0.9025585193249864,0.09744148067501361,1753,0.04082743603701688,0.004899292324442025,0.9542732716385411
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,59,11,85,1098,1,0.9225865209471766,0.07741347905282331,1028,0.05373406193078324,0.010018214936247723,0.936247723132969
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,82,4,139,1456,1,0.904532967032967,0.09546703296703296,1370,0.05631868131868132,0.0027472527472527475,0.9409340659340659
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,42,4,39,1144,1,0.9659090909090909,0.03409090909090909,1098,0.03671328671328671,0.0034965034965034965,0.9597902097902098
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,69,6,106,1735,1,0.9389048991354467,0.06109510086455332,1660,0.03976945244956772,0.00345821325648415,0.9567723342939481
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,32,1,70,999,1,0.92992992992993,0.07007007007007007,966,0.03203203203203203,0.001001001001001001,0.9669669669669669
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,80,24,382,1854,1,0.7939590075512406,0.20604099244875945,1750,0.043149946062567425,0.012944983818770227,0.9439050701186623
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,60,4,121,2079,1,0.9417989417989417,0.0582010582010582,2015,0.02886002886002886,0.001924001924001924,0.9692159692159692
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,124,15,253,1898,1,0.8667017913593256,0.1332982086406744,1759,0.06533192834562697,0.007903055848261328,0.9267650158061117
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,99,9,207,2039,1,0.8984796468857283,0.1015203531142717,1931,0.04855321235899951,0.004413928396272682,0.9470328592447278
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,113,19,222,1847,1,0.8798050893340552,0.12019491066594477,1715,0.061180292365998916,0.01028695181375203,0.9285327558202491
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,80,7,75,1366,1,0.945095168374817,0.05490483162518302,1279,0.05856515373352855,0.005124450951683748,0.9363103953147877
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,80,12,213,1716,1,0.8758741258741258,0.12412587412587413,1624,0.046620046620046623,0.006993006993006993,0.9463869463869464
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,129,26,482,2381,1,0.7975640487190256,0.20243595128097439,2226,0.054178916421671566,0.010919781604367913,0.9349013019739605
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,125,15,436,2632,1,0.8343465045592705,0.1656534954407295,2492,0.047492401215805474,0.0056990881458966565,0.9468085106382979
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,162,13,226,1760,1,0.8715909090909091,0.12840909090909092,1585,0.09204545454545454,0.007386363636363636,0.9005681818181818
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,125,5,110,1526,1,0.927916120576671,0.07208387942332896,1396,0.08191349934469201,0.00327653997378768,0.9148099606815203
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,108,29,277,1818,1,0.8476347634763476,0.15236523652365236,1681,0.0594059405940594,0.01595159515951595,0.9246424642464246
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,93,6,192,1940,1,0.9010309278350516,0.09896907216494845,1841,0.04793814432989691,0.003092783505154639,0.9489690721649484
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,69,6,167,1531,1,0.8909209666884389,0.10907903331156107,1456,0.045068582625734814,0.003919007184846506,0.9510124101894187
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,84,10,75,1702,1,0.9559341950646298,0.04406580493537015,1608,0.04935370152761457,0.005875440658049354,0.9447708578143361
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,98,12,453,2718,1,0.8333333333333334,0.16666666666666666,2608,0.036055923473142015,0.004415011037527594,0.9595290654893304
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,107,11,200,2136,1,0.9063670411985019,0.09363295880149813,2018,0.050093632958801496,0.005149812734082397,0.9447565543071161
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,154,37,322,2178,1,0.852157943067034,0.14784205693296604,1987,0.0707070707070707,0.016988062442607896,0.9123048668503214
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,129,10,182,2073,1,0.9122045344910757,0.08779546550892427,1934,0.06222865412445731,0.00482392667631452,0.9329474191992282
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,135,27,463,2525,1,0.8166336633663366,0.18336633663366336,2363,0.053465346534653464,0.010693069306930694,0.9358415841584159
654,Anne Arundel,1620,Anne Arundel Precinct 07-026,1426,114,7,194,1620,1,0.8802469135802469,0.11975308641975309,1499,0.07037037037037037,0.004320987654320987,0.9253086419753086
655,Anne Arundel,2128,Anne Arundel Precinct 04-010,1684,14,2,444,2128,1,0.7913533834586466,0.20864661654135339,2112,0.006578947368421052,0.0009398496240601503,0.9924812030075187
656,Anne Arundel,2733,Anne Arundel Precinct 04-016,2032,81,9,701,2733,1,0.743505305525064,0.25649469447493595,2643,0.029637760702524697,0.003293084522502744,0.9670691547749726
657,Anne Arundel,1530,Anne Arundel Precinct 07-014,1357,95,4,173,1530,1,0.8869281045751634,0.1130718954248366,1431,0.06209150326797386,0.00261437908496732,0.9352941176470588
658,Anne Arundel,2243,Anne Arundel Precinct 07-016,1754,132,17,489,2243,1,0.7819884083816317,0.21801159161836825,2094,0.058849754792688364,0.007579135086937138,0.9335711101203745
659,Anne Arundel,1864,Anne Arundel Precinct 07-015,1650,123,10,214,1864,1,0.8851931330472103,0.1148068669527897,1731,0.06598712446351931,0.00536480686695279,0.9286480686695279
660,Anne Arundel,2124,Anne Arundel Precinct 07-018,1735,98,10,389,2124,1,0.8168549905838042,0.18314500941619585,2016,0.046139359698681735,0.004708097928436911,0.9491525423728814
661,Anne Arundel,3122,Anne Arundel Precinct 04-023,2305,173,14,817,3122,1,0.7383087764253684,0.26169122357463165,2935,0.05541319666880205,0.004484304932735426,0.9401024983984625
662,Anne Arundel,2399,Anne Arundel Precinct 04-022,1498,97,15,901,2399,1,0.6244268445185494,0.3755731554814506,2287,0.04043351396415173,0.006252605252188412,0.9533138807836599
663,Anne Arundel,1929,Anne Arundel Precinct 04-008,1617,116,7,312,1929,1,0.838258164852255,0.16174183514774496,1806,0.06013478486262312,0.0036288232244686366,0.9362363919129082
