,COUNTY,VAP,NAME,WVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,626,690,323,2236,1.0,0.8555456171735242,0.14445438282647585,920,0.27996422182468694,0.3085867620751342,0.41144901610017887
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,652,448,338,1839,1.0,0.8162044589450789,0.18379554105492116,739,0.3545405111473627,0.24361065796628603,0.40184883088635126
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,679,789,197,2418,1.0,0.9185277088502894,0.08147229114971051,950,0.28081058726220015,0.326302729528536,0.39288668320926384
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,329,460,272,2785,1.0,0.9023339317773789,0.09766606822262118,1996,0.11813285457809695,0.1651705565529623,0.7166965888689407
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,695,910,200,2923,1.0,0.9315771467670202,0.06842285323297982,1318,0.23776941498460485,0.31132398221005814,0.450906602805337
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,594,514,735,3247,1.0,0.7736372035725285,0.2263627964274715,2139,0.18293809670465044,0.15829996920234063,0.658761934093009
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,619,828,335,2407,1.0,0.8608226007478189,0.13917739925218114,960,0.25716659742417947,0.3439966763606149,0.39883672621520566
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,798,989,242,2960,1.0,0.9182432432432432,0.08175675675675675,1173,0.2695945945945946,0.3341216216216216,0.39628378378378376
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,482,922,114,2234,1.0,0.9489704565801254,0.051029543419874666,830,0.21575649059982094,0.41271262309758283,0.37153088630259623
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,456,887,247,2342,1.0,0.894534585824082,0.10546541417591802,999,0.19470538001707943,0.37873612297181897,0.4265584970111016
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,461,622,282,2290,1.0,0.8768558951965065,0.12314410480349346,1207,0.20131004366812227,0.27161572052401745,0.5270742358078603
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,516,665,232,2081,1.0,0.8885151369533878,0.1114848630466122,900,0.24795771263815472,0.3195579048534358,0.4324843825084094
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,584,828,433,3428,1.0,0.8736872812135356,0.1263127187864644,2016,0.17036172695449242,0.24154025670945156,0.588098016336056
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,623,640,428,2683,1.0,0.8404770778978755,0.1595229221021245,1420,0.2322027581065971,0.23853894893775623,0.5292582929556466
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,568,627,303,2353,1.0,0.8712282192945177,0.12877178070548237,1158,0.24139396515087122,0.2664683382915427,0.49213769655758605
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,363,688,90,1767,1.0,0.9490662139219015,0.050933786078098474,716,0.20543293718166383,0.38936049801924166,0.4052065647990945
