,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,91,43,49,948,1090,1,0.13027522935779817,0.8697247706422019,907,0.0834862385321101,0.03944954128440367,0.044954128440366975,0.8321100917431192
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,110,44,76,1107,1429,1,0.22533240027991602,0.7746675997200839,1199,0.07697690692792163,0.03079076277116865,0.05318404478656403,0.8390482855143457
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,94,31,63,995,1467,1,0.321745057941377,0.678254942058623,1279,0.06407634628493525,0.021131561008861623,0.04294478527607362,0.8718473074301295
559,Baltimore City,985,Baltimore City Precinct 26-030,419,68,22,51,566,985,1,0.42538071065989846,0.5746192893401015,844,0.06903553299492386,0.02233502538071066,0.05177664974619289,0.8568527918781725
574,Baltimore City,502,Baltimore City Precinct 26-001,417,20,4,10,85,502,1,0.8306772908366534,0.1693227091633466,468,0.0398406374501992,0.00796812749003984,0.0199203187250996,0.9322709163346613
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,59,27,63,1418,2426,1,0.4154987633965375,0.5845012366034625,2277,0.024319868095630668,0.011129431162407255,0.025968672712283595,0.9385820280296785
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,72,19,60,691,2095,1,0.6701670644391408,0.3298329355608592,1944,0.03436754176610979,0.009069212410501194,0.028639618138424822,0.9279236276849642
581,Baltimore City,782,Baltimore City Precinct 26-005,514,40,10,29,268,782,1,0.6572890025575447,0.34271099744245526,703,0.05115089514066496,0.01278772378516624,0.0370843989769821,0.8989769820971867
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,49,10,43,525,1623,1,0.6765249537892791,0.3234750462107209,1521,0.030191004313000615,0.0061614294516327784,0.02649414664202095,0.9371534195933456
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,47,14,33,635,1434,1,0.5571827057182706,0.44281729428172945,1340,0.03277545327754533,0.009762900976290097,0.02301255230125523,0.9344490934449093
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,27,9,29,512,1562,1,0.6722151088348272,0.32778489116517284,1497,0.017285531370038413,0.005761843790012804,0.01856594110115237,0.9583866837387964
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,92,54,72,1347,1463,1,0.07928913192071087,0.9207108680792891,1245,0.06288448393711552,0.03691045796308954,0.04921394395078606,0.8509911141490089
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,227,122,182,4100,4697,1,0.12710240579093038,0.8728975942090696,4166,0.048328720459868,0.025974025974025976,0.038748137108792845,0.8869491164573132
