,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,408,25,23,1090,1.0,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,657,0.3743119266055046,0.022935779816513763,0.6027522935779817
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,519,65,43,1429,1.0,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,845,0.3631910426871938,0.04548635409377187,0.5913226032190343
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,473,42,57,1467,1.0,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,952,0.3224267211997273,0.028629856850715747,0.6489434219495569
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,420,50,26,985,1.0,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,515,0.4263959390862944,0.050761421319796954,0.5228426395939086
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,72,51,17,502,1.0,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,379,0.14342629482071714,0.10159362549800798,0.7549800796812749
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,376,96,90,2426,1.0,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,1954,0.1549876339653751,0.03957131079967024,0.8054410552349547
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,310,208,120,2095,1.0,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1577,0.14797136038186157,0.09928400954653938,0.7527446300715991
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,148,76,64,782,1.0,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,558,0.18925831202046037,0.09718670076726342,0.7135549872122762
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,228,108,98,1623,1.0,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1287,0.14048059149722736,0.066543438077634,0.7929759704251387
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,374,198,44,1434,1.0,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,862,0.2608089260808926,0.13807531380753138,0.601115760111576
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,161,113,37,1562,1.0,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1288,0.10307298335467349,0.07234314980793854,0.8245838668373879
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,571,28,44,1463,1.0,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,864,0.3902939166097061,0.019138755980861243,0.5905673274094326
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,1327,81,89,4697,1.0,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3289,0.282520757930594,0.01724505003193528,0.7002341920374707
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,672,112,162,3265,1.0,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2481,0.20581929555895864,0.03430321592649311,0.7598774885145483
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,566,30,37,2660,1.0,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2064,0.21278195488721804,0.011278195488721804,0.7759398496240602
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,378,12,9,1089,1.0,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,699,0.34710743801652894,0.011019283746556474,0.6418732782369146
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,427,14,38,1595,1.0,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1154,0.2677115987460815,0.00877742946708464,0.7235109717868339
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,649,334,135,3555,1.0,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2572,0.18255977496483825,0.0939521800281294,0.7234880450070323
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,166,49,27,929,1.0,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,714,0.17868675995694294,0.0527448869752422,0.7685683530678149
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,345,16,12,1049,1.0,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,688,0.328884652049571,0.015252621544327931,0.655862726406101
