,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,411,16,948,1090,1.0,0.13027522935779817,0.8697247706422019,663,0.37706422018348623,0.014678899082568808,0.6082568807339449
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,529,50,1107,1429,1.0,0.22533240027991602,0.7746675997200839,850,0.3701889433170049,0.03498950314905528,0.5948215535339398
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,482,27,995,1467,1.0,0.321745057941377,0.678254942058623,958,0.3285616905248807,0.018404907975460124,0.6530334014996592
559,Baltimore City,985,Baltimore City Precinct 26-030,419,434,35,566,985,1.0,0.42538071065989846,0.5746192893401015,516,0.44060913705583754,0.03553299492385787,0.5238578680203045
574,Baltimore City,502,Baltimore City Precinct 26-001,417,83,36,85,502,1.0,0.8306772908366534,0.1693227091633466,383,0.16533864541832669,0.07171314741035857,0.7629482071713147
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,397,71,1418,2426,1.0,0.4154987633965375,0.5845012366034625,1958,0.16364385820280297,0.02926628194558945,0.8070898598516076
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,334,164,691,2095,1.0,0.6701670644391408,0.3298329355608592,1597,0.1594272076372315,0.0782816229116945,0.762291169451074
581,Baltimore City,782,Baltimore City Precinct 26-005,514,159,63,268,782,1.0,0.6572890025575447,0.34271099744245526,560,0.20332480818414322,0.08056265984654731,0.7161125319693095
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,255,74,525,1623,1.0,0.6765249537892791,0.3234750462107209,1294,0.15711645101663585,0.04559457794208256,0.7972889710412816
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,375,165,635,1434,1.0,0.5571827057182706,0.44281729428172945,894,0.2615062761506276,0.11506276150627615,0.6234309623430963
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,165,97,512,1562,1.0,0.6722151088348272,0.32778489116517284,1300,0.1056338028169014,0.06209987195902689,0.8322663252240717
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,573,24,1347,1463,1.0,0.07928913192071087,0.9207108680792891,866,0.39166097060833904,0.016404647983595352,0.5919343814080656
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,1343,60,4100,4697,1.0,0.12710240579093038,0.8728975942090696,3294,0.28592718756653185,0.012774111134766872,0.7012987012987013
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,689,80,2443,3265,1.0,0.2517611026033691,0.748238897396631,2496,0.2110260336906585,0.02450229709035222,0.7644716692189892
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,568,23,2586,2660,1.0,0.027819548872180452,0.9721804511278196,2069,0.21353383458646616,0.008646616541353383,0.7778195488721804
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,373,11,1080,1089,1.0,0.008264462809917356,0.9917355371900827,705,0.34251606978879706,0.010101010101010102,0.6473829201101928
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,423,14,1549,1595,1.0,0.02884012539184953,0.9711598746081505,1158,0.2652037617554859,0.00877742946708464,0.7260188087774294
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,700,248,985,3555,1.0,0.7229254571026723,0.2770745428973277,2607,0.19690576652601968,0.06976090014064698,0.7333333333333333
