,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,123,33,42,948,1090,1,0.13027522935779817,0.8697247706422019,892,0.11284403669724771,0.030275229357798167,0.03853211009174312,0.818348623853211
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,134,52,51,1107,1429,1,0.22533240027991602,0.7746675997200839,1192,0.09377186843946816,0.0363890832750175,0.03568929321203639,0.834149755073478
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,99,40,55,995,1467,1,0.321745057941377,0.678254942058623,1273,0.06748466257668712,0.027266530334014997,0.03749147920927062,0.8677573278800272
559,Baltimore City,985,Baltimore City Precinct 26-030,419,77,24,45,566,985,1,0.42538071065989846,0.5746192893401015,839,0.07817258883248732,0.024365482233502538,0.04568527918781726,0.8517766497461929
574,Baltimore City,502,Baltimore City Precinct 26-001,417,12,11,11,85,502,1,0.8306772908366534,0.1693227091633466,468,0.02390438247011952,0.021912350597609563,0.021912350597609563,0.9322709163346613
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,85,39,26,1418,2426,1,0.4154987633965375,0.5845012366034625,2276,0.03503709810387469,0.016075845012366034,0.010717230008244023,0.9381698268755152
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,48,67,44,691,2095,1,0.6701670644391408,0.3298329355608592,1936,0.022911694510739856,0.03198090692124105,0.02100238663484487,0.9241050119331742
581,Baltimore City,782,Baltimore City Precinct 26-005,514,23,25,34,268,782,1,0.6572890025575447,0.34271099744245526,700,0.029411764705882353,0.0319693094629156,0.043478260869565216,0.8951406649616368
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,31,45,31,525,1623,1,0.6765249537892791,0.3234750462107209,1516,0.019100431300061615,0.027726432532347505,0.019100431300061615,0.9340727048675292
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,46,18,30,635,1434,1,0.5571827057182706,0.44281729428172945,1340,0.03207810320781032,0.012552301255230125,0.02092050209205021,0.9344490934449093
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,26,16,26,512,1562,1,0.6722151088348272,0.32778489116517284,1494,0.016645326504481434,0.010243277848911651,0.016645326504481434,0.9564660691421255
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,159,27,44,1347,1463,1,0.07928913192071087,0.9207108680792891,1233,0.10868079289131921,0.01845522898154477,0.03007518796992481,0.8427887901572112
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,338,107,104,4100,4697,1,0.12710240579093038,0.8728975942090696,4148,0.07196082605918672,0.022780498190334255,0.022141792633595912,0.8831168831168831
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,156,49,45,2443,3265,1,0.2517611026033691,0.748238897396631,3015,0.04777947932618683,0.015007656967840736,0.013782542113323124,0.9234303215926493
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,187,31,36,2586,2660,1,0.027819548872180452,0.9721804511278196,2406,0.07030075187969925,0.011654135338345865,0.013533834586466165,0.9045112781954887
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,137,15,34,1080,1089,1,0.008264462809917356,0.9917355371900827,903,0.1258034894398531,0.013774104683195593,0.031221303948576674,0.8292011019283747
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,144,39,41,1549,1595,1,0.02884012539184953,0.9711598746081505,1371,0.090282131661442,0.02445141065830721,0.025705329153605017,0.8595611285266458
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,60,62,87,985,3555,1,0.7229254571026723,0.2770745428973277,3346,0.016877637130801686,0.017440225035161745,0.024472573839662448,0.9412095639943742
811,Baltimore City,929,Baltimore City Precinct 20-009,527,37,14,18,402,929,1,0.5672766415500539,0.4327233584499462,860,0.03982777179763186,0.015069967707212056,0.0193756727664155,0.9257265877287406
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,128,20,27,1021,1049,1,0.02669208770257388,0.9733079122974261,874,0.12202097235462345,0.019065776930409915,0.025738798856053385,0.8331744518589133
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,63,67,88,794,3568,1,0.7774663677130045,0.22253363228699552,3350,0.01765695067264574,0.018778026905829595,0.02466367713004484,0.9389013452914798
814,Baltimore City,756,Baltimore City Precinct 20-010,333,32,10,8,423,756,1,0.44047619047619047,0.5595238095238095,706,0.042328042328042326,0.013227513227513227,0.010582010582010581,0.9338624338624338
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,218,32,30,2268,2322,1,0.023255813953488372,0.9767441860465116,2042,0.09388458225667529,0.013781223083548665,0.012919896640826873,0.8794142980189492
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,53,24,34,1455,2303,1,0.36821537125488496,0.6317846287451151,2192,0.02301346070343031,0.010421189752496743,0.014763352149370386,0.9518019973947026
817,Baltimore City,950,Baltimore City Precinct 20-002,70,63,8,13,880,950,1,0.07368421052631578,0.9263157894736842,866,0.06631578947368422,0.008421052631578947,0.01368421052631579,0.911578947368421
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,171,31,41,1746,1760,1,0.007954545454545454,0.9920454545454546,1517,0.0971590909090909,0.017613636363636363,0.023295454545454546,0.8619318181818182
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,193,41,50,1940,1950,1,0.005128205128205128,0.9948717948717949,1666,0.09897435897435898,0.021025641025641025,0.02564102564102564,0.8543589743589743
820,Baltimore City,240,Baltimore City Precinct 20-004,4,26,6,10,236,240,1,0.016666666666666666,0.9833333333333333,198,0.10833333333333334,0.025,0.041666666666666664,0.825
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,104,23,37,1471,1495,1,0.016053511705685617,0.9839464882943144,1331,0.06956521739130435,0.015384615384615385,0.024749163879598662,0.8903010033444816
822,Baltimore City,901,Baltimore City Precinct 26-031,516,44,24,45,385,901,1,0.5726970033296337,0.42730299667036625,788,0.048834628190899,0.026637069922308545,0.049944506104328525,0.8745837957824639
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,219,80,109,1527,2719,1,0.4383964692901802,0.5616035307098198,2311,0.08054431776388378,0.02942258183155572,0.04008826774549467,0.8499448326590658
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,156,107,135,982,2670,1,0.6322097378277154,0.36779026217228467,2272,0.058426966292134834,0.040074906367041196,0.05056179775280899,0.850936329588015
828,Baltimore City,842,Baltimore City Precinct 27-010,645,44,30,42,197,842,1,0.7660332541567696,0.2339667458432304,726,0.052256532066508314,0.035629453681710214,0.0498812351543943,0.8622327790973872
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,94,23,40,908,1038,1,0.1252408477842004,0.8747591522157996,881,0.0905587668593449,0.022157996146435453,0.038535645472061654,0.848747591522158
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,95,36,188,730,1718,1,0.5750873108265425,0.42491268917345754,1399,0.05529685681024447,0.020954598370197905,0.10942956926658906,0.8143189755529686
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,139,26,78,1534,1916,1,0.19937369519832984,0.8006263048016702,1673,0.07254697286012526,0.013569937369519834,0.0407098121085595,0.8731732776617954
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,26,20,25,467,1139,1,0.5899912203687445,0.4100087796312555,1068,0.0228270412642669,0.01755926251097454,0.021949078138718173,0.9376646180860404
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,42,30,27,994,2273,1,0.5626924769027717,0.4373075230972283,2174,0.01847778266608007,0.013198416190057193,0.011878574571051475,0.9564452265728113
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,50,17,14,1015,1483,1,0.3155765340525961,0.6844234659474039,1402,0.033715441672285906,0.011463250168577209,0.009440323668240054,0.9453809844908968
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,24,19,21,512,1262,1,0.5942947702060222,0.40570522979397783,1198,0.01901743264659271,0.015055467511885896,0.01664025356576862,0.9492868462757528
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,50,20,22,927,1628,1,0.4305896805896806,0.5694103194103194,1536,0.030712530712530713,0.012285012285012284,0.013513513513513514,0.9434889434889435
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,57,28,32,799,2415,1,0.6691511387163561,0.3308488612836439,2298,0.02360248447204969,0.011594202898550725,0.013250517598343685,0.9515527950310559
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,130,90,147,225,2673,1,0.9158249158249159,0.08417508417508418,2306,0.048634493078937524,0.03367003367003367,0.05499438832772166,0.8627010849233071
889,Baltimore City,878,Baltimore City Precinct 24-002,775,47,33,50,103,878,1,0.8826879271070615,0.11731207289293849,748,0.05353075170842825,0.03758542141230068,0.05694760820045558,0.8519362186788155
890,Baltimore City,722,Baltimore City Precinct 24-001,632,54,27,62,90,722,1,0.8753462603878116,0.12465373961218837,579,0.07479224376731301,0.037396121883656507,0.08587257617728532,0.8019390581717452
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,103,55,127,197,1728,1,0.8859953703703703,0.11400462962962964,1443,0.05960648148148148,0.031828703703703706,0.07349537037037036,0.8350694444444444
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,76,59,100,573,1994,1,0.7126379137412236,0.28736208625877635,1759,0.03811434302908726,0.02958876629889669,0.05015045135406219,0.8821464393179539
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,186,152,226,231,3017,1,0.9234338747099768,0.0765661252900232,2453,0.06165064633742128,0.05038117335101094,0.07490884985084521,0.8130593304607225
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,128,62,169,468,2635,1,0.8223908918406072,0.1776091081593928,2276,0.04857685009487666,0.023529411764705882,0.06413662239089184,0.8637571157495256
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,94,42,135,672,2074,1,0.6759884281581485,0.3240115718418515,1803,0.04532304725168756,0.020250723240115717,0.06509161041465766,0.869334619093539
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,92,52,177,411,2117,1,0.8058573452999528,0.19414265470004724,1796,0.04345772319319792,0.02456306093528578,0.08360888049126122,0.8483703353802551
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,73,41,85,237,1947,1,0.8782742681047766,0.12172573189522343,1748,0.03749357986646122,0.021058038007190548,0.04365690806368772,0.8977914740626605
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,116,20,23,2415,2617,1,0.07718761941153993,0.92281238058846,2458,0.04432556362246848,0.007642338555598013,0.008788689338937715,0.9392434084829958
899,Baltimore City,658,Baltimore City Precinct 10-004,17,83,12,14,641,658,1,0.025835866261398176,0.9741641337386018,549,0.12613981762917933,0.0182370820668693,0.02127659574468085,0.8343465045592705
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,36,7,8,4876,5665,1,0.13927625772285968,0.8607237422771403,5614,0.006354810238305384,0.001235657546337158,0.001412180052956752,0.9909973521624007
901,Baltimore City,836,Baltimore City Precinct 03-002,231,47,7,15,605,836,1,0.27631578947368424,0.7236842105263158,767,0.056220095693779906,0.008373205741626795,0.017942583732057416,0.9174641148325359
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,149,29,36,2641,2765,1,0.04484629294755877,0.9551537070524412,2551,0.0538878842676311,0.010488245931283906,0.013019891500904159,0.9226039783001808
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,105,53,115,2108,3497,1,0.3971975979410924,0.6028024020589077,3224,0.03002573634543895,0.015155847869602517,0.0328853302830998,0.9219330855018587
915,Baltimore City,923,Baltimore City Precinct 26-012,85,43,8,15,838,923,1,0.09209100758396534,0.9079089924160346,857,0.04658721560130011,0.00866738894907909,0.016251354279523293,0.9284940411700975
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,438,71,103,3227,3245,1,0.005546995377503852,0.9944530046224962,2633,0.1349768875192604,0.021879815100154083,0.03174114021571649,0.8114021571648691
917,Baltimore City,577,Baltimore City Precinct 08-011,13,69,10,19,564,577,1,0.022530329289428077,0.9774696707105719,479,0.1195840554592721,0.01733102253032929,0.03292894280762565,0.830155979202773
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,153,28,39,1928,1998,1,0.035035035035035036,0.964964964964965,1778,0.07657657657657657,0.014014014014014014,0.01951951951951952,0.8898898898898899
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,173,43,52,1532,1675,1,0.0853731343283582,0.9146268656716418,1407,0.10328358208955224,0.025671641791044777,0.031044776119402984,0.84
920,Baltimore City,783,Baltimore City Precinct 26-020,50,72,20,19,733,783,1,0.06385696040868455,0.9361430395913155,672,0.09195402298850575,0.02554278416347382,0.024265644955300127,0.8582375478927203
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,50,23,31,924,1709,1,0.4593329432416618,0.5406670567583383,1605,0.029256875365710942,0.013458162668227034,0.018139262726740785,0.9391456992393212
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,23,25,36,281,1355,1,0.792619926199262,0.207380073800738,1271,0.016974169741697416,0.01845018450184502,0.026568265682656828,0.9380073800738007
923,Baltimore City,339,Baltimore City Precinct 26-017,33,39,3,13,306,339,1,0.09734513274336283,0.9026548672566371,284,0.11504424778761062,0.008849557522123894,0.038348082595870206,0.8377581120943953
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,146,30,33,2672,2928,1,0.08743169398907104,0.912568306010929,2719,0.049863387978142076,0.010245901639344262,0.011270491803278689,0.9286202185792349
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,119,28,44,1175,1249,1,0.059247397918334666,0.9407526020816653,1058,0.09527622097678143,0.02241793434747798,0.03522818254603683,0.8470776621297038
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,185,43,61,2441,2683,1,0.09019754006708908,0.9098024599329109,2394,0.06895266492732016,0.0160268356317555,0.022735743570629893,0.8922847558702944
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,125,25,30,2153,2299,1,0.06350587211831231,0.9364941278816877,2119,0.05437146585471944,0.01087429317094389,0.013049151805132666,0.921705089169204
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,132,51,71,1330,1812,1,0.26600441501103755,0.7339955849889624,1558,0.0728476821192053,0.028145695364238412,0.039183222958057394,0.8598233995584988
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,185,82,176,1312,2585,1,0.49245647969052225,0.5075435203094778,2142,0.07156673114119923,0.03172147001934236,0.06808510638297872,0.8286266924564797
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,274,102,135,2396,3355,1,0.28584202682563337,0.7141579731743666,2844,0.08166915052160954,0.030402384500745158,0.040238450074515646,0.8476900149031297
987,Baltimore City,780,Baltimore City Precinct 27-019,33,74,24,31,747,780,1,0.04230769230769231,0.9576923076923077,651,0.09487179487179487,0.03076923076923077,0.03974358974358974,0.8346153846153846
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,234,66,83,1889,2289,1,0.17474879860200962,0.8252512013979904,1906,0.10222804718217562,0.028833551769331587,0.036260375709917,0.8326780253385758
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,205,94,174,1194,2647,1,0.5489233094068757,0.4510766905931243,2174,0.07744616547034379,0.03551190026445032,0.0657347941065357,0.8213071401586702
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,205,60,102,2494,3409,1,0.26840715752420063,0.7315928424757994,3042,0.06013493693165151,0.01760046934584922,0.02992079788794368,0.8923437958345556
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,125,60,110,649,1492,1,0.5650134048257373,0.43498659517426275,1197,0.08378016085790885,0.040214477211796246,0.07372654155495978,0.8022788203753352
995,Baltimore City,762,Baltimore City Precinct 27-012,550,24,26,45,212,762,1,0.7217847769028871,0.2782152230971129,667,0.031496062992125984,0.03412073490813648,0.05905511811023622,0.8753280839895013
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,63,45,56,204,751,1,0.7283621837549934,0.27163781624500666,587,0.08388814913448735,0.05992010652463382,0.07456724367509987,0.7816245006657789
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,125,43,131,734,1727,1,0.57498552403011,0.42501447596989,1428,0.07237984944991314,0.024898668210770122,0.07585408222350898,0.8268674001158077
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,154,101,199,408,1669,1,0.7555422408627921,0.2444577591372079,1215,0.09227082085080887,0.06051527860994608,0.11923307369682444,0.7279808268424206
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,127,63,226,121,1155,1,0.8952380952380953,0.10476190476190476,739,0.10995670995670996,0.05454545454545454,0.19567099567099566,0.6398268398268399
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,128,70,186,198,1487,1,0.8668459986550101,0.13315400134498992,1103,0.08607935440484196,0.04707464694014795,0.12508406186953597,0.7417619367854741
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,90,55,112,97,742,1,0.8692722371967655,0.1307277628032345,485,0.12129380053908356,0.07412398921832884,0.1509433962264151,0.6536388140161725
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,157,83,219,483,1929,1,0.749611197511664,0.25038880248833595,1470,0.08138932089165371,0.04302747537584241,0.11353032659409021,0.7620528771384136
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,99,17,86,1084,1338,1,0.1898355754857997,0.8101644245142003,1136,0.07399103139013453,0.012705530642750373,0.06427503736920777,0.8490284005979073
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,142,28,83,1156,1402,1,0.1754636233951498,0.8245363766048502,1149,0.10128388017118402,0.019971469329529243,0.05920114122681883,0.8195435092724679
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,106,23,38,1033,1166,1,0.11406518010291596,0.885934819897084,999,0.09090909090909091,0.01972555746140652,0.032590051457975985,0.8567753001715266
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,72,26,35,926,1002,1,0.07584830339321358,0.9241516966067864,869,0.0718562874251497,0.02594810379241517,0.03493013972055888,0.8672654690618763
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,236,57,162,1474,1958,1,0.24719101123595505,0.7528089887640449,1503,0.1205311542390194,0.029111338100102146,0.08273748723186926,0.7676200204290092
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,202,36,108,1350,1717,1,0.21374490390215492,0.786255096097845,1371,0.11764705882352941,0.020966802562609202,0.0629004076878276,0.7984857309260338
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,62,7,19,741,782,1,0.052429667519181586,0.9475703324808185,694,0.0792838874680307,0.008951406649616368,0.024296675191815855,0.887468030690537
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,98,10,28,938,970,1,0.032989690721649485,0.9670103092783505,834,0.10103092783505155,0.010309278350515464,0.0288659793814433,0.8597938144329897
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,235,56,76,3163,3261,1,0.03005213124808341,0.9699478687519166,2894,0.07206378411530205,0.017172646427476235,0.023305734437289175,0.8874578350199326
1045,Baltimore City,1481,Baltimore City Precinct 27-026,265,108,22,66,1216,1481,1,0.17893315327481432,0.8210668467251857,1285,0.07292370020256583,0.014854827819041188,0.04456448345712356,0.8676569885212694
1046,Baltimore City,1722,Baltimore City Precinct 27-027,33,177,40,45,1689,1722,1,0.01916376306620209,0.980836236933798,1460,0.10278745644599303,0.023228803716608595,0.02613240418118467,0.8478513356562137
1047,Baltimore City,1372,Baltimore City Precinct 27-028,32,161,36,36,1340,1372,1,0.023323615160349854,0.9766763848396501,1139,0.11734693877551021,0.026239067055393587,0.026239067055393587,0.8301749271137027
1048,Baltimore City,858,Baltimore City Precinct 27-029,10,113,16,33,848,858,1,0.011655011655011656,0.9883449883449883,696,0.1317016317016317,0.018648018648018648,0.038461538461538464,0.8111888111888111
1049,Baltimore City,1643,Baltimore City Precinct 09-008,18,124,27,30,1625,1643,1,0.010955569080949483,0.9890444309190505,1462,0.07547169811320754,0.016433353621424222,0.018259281801582473,0.8898356664637858
1050,Baltimore City,1933,Baltimore City Precinct 09-006,142,306,57,99,1791,1933,1,0.0734609415416451,0.9265390584583549,1471,0.15830315571650286,0.029487842731505433,0.0512157268494568,0.760993274702535
1051,Baltimore City,1819,Baltimore City Precinct 09-007,152,210,34,76,1667,1819,1,0.08356239692138538,0.9164376030786147,1499,0.11544804837822979,0.018691588785046728,0.04178119846069269,0.8240791643760308
1052,Baltimore City,1296,Baltimore City Precinct 27-025,35,156,22,45,1261,1296,1,0.02700617283950617,0.9729938271604939,1073,0.12037037037037036,0.016975308641975308,0.034722222222222224,0.8279320987654321
1053,Baltimore City,1047,Baltimore City Precinct 27-024,138,76,15,16,909,1047,1,0.1318051575931232,0.8681948424068768,940,0.0725883476599809,0.014326647564469915,0.015281757402101241,0.897803247373448
1054,Baltimore City,588,Baltimore City Precinct 27-023,30,98,15,29,558,588,1,0.05102040816326531,0.9489795918367347,446,0.16666666666666666,0.025510204081632654,0.04931972789115646,0.7585034013605442
1055,Baltimore City,1632,Baltimore City Precinct 27-034,121,174,58,61,1511,1632,1,0.0741421568627451,0.9258578431372549,1339,0.10661764705882353,0.03553921568627451,0.037377450980392156,0.8204656862745098
1056,Baltimore City,2316,Baltimore City Precinct 27-033,564,232,69,139,1752,2316,1,0.24352331606217617,0.7564766839378239,1876,0.1001727115716753,0.029792746113989636,0.06001727115716753,0.8100172711571675
1057,Baltimore City,2778,Baltimore City Precinct 27-032,1010,240,65,189,1768,2778,1,0.36357091432685384,0.6364290856731462,2284,0.08639308855291576,0.02339812814974802,0.06803455723542116,0.822174226061915
1060,Baltimore City,1703,Baltimore City Precinct 27-030,58,134,28,41,1645,1703,1,0.03405754550792719,0.9659424544920728,1500,0.07868467410452143,0.01644157369348209,0.024075161479741633,0.8807985907222549
1061,Baltimore City,2334,Baltimore City Precinct 27-031,141,276,55,86,2193,2334,1,0.060411311053984576,0.9395886889460154,1917,0.11825192802056556,0.02356469580119966,0.03684661525278492,0.8213367609254498
1062,Baltimore City,2547,Baltimore City Precinct 27-022,207,348,66,79,2340,2547,1,0.0812720848056537,0.9187279151943463,2054,0.13663133097762073,0.02591283863368669,0.031016882606988615,0.806438947781704
1063,Baltimore City,2765,Baltimore City Precinct 27-021,234,281,76,84,2531,2765,1,0.08462929475587704,0.915370705244123,2324,0.10162748643761302,0.02748643761301989,0.030379746835443037,0.8405063291139241
1064,Baltimore City,2623,Baltimore City Precinct 27-020,377,238,58,78,2246,2623,1,0.14372855508959206,0.856271444910408,2249,0.09073579870377431,0.02211208539839878,0.029736942432329393,0.8574151734654976
1066,Baltimore City,1108,Baltimore City Precinct 08-001,657,6,2,14,451,1108,1,0.5929602888086642,0.40703971119133575,1086,0.005415162454873646,0.0018050541516245488,0.01263537906137184,0.98014440433213
