,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,71,70,7,2,25,948,1090,1,0.13027522935779817,0.8697247706422019,915,0.06513761467889909,0.06422018348623854,0.006422018348623854,0.001834862385321101,0.022935779816513763,0.8394495412844036
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,79,97,11,2,40,1107,1429,1,0.22533240027991602,0.7746675997200839,1200,0.055283414975507345,0.06787963610916725,0.007697690692792162,0.0013995801259622112,0.02799160251924423,0.8397480755773268
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,78,80,14,3,27,995,1467,1,0.321745057941377,0.678254942058623,1265,0.053169734151329244,0.054533060668029994,0.00954328561690525,0.002044989775051125,0.018404907975460124,0.8623040218132243
559,Baltimore City,985,Baltimore City Precinct 26-030,419,76,42,9,4,32,566,985,1,0.42538071065989846,0.5746192893401015,822,0.07715736040609138,0.04263959390862944,0.009137055837563452,0.0040609137055837565,0.03248730964467005,0.8345177664974619
574,Baltimore City,502,Baltimore City Precinct 26-001,417,8,3,0,1,6,85,502,1,0.8306772908366534,0.1693227091633466,484,0.01593625498007968,0.00597609561752988,0.0,0.00199203187250996,0.01195219123505976,0.9641434262948207
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,58,40,11,3,28,1418,2426,1,0.4154987633965375,0.5845012366034625,2286,0.023907666941467436,0.016488046166529265,0.004534212695795548,0.001236603462489695,0.011541632316570486,0.9422918384171476
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,55,25,7,4,24,691,2095,1,0.6701670644391408,0.3298329355608592,1980,0.026252983293556086,0.011933174224343675,0.003341288782816229,0.0019093078758949881,0.011455847255369928,0.9451073985680191
581,Baltimore City,782,Baltimore City Precinct 26-005,514,32,24,10,4,11,268,782,1,0.6572890025575447,0.34271099744245526,701,0.04092071611253197,0.030690537084398978,0.01278772378516624,0.005115089514066497,0.014066496163682864,0.8964194373401535
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,35,21,10,4,20,525,1623,1,0.6765249537892791,0.3234750462107209,1533,0.021565003080714726,0.012939001848428836,0.0061614294516327784,0.0024645717806531116,0.012322858903265557,0.944547134935305
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,60,17,13,5,22,635,1434,1,0.5571827057182706,0.44281729428172945,1317,0.04184100418410042,0.011854951185495118,0.00906555090655509,0.003486750348675035,0.015341701534170154,0.9184100418410042
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,24,10,2,0,8,512,1562,1,0.6722151088348272,0.32778489116517284,1518,0.015364916773367477,0.006402048655569782,0.0012804097311139564,0.0,0.005121638924455826,0.971830985915493
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,115,77,17,2,44,1347,1463,1,0.07928913192071087,0.9207108680792891,1208,0.0786056049213944,0.05263157894736842,0.01161995898838004,0.001367053998632946,0.03007518796992481,0.8257006151742994
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,220,252,26,9,92,4100,4697,1,0.12710240579093038,0.8728975942090696,4098,0.0468384074941452,0.05365126676602087,0.005535448158398978,0.0019161166702150309,0.019586970406642538,0.8724717905045773
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,122,49,17,8,48,2443,3265,1,0.2517611026033691,0.748238897396631,3021,0.03736600306278714,0.015007656967840736,0.005206738131699847,0.002450229709035222,0.014701378254211332,0.9252679938744257
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,103,54,11,3,45,2586,2660,1,0.027819548872180452,0.9721804511278196,2444,0.0387218045112782,0.02030075187969925,0.004135338345864661,0.0011278195488721805,0.016917293233082706,0.9187969924812031
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,87,33,7,2,32,1080,1089,1,0.008264462809917356,0.9917355371900827,928,0.07988980716253444,0.030303030303030304,0.006427915518824609,0.0018365472910927456,0.02938475665748393,0.852157943067034
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,88,30,8,3,31,1549,1595,1,0.02884012539184953,0.9711598746081505,1435,0.05517241379310345,0.018808777429467086,0.005015673981191223,0.0018808777429467085,0.019435736677115987,0.8996865203761756
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,89,72,20,7,29,985,3555,1,0.7229254571026723,0.2770745428973277,3338,0.025035161744022504,0.020253164556962026,0.005625879043600563,0.001969057665260197,0.008157524613220815,0.9389592123769339
811,Baltimore City,929,Baltimore City Precinct 20-009,527,22,13,7,0,17,402,929,1,0.5672766415500539,0.4327233584499462,870,0.023681377825618945,0.013993541442411194,0.007534983853606028,0.0,0.01829924650161464,0.9364908503767492
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,67,47,10,2,32,1021,1049,1,0.02669208770257388,0.9733079122974261,891,0.06387035271687322,0.044804575786463297,0.009532888465204958,0.0019065776930409914,0.030505243088655862,0.8493803622497617
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,71,40,17,10,41,794,3568,1,0.7774663677130045,0.22253363228699552,3389,0.01989910313901345,0.011210762331838564,0.00476457399103139,0.002802690582959641,0.01149103139013453,0.9498318385650224
814,Baltimore City,756,Baltimore City Precinct 20-010,333,12,7,0,0,3,423,756,1,0.44047619047619047,0.5595238095238095,734,0.015873015873015872,0.009259259259259259,0.0,0.0,0.003968253968253968,0.9708994708994709
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,68,35,5,1,24,2268,2322,1,0.023255813953488372,0.9767441860465116,2189,0.029285099052540915,0.015073212747631352,0.002153316106804479,0.0004306632213608958,0.0103359173126615,0.9427217915590008
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,40,31,9,1,17,1455,2303,1,0.36821537125488496,0.6317846287451151,2205,0.017368649587494574,0.013460703430308293,0.0039079461571862786,0.0004342162396873643,0.007381676074685193,0.9574468085106383
817,Baltimore City,950,Baltimore City Precinct 20-002,70,28,17,3,0,14,880,950,1,0.07368421052631578,0.9263157894736842,888,0.029473684210526315,0.017894736842105262,0.003157894736842105,0.0,0.014736842105263158,0.9347368421052632
