,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,582,25,948,1090,1,0.13027522935779817,0.8697247706422019,483,0.5339449541284403,0.022935779816513763,0.44311926605504587
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,722,74,1107,1429,1,0.22533240027991602,0.7746675997200839,633,0.5052484254723583,0.05178446466060182,0.4429671098670399
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,704,84,995,1467,1,0.321745057941377,0.678254942058623,679,0.47989093387866394,0.05725971370143149,0.46284935241990455
559,Baltimore City,985,Baltimore City Precinct 26-030,419,491,96,566,985,1,0.42538071065989846,0.5746192893401015,398,0.4984771573604061,0.09746192893401015,0.4040609137055838
574,Baltimore City,502,Baltimore City Precinct 26-001,417,102,67,85,502,1,0.8306772908366534,0.1693227091633466,333,0.20318725099601595,0.13346613545816732,0.6633466135458167
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,681,135,1418,2426,1,0.4154987633965375,0.5845012366034625,1610,0.28070898598516075,0.055647155812036275,0.6636438582028029
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,413,258,691,2095,1,0.6701670644391408,0.3298329355608592,1424,0.19713603818615752,0.12315035799522674,0.6797136038186158
581,Baltimore City,782,Baltimore City Precinct 26-005,514,186,101,268,782,1,0.6572890025575447,0.34271099744245526,495,0.23785166240409208,0.12915601023017903,0.6329923273657289
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,344,181,525,1623,1,0.6765249537892791,0.3234750462107209,1098,0.2119531731361676,0.1115218730745533,0.6765249537892791
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,332,141,635,1434,1,0.5571827057182706,0.44281729428172945,961,0.2315202231520223,0.09832635983263599,0.6701534170153417
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,229,136,512,1562,1,0.6722151088348272,0.32778489116517284,1197,0.146606914212548,0.08706786171574904,0.7663252240717029
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,845,22,1347,1463,1,0.07928913192071087,0.9207108680792891,596,0.5775803144224196,0.015037593984962405,0.4073820915926179
