,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,64,40,948,1090,1,0.13027522935779817,0.8697247706422019,986,0.05871559633027523,0.03669724770642202,0.9045871559633027
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,89,38,1107,1429,1,0.22533240027991602,0.7746675997200839,1302,0.0622813156053184,0.026592022393282014,0.9111266620013996
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,93,21,995,1467,1,0.321745057941377,0.678254942058623,1353,0.06339468302658487,0.014314928425357873,0.9222903885480572
559,Baltimore City,985,Baltimore City Precinct 26-030,419,65,13,566,985,1,0.42538071065989846,0.5746192893401015,907,0.06598984771573604,0.013197969543147208,0.9208121827411168
574,Baltimore City,502,Baltimore City Precinct 26-001,417,9,1,85,502,1,0.8306772908366534,0.1693227091633466,492,0.017928286852589643,0.00199203187250996,0.9800796812749004
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,65,8,1418,2426,1,0.4154987633965375,0.5845012366034625,2353,0.02679307502061006,0.0032976092333058533,0.9699093157460841
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,56,2,691,2095,1,0.6701670644391408,0.3298329355608592,2037,0.02673031026252983,0.0009546539379474941,0.9723150357995227
581,Baltimore City,782,Baltimore City Precinct 26-005,514,35,5,268,782,1,0.6572890025575447,0.34271099744245526,742,0.04475703324808184,0.00639386189258312,0.948849104859335
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,39,2,525,1623,1,0.6765249537892791,0.3234750462107209,1582,0.024029574861367836,0.0012322858903265558,0.9747381392483057
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,29,2,635,1434,1,0.5571827057182706,0.44281729428172945,1403,0.020223152022315203,0.001394700139470014,0.9783821478382148
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,19,1,512,1562,1,0.6722151088348272,0.32778489116517284,1542,0.012163892445582587,0.0006402048655569782,0.9871959026888605
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,106,20,1347,1463,1,0.07928913192071087,0.9207108680792891,1337,0.07245386192754613,0.01367053998632946,0.9138755980861244
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,237,143,4100,4697,1,0.12710240579093038,0.8728975942090696,4317,0.050457738982329144,0.03044496487119438,0.9190972961464765
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,119,19,2443,3265,1,0.2517611026033691,0.748238897396631,3127,0.03644716692189893,0.005819295558958652,0.9577335375191425
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,139,20,2586,2660,1,0.027819548872180452,0.9721804511278196,2501,0.05225563909774436,0.007518796992481203,0.9402255639097744
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,99,8,1080,1089,1,0.008264462809917356,0.9917355371900827,982,0.09090909090909091,0.0073461891643709825,0.9017447199265382
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,98,20,1549,1595,1,0.02884012539184953,0.9711598746081505,1477,0.061442006269592474,0.012539184952978056,0.9260188087774295
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,79,12,985,3555,1,0.7229254571026723,0.2770745428973277,3464,0.022222222222222223,0.0033755274261603376,0.9744022503516174
811,Baltimore City,929,Baltimore City Precinct 20-009,527,23,3,402,929,1,0.5672766415500539,0.4327233584499462,903,0.024757804090419805,0.0032292787944025836,0.9720129171151776
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,88,19,1021,1049,1,0.02669208770257388,0.9733079122974261,942,0.08388941849380362,0.01811248808388942,0.897998093422307
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,101,10,794,3568,1,0.7774663677130045,0.22253363228699552,3457,0.028307174887892375,0.002802690582959641,0.968890134529148
814,Baltimore City,756,Baltimore City Precinct 20-010,333,23,6,423,756,1,0.44047619047619047,0.5595238095238095,727,0.03042328042328042,0.007936507936507936,0.9616402116402116
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,117,60,2268,2322,1,0.023255813953488372,0.9767441860465116,2145,0.050387596899224806,0.025839793281653745,0.9237726098191215
