,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,96,231,948,1090,1,0.13027522935779817,0.8697247706422019,763,0.08807339449541285,0.21192660550458717,0.7
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,149,247,1107,1429,1,0.22533240027991602,0.7746675997200839,1033,0.10426871938418475,0.1728481455563331,0.7228831350594822
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,165,210,995,1467,1,0.321745057941377,0.678254942058623,1092,0.11247443762781185,0.14314928425357873,0.7443762781186094
559,Baltimore City,985,Baltimore City Precinct 26-030,419,148,159,566,985,1,0.42538071065989846,0.5746192893401015,678,0.150253807106599,0.16142131979695432,0.6883248730964467
574,Baltimore City,502,Baltimore City Precinct 26-001,417,28,20,85,502,1,0.8306772908366534,0.1693227091633466,454,0.055776892430278883,0.0398406374501992,0.9043824701195219
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,125,171,1418,2426,1,0.4154987633965375,0.5845012366034625,2130,0.05152514427040396,0.07048639736191262,0.8779884583676835
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,151,82,691,2095,1,0.6701670644391408,0.3298329355608592,1862,0.0720763723150358,0.03914081145584725,0.8887828162291169
581,Baltimore City,782,Baltimore City Precinct 26-005,514,89,42,268,782,1,0.6572890025575447,0.34271099744245526,651,0.11381074168797954,0.05370843989769821,0.8324808184143222
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,126,61,525,1623,1,0.6765249537892791,0.3234750462107209,1436,0.07763401109057301,0.03758471965495995,0.884781269254467
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,120,70,635,1434,1,0.5571827057182706,0.44281729428172945,1244,0.08368200836820083,0.04881450488145049,0.8675034867503487
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,69,47,512,1562,1,0.6722151088348272,0.32778489116517284,1446,0.0441741357234315,0.030089628681177975,0.9257362355953905
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,129,310,1347,1463,1,0.07928913192071087,0.9207108680792891,1024,0.08817498291182502,0.21189336978810663,0.6999316473000684
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,331,725,4100,4697,1,0.12710240579093038,0.8728975942090696,3641,0.07047051309346392,0.15435384287843304,0.775175644028103
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,174,311,2443,3265,1,0.2517611026033691,0.748238897396631,2780,0.05329249617151608,0.09525267993874426,0.8514548238897397
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,144,411,2586,2660,1,0.027819548872180452,0.9721804511278196,2105,0.05413533834586466,0.1545112781954887,0.7913533834586466
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,105,231,1080,1089,1,0.008264462809917356,0.9917355371900827,753,0.09641873278236915,0.21212121212121213,0.6914600550964187
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,105,283,1549,1595,1,0.02884012539184953,0.9711598746081505,1207,0.06583072100313479,0.1774294670846395,0.7567398119122257
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,213,155,985,3555,1,0.7229254571026723,0.2770745428973277,3187,0.059915611814345994,0.04360056258790436,0.8964838255977496
811,Baltimore City,929,Baltimore City Precinct 20-009,527,56,71,402,929,1,0.5672766415500539,0.4327233584499462,802,0.060279870828848225,0.07642626480086114,0.8632938643702907
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,87,214,1021,1049,1,0.02669208770257388,0.9733079122974261,748,0.08293612964728313,0.20400381315538607,0.7130600571973308
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,224,135,794,3568,1,0.7774663677130045,0.22253363228699552,3209,0.06278026905829596,0.037836322869955155,0.8993834080717489
814,Baltimore City,756,Baltimore City Precinct 20-010,333,20,44,423,756,1,0.44047619047619047,0.5595238095238095,692,0.026455026455026454,0.0582010582010582,0.9153439153439153
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,100,247,2268,2322,1,0.023255813953488372,0.9767441860465116,1975,0.04306632213608958,0.10637381567614125,0.8505598621877691
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,105,144,1455,2303,1,0.36821537125488496,0.6317846287451151,2054,0.04559270516717325,0.06252713851498046,0.8918801563178463
817,Baltimore City,950,Baltimore City Precinct 20-002,70,37,101,880,950,1,0.07368421052631578,0.9263157894736842,812,0.03894736842105263,0.10631578947368421,0.8547368421052631
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,133,330,1746,1760,1,0.007954545454545454,0.9920454545454546,1297,0.07556818181818181,0.1875,0.7369318181818182
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,166,358,1940,1950,1,0.005128205128205128,0.9948717948717949,1426,0.08512820512820513,0.1835897435897436,0.7312820512820513
820,Baltimore City,240,Baltimore City Precinct 20-004,4,18,70,236,240,1,0.016666666666666666,0.9833333333333333,152,0.075,0.2916666666666667,0.6333333333333333
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,83,190,1471,1495,1,0.016053511705685617,0.9839464882943144,1222,0.05551839464882943,0.12709030100334448,0.8173913043478261
822,Baltimore City,901,Baltimore City Precinct 26-031,516,93,104,385,901,1,0.5726970033296337,0.42730299667036625,704,0.10321864594894561,0.11542730299667037,0.781354051054384
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,315,441,1527,2719,1,0.4383964692901802,0.5616035307098198,1963,0.11585141596175064,0.1621919823464509,0.7219566016917984
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,378,342,982,2670,1,0.6322097378277154,0.36779026217228467,1950,0.14157303370786517,0.12808988764044943,0.7303370786516854
828,Baltimore City,842,Baltimore City Precinct 27-010,645,125,91,197,842,1,0.7660332541567696,0.2339667458432304,626,0.14845605700712589,0.10807600950118765,0.7434679334916865
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,104,175,908,1038,1,0.1252408477842004,0.8747591522157996,759,0.1001926782273603,0.16859344894026976,0.7312138728323699
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,307,328,730,1718,1,0.5750873108265425,0.42491268917345754,1083,0.17869615832363214,0.1909196740395809,0.630384167636787
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,161,262,1534,1916,1,0.19937369519832984,0.8006263048016702,1493,0.08402922755741127,0.13674321503131523,0.7792275574112735
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,67,56,467,1139,1,0.5899912203687445,0.4100087796312555,1016,0.058823529411764705,0.04916593503072871,0.8920105355575065
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,108,104,994,2273,1,0.5626924769027717,0.4373075230972283,2061,0.0475142982842059,0.04575450945886494,0.9067311922569292
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,61,112,1015,1483,1,0.3155765340525961,0.6844234659474039,1310,0.041132838840188805,0.07552258934592043,0.8833445718138908
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,53,63,512,1262,1,0.5942947702060222,0.40570522979397783,1146,0.041996830427892234,0.04992076069730586,0.9080824088748018
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,94,92,927,1628,1,0.4305896805896806,0.5694103194103194,1442,0.05773955773955774,0.056511056511056514,0.8857493857493858
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,123,118,799,2415,1,0.6691511387163561,0.3308488612836439,2174,0.05093167701863354,0.04886128364389234,0.9002070393374741
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,508,223,225,2673,1,0.9158249158249159,0.08417508417508418,1942,0.19004863449307893,0.08342686120463898,0.7265245043022821
889,Baltimore City,878,Baltimore City Precinct 24-002,775,184,67,103,878,1,0.8826879271070615,0.11731207289293849,627,0.20956719817767655,0.07630979498861047,0.714123006833713
890,Baltimore City,722,Baltimore City Precinct 24-001,632,169,77,90,722,1,0.8753462603878116,0.12465373961218837,476,0.23407202216066483,0.10664819944598337,0.6592797783933518
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,383,152,197,1728,1,0.8859953703703703,0.11400462962962964,1193,0.22164351851851852,0.08796296296296297,0.6903935185185185
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,263,159,573,1994,1,0.7126379137412236,0.28736208625877635,1572,0.13189568706118354,0.07973921765295888,0.7883650952858575
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,707,299,231,3017,1,0.9234338747099768,0.0765661252900232,2011,0.23433874709976799,0.09910507126284389,0.6665561816373882
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,424,251,468,2635,1,0.8223908918406072,0.1776091081593928,1960,0.16091081593927894,0.0952561669829222,0.7438330170777988
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,288,170,672,2074,1,0.6759884281581485,0.3240115718418515,1616,0.13886210221793635,0.08196721311475409,0.7791706846673095
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,350,210,411,2117,1,0.8058573452999528,0.19414265470004724,1557,0.16532829475673122,0.09919697685403873,0.73547472838923
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,225,147,237,1947,1,0.8782742681047766,0.12172573189522343,1575,0.11556240369799692,0.07550077041602465,0.8089368258859785
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,72,201,2415,2617,1,0.07718761941153993,0.92281238058846,2344,0.027512418800152847,0.07680550248376003,0.8956820787160871
899,Baltimore City,658,Baltimore City Precinct 10-004,17,61,129,641,658,1,0.025835866261398176,0.9741641337386018,468,0.09270516717325228,0.196048632218845,0.7112462006079028
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,16,40,4876,5665,1,0.13927625772285968,0.8607237422771403,5609,0.002824360105913504,0.00706090026478376,0.9901147396293027
901,Baltimore City,836,Baltimore City Precinct 03-002,231,53,99,605,836,1,0.27631578947368424,0.7236842105263158,684,0.06339712918660287,0.11842105263157894,0.8181818181818182
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,135,308,2641,2765,1,0.04484629294755877,0.9551537070524412,2322,0.048824593128390596,0.11139240506329114,0.8397830018083182
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,269,196,2108,3497,1,0.3971975979410924,0.6028024020589077,3032,0.07692307692307693,0.0560480411781527,0.8670288818987704
915,Baltimore City,923,Baltimore City Precinct 26-012,85,39,81,838,923,1,0.09209100758396534,0.9079089924160346,803,0.04225352112676056,0.08775731310942579,0.8699891657638137
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,259,577,3227,3245,1,0.005546995377503852,0.9944530046224962,2409,0.0798151001540832,0.1778120184899846,0.7423728813559322
917,Baltimore City,577,Baltimore City Precinct 08-011,13,50,95,564,577,1,0.022530329289428077,0.9774696707105719,432,0.08665511265164645,0.16464471403812825,0.7487001733102253
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,127,317,1928,1998,1,0.035035035035035036,0.964964964964965,1554,0.06356356356356356,0.15865865865865866,0.7777777777777778
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,151,329,1532,1675,1,0.0853731343283582,0.9146268656716418,1195,0.09014925373134329,0.1964179104477612,0.7134328358208956
920,Baltimore City,783,Baltimore City Precinct 26-020,50,70,140,733,783,1,0.06385696040868455,0.9361430395913155,573,0.08939974457215837,0.17879948914431673,0.7318007662835249
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,92,68,924,1709,1,0.4593329432416618,0.5406670567583383,1549,0.053832650672908135,0.03978935049736688,0.906377998829725
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,102,48,281,1355,1,0.792619926199262,0.207380073800738,1205,0.07527675276752767,0.035424354243542434,0.8892988929889298
923,Baltimore City,339,Baltimore City Precinct 26-017,33,46,102,306,339,1,0.09734513274336283,0.9026548672566371,191,0.13569321533923304,0.3008849557522124,0.5634218289085545
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,116,262,2672,2928,1,0.08743169398907104,0.912568306010929,2550,0.03961748633879782,0.08948087431693989,0.8709016393442623
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,127,244,1175,1249,1,0.059247397918334666,0.9407526020816653,878,0.10168134507606084,0.1953562850280224,0.7029623698959168
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,189,388,2441,2683,1,0.09019754006708908,0.9098024599329109,2106,0.07044353335818114,0.14461423779351473,0.7849422288483041
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,112,233,2153,2299,1,0.06350587211831231,0.9364941278816877,1954,0.04871683340582862,0.10134841235319704,0.8499347542409743
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,162,292,1330,1812,1,0.26600441501103755,0.7339955849889624,1358,0.08940397350993377,0.16114790286975716,0.7494481236203091
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,380,386,1312,2585,1,0.49245647969052225,0.5075435203094778,1819,0.1470019342359768,0.1493230174081238,0.7036750483558994
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,332,602,2396,3355,1,0.28584202682563337,0.7141579731743666,2421,0.09895678092399404,0.17943368107302535,0.7216095380029807
987,Baltimore City,780,Baltimore City Precinct 27-019,33,81,153,747,780,1,0.04230769230769231,0.9576923076923077,546,0.10384615384615385,0.19615384615384615,0.7
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,263,409,1889,2289,1,0.17474879860200962,0.8252512013979904,1617,0.11489733508082133,0.17868064657055482,0.7064220183486238
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,414,448,1194,2647,1,0.5489233094068757,0.4510766905931243,1785,0.15640347563279183,0.16924820551567812,0.67434831885153
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,283,399,2494,3409,1,0.26840715752420063,0.7315928424757994,2727,0.0830155470812555,0.11704312114989733,0.7999413317688472
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,259,235,649,1492,1,0.5650134048257373,0.43498659517426275,998,0.17359249329758714,0.15750670241286863,0.6689008042895442
995,Baltimore City,762,Baltimore City Precinct 27-012,550,100,69,212,762,1,0.7217847769028871,0.2782152230971129,593,0.13123359580052493,0.09055118110236221,0.7782152230971129
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,190,80,204,751,1,0.7283621837549934,0.27163781624500666,481,0.2529960053262317,0.10652463382157124,0.640479360852197
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,267,223,734,1727,1,0.57498552403011,0.42501447596989,1237,0.15460335842501446,0.12912565141864504,0.7162709901563404
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,538,193,408,1669,1,0.7555422408627921,0.2444577591372079,938,0.32234871180347513,0.11563810665068903,0.5620131815458358
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,484,161,121,1155,1,0.8952380952380953,0.10476190476190476,510,0.41904761904761906,0.1393939393939394,0.44155844155844154
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,472,173,198,1487,1,0.8668459986550101,0.13315400134498992,842,0.31741761936785473,0.11634162743779422,0.5662407531943511
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,309,97,97,742,1,0.8692722371967655,0.1307277628032345,336,0.4164420485175202,0.1307277628032345,0.4528301886792453
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,515,237,483,1929,1,0.749611197511664,0.25038880248833595,1177,0.2669777086573354,0.12286158631415241,0.6101607050285122
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,150,246,1084,1338,1,0.1898355754857997,0.8101644245142003,942,0.11210762331838565,0.18385650224215247,0.7040358744394619
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,167,294,1156,1402,1,0.1754636233951498,0.8245363766048502,941,0.11911554921540657,0.20970042796005706,0.6711840228245364
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,89,178,1033,1166,1,0.11406518010291596,0.885934819897084,899,0.07632933104631218,0.15265866209262435,0.7710120068610634
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,103,159,926,1002,1,0.07584830339321358,0.9241516966067864,740,0.1027944111776447,0.15868263473053892,0.7385229540918163
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,330,466,1474,1958,1,0.24719101123595505,0.7528089887640449,1162,0.16853932584269662,0.2379979570990807,0.5934627170582226
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,251,327,1350,1717,1,0.21374490390215492,0.786255096097845,1139,0.14618520675596972,0.1904484566103669,0.6633663366336634
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,49,128,741,782,1,0.052429667519181586,0.9475703324808185,605,0.06265984654731457,0.1636828644501279,0.7736572890025576
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,82,169,938,970,1,0.032989690721649485,0.9670103092783505,719,0.08453608247422681,0.17422680412371133,0.7412371134020619
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,202,429,3163,3261,1,0.03005213124808341,0.9699478687519166,2630,0.0619441888991107,0.13155473781048757,0.8065010732904018
1045,Baltimore City,1481,Baltimore City Precinct 27-026,265,142,158,1216,1481,1,0.17893315327481432,0.8210668467251857,1181,0.09588116137744768,0.10668467251856853,0.7974341661039838
1046,Baltimore City,1722,Baltimore City Precinct 27-027,33,158,339,1689,1722,1,0.01916376306620209,0.980836236933798,1225,0.09175377468060394,0.19686411149825783,0.7113821138211383
1047,Baltimore City,1372,Baltimore City Precinct 27-028,32,129,231,1340,1372,1,0.023323615160349854,0.9766763848396501,1012,0.09402332361516035,0.1683673469387755,0.7376093294460642
1048,Baltimore City,858,Baltimore City Precinct 27-029,10,72,201,848,858,1,0.011655011655011656,0.9883449883449883,585,0.08391608391608392,0.23426573426573427,0.6818181818181818
