,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,411,15,23,1090,1.0,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,664,0.37706422018348623,0.013761467889908258,0.6091743119266055
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,525,47,43,1429,1.0,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,857,0.36738978306508047,0.032890132960111965,0.5997200839748076
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,473,32,57,1467,1.0,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,962,0.3224267211997273,0.021813224267211998,0.6557600545330606
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,418,38,26,985,1.0,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,529,0.4243654822335025,0.03857868020304569,0.5370558375634518
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,70,43,17,502,1.0,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,389,0.1394422310756972,0.08565737051792828,0.7749003984063745
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,377,73,90,2426,1.0,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,1976,0.15539983511953834,0.030090684253915912,0.8145094806265457
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,318,171,120,2095,1.0,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1606,0.15178997613365156,0.08162291169451073,0.7665871121718377
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,156,55,64,782,1.0,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,571,0.19948849104859334,0.07033248081841433,0.7301790281329923
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,228,81,98,1623,1.0,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1314,0.14048059149722736,0.04990757855822551,0.8096118299445472
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,374,140,44,1434,1.0,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,920,0.2608089260808926,0.09762900976290098,0.6415620641562064
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,167,87,37,1562,1.0,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1308,0.10691421254801536,0.05569782330345711,0.8373879641485276
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,572,21,44,1463,1.0,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,870,0.39097744360902253,0.014354066985645933,0.5946684894053315
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,1336,55,89,4697,1.0,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3306,0.284436874600809,0.0117096018735363,0.7038535235256547
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,667,80,162,3265,1.0,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2518,0.20428790199081165,0.02450229709035222,0.7712098009188362
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,563,17,37,2660,1.0,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2080,0.21165413533834587,0.006390977443609023,0.7819548872180451
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,382,6,9,1089,1.0,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,701,0.3507805325987144,0.005509641873278237,0.6437098255280074
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,433,7,38,1595,1.0,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1155,0.27147335423197494,0.00438871473354232,0.7241379310344828
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,628,270,135,3555,1.0,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2657,0.17665260196905766,0.0759493670886076,0.7473980309423347
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,163,31,27,929,1.0,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,735,0.17545748116254037,0.03336921420882669,0.7911733046286329
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,357,5,12,1049,1.0,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,687,0.340324118207817,0.004766444232602479,0.6549094375595805
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,472,145,465,283,177,3568,1.0,0.7774663677130045,0.13228699551569506,0.0406390134529148,0.04960762331838565,2820,0.13032511210762332,0.07931614349775785,0.7903587443946188
814,Baltimore City,756,Baltimore City Precinct 20-010,333,353,45,73,14,25,756,1.0,0.44047619047619047,0.4669312169312169,0.05952380952380952,0.03306878306878307,669,0.09656084656084656,0.018518518518518517,0.8849206349206349
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,2229,6,391,8,33,2322,1.0,0.023255813953488372,0.9599483204134367,0.002583979328165375,0.014211886304909561,1923,0.16838931955211026,0.0034453057708871662,0.8281653746770026
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,1287,65,300,43,103,2303,1.0,0.36821537125488496,0.5588363004776379,0.02822405557967868,0.04472427268779852,1960,0.13026487190620928,0.018671298306556665,0.851063829787234
817,Baltimore City,950,Baltimore City Precinct 20-002,70,853,7,180,4,20,950,1.0,0.07368421052631578,0.8978947368421053,0.007368421052631579,0.021052631578947368,766,0.18947368421052632,0.004210526315789474,0.8063157894736842
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,1711,4,526,13,31,1760,1.0,0.007954545454545454,0.9721590909090909,0.0022727272727272726,0.017613636363636363,1221,0.2988636363636364,0.007386363636363636,0.69375
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,1891,15,659,19,34,1950,1.0,0.005128205128205128,0.9697435897435898,0.007692307692307693,0.017435897435897435,1272,0.33794871794871795,0.009743589743589744,0.6523076923076923
820,Baltimore City,240,Baltimore City Precinct 20-004,4,226,3,94,4,7,240,1.0,0.016666666666666666,0.9416666666666667,0.0125,0.029166666666666667,142,0.39166666666666666,0.016666666666666666,0.5916666666666667
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,1426,21,326,2,24,1495,1.0,0.016053511705685617,0.9538461538461539,0.014046822742474917,0.016053511705685617,1167,0.2180602006688963,0.0013377926421404682,0.7806020066889632
822,Baltimore City,901,Baltimore City Precinct 26-031,516,339,13,270,73,33,901,1.0,0.5726970033296337,0.3762486126526082,0.014428412874583796,0.03662597114317425,558,0.29966703662597116,0.08102108768035517,0.6193118756936737
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,1388,38,1037,148,101,2719,1.0,0.4383964692901802,0.5104817947774917,0.013975726369988967,0.03714600956233909,1534,0.381390216991541,0.05443177638837808,0.5641780066200809
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,820,103,999,321,59,2670,1.0,0.6322097378277154,0.30711610486891383,0.03857677902621723,0.022097378277153558,1350,0.3741573033707865,0.12022471910112359,0.5056179775280899
828,Baltimore City,842,Baltimore City Precinct 27-010,645,155,22,285,123,20,842,1.0,0.7660332541567696,0.1840855106888361,0.026128266033254157,0.023752969121140142,434,0.33847980997624705,0.14608076009501186,0.5154394299287411
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,754,59,396,6,95,1038,1.0,0.1252408477842004,0.7263969171483622,0.05684007707129094,0.09152215799614644,636,0.3815028901734104,0.005780346820809248,0.6127167630057804
