,COUNTY,VAP,NAME,WVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,411,15,948,1090,1.0,0.13027522935779817,0.8697247706422019,664,0.37706422018348623,0.013761467889908258,0.6091743119266055
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,525,47,1107,1429,1.0,0.22533240027991602,0.7746675997200839,857,0.36738978306508047,0.032890132960111965,0.5997200839748076
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,473,32,995,1467,1.0,0.321745057941377,0.678254942058623,962,0.3224267211997273,0.021813224267211998,0.6557600545330606
559,Baltimore City,985,Baltimore City Precinct 26-030,419,418,38,566,985,1.0,0.42538071065989846,0.5746192893401015,529,0.4243654822335025,0.03857868020304569,0.5370558375634518
574,Baltimore City,502,Baltimore City Precinct 26-001,417,70,43,85,502,1.0,0.8306772908366534,0.1693227091633466,389,0.1394422310756972,0.08565737051792828,0.7749003984063745
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,377,73,1418,2426,1.0,0.4154987633965375,0.5845012366034625,1976,0.15539983511953834,0.030090684253915912,0.8145094806265457
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,318,171,691,2095,1.0,0.6701670644391408,0.3298329355608592,1606,0.15178997613365156,0.08162291169451073,0.7665871121718377
581,Baltimore City,782,Baltimore City Precinct 26-005,514,156,55,268,782,1.0,0.6572890025575447,0.34271099744245526,571,0.19948849104859334,0.07033248081841433,0.7301790281329923
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,228,81,525,1623,1.0,0.6765249537892791,0.3234750462107209,1314,0.14048059149722736,0.04990757855822551,0.8096118299445472
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,374,140,635,1434,1.0,0.5571827057182706,0.44281729428172945,920,0.2608089260808926,0.09762900976290098,0.6415620641562064
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,167,87,512,1562,1.0,0.6722151088348272,0.32778489116517284,1308,0.10691421254801536,0.05569782330345711,0.8373879641485276
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,572,21,1347,1463,1.0,0.07928913192071087,0.9207108680792891,870,0.39097744360902253,0.014354066985645933,0.5946684894053315
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,1336,55,4100,4697,1.0,0.12710240579093038,0.8728975942090696,3306,0.284436874600809,0.0117096018735363,0.7038535235256547
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,667,80,2443,3265,1.0,0.2517611026033691,0.748238897396631,2518,0.20428790199081165,0.02450229709035222,0.7712098009188362
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,563,17,2586,2660,1.0,0.027819548872180452,0.9721804511278196,2080,0.21165413533834587,0.006390977443609023,0.7819548872180451
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,382,6,1080,1089,1.0,0.008264462809917356,0.9917355371900827,701,0.3507805325987144,0.005509641873278237,0.6437098255280074
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,433,7,1549,1595,1.0,0.02884012539184953,0.9711598746081505,1155,0.27147335423197494,0.00438871473354232,0.7241379310344828
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,628,270,985,3555,1.0,0.7229254571026723,0.2770745428973277,2657,0.17665260196905766,0.0759493670886076,0.7473980309423347
811,Baltimore City,929,Baltimore City Precinct 20-009,527,163,31,402,929,1.0,0.5672766415500539,0.4327233584499462,735,0.17545748116254037,0.03336921420882669,0.7911733046286329
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,357,5,1021,1049,1.0,0.02669208770257388,0.9733079122974261,687,0.340324118207817,0.004766444232602479,0.6549094375595805
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,465,283,794,3568,1.0,0.7774663677130045,0.22253363228699552,2820,0.13032511210762332,0.07931614349775785,0.7903587443946188
814,Baltimore City,756,Baltimore City Precinct 20-010,333,73,14,423,756,1.0,0.44047619047619047,0.5595238095238095,669,0.09656084656084656,0.018518518518518517,0.8849206349206349
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,391,8,2268,2322,1.0,0.023255813953488372,0.9767441860465116,1923,0.16838931955211026,0.0034453057708871662,0.8281653746770026
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,300,43,1455,2303,1.0,0.36821537125488496,0.6317846287451151,1960,0.13026487190620928,0.018671298306556665,0.851063829787234
817,Baltimore City,950,Baltimore City Precinct 20-002,70,180,4,880,950,1.0,0.07368421052631578,0.9263157894736842,766,0.18947368421052632,0.004210526315789474,0.8063157894736842
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,526,13,1746,1760,1.0,0.007954545454545454,0.9920454545454546,1221,0.2988636363636364,0.007386363636363636,0.69375
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,659,19,1940,1950,1.0,0.005128205128205128,0.9948717948717949,1272,0.33794871794871795,0.009743589743589744,0.6523076923076923
820,Baltimore City,240,Baltimore City Precinct 20-004,4,94,4,236,240,1.0,0.016666666666666666,0.9833333333333333,142,0.39166666666666666,0.016666666666666666,0.5916666666666667
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,326,2,1471,1495,1.0,0.016053511705685617,0.9839464882943144,1167,0.2180602006688963,0.0013377926421404682,0.7806020066889632
822,Baltimore City,901,Baltimore City Precinct 26-031,516,270,73,385,901,1.0,0.5726970033296337,0.42730299667036625,558,0.29966703662597116,0.08102108768035517,0.6193118756936737
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,1037,148,1527,2719,1.0,0.4383964692901802,0.5616035307098198,1534,0.381390216991541,0.05443177638837808,0.5641780066200809
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,999,321,982,2670,1.0,0.6322097378277154,0.36779026217228467,1350,0.3741573033707865,0.12022471910112359,0.5056179775280899
828,Baltimore City,842,Baltimore City Precinct 27-010,645,285,123,197,842,1.0,0.7660332541567696,0.2339667458432304,434,0.33847980997624705,0.14608076009501186,0.5154394299287411
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,396,6,908,1038,1.0,0.1252408477842004,0.8747591522157996,636,0.3815028901734104,0.005780346820809248,0.6127167630057804
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,841,41,730,1718,1.0,0.5750873108265425,0.42491268917345754,836,0.48952270081490107,0.023864959254947613,0.48661233993015135
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,575,16,1534,1916,1.0,0.19937369519832984,0.8006263048016702,1325,0.3001043841336117,0.008350730688935281,0.691544885177453
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,163,71,467,1139,1.0,0.5899912203687445,0.4100087796312555,905,0.1431079894644425,0.06233538191395961,0.7945566286215979
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,294,114,994,2273,1.0,0.5626924769027717,0.4373075230972283,1865,0.1293444786625605,0.05015398152221733,0.8205015398152222
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,275,33,1015,1483,1.0,0.3155765340525961,0.6844234659474039,1175,0.18543492919757248,0.022252191503708697,0.7923128792987189
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,159,55,512,1262,1.0,0.5942947702060222,0.40570522979397783,1048,0.1259904912836767,0.043581616481774964,0.8304278922345484
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,253,47,927,1628,1.0,0.4305896805896806,0.5694103194103194,1328,0.1554054054054054,0.02886977886977887,0.8157248157248157
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,315,122,799,2415,1.0,0.6691511387163561,0.3308488612836439,1978,0.13043478260869565,0.0505175983436853,0.819047619047619
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,1138,321,225,2673,1.0,0.9158249158249159,0.08417508417508418,1214,0.42573887018331463,0.12008978675645342,0.45417134306023194
889,Baltimore City,878,Baltimore City Precinct 24-002,775,398,121,103,878,1.0,0.8826879271070615,0.11731207289293849,359,0.4533029612756264,0.1378132118451025,0.40888382687927105
