,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,145,33,92,619,2889,1,0.7857390100380754,0.21426098996192455,2619,0.05019037729318103,0.01142263759086189,0.031844929041190725,0.9065420560747663
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,176,41,104,1255,4130,1,0.6961259079903148,0.30387409200968524,3809,0.04261501210653753,0.009927360774818402,0.025181598062953996,0.9222760290556901
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,47,15,36,374,1265,1,0.7043478260869566,0.2956521739130435,1167,0.03715415019762846,0.011857707509881422,0.028458498023715414,0.9225296442687747
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,129,56,117,713,3157,1,0.774152676591701,0.22584732340829902,2855,0.0408615774469433,0.017738359201773836,0.03706050047513462,0.9043395628761483
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,294,120,196,2701,5523,1,0.5109541915625566,0.48904580843744344,4913,0.053231939163498096,0.021727322107550243,0.035487959442332066,0.8895527792866196
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,99,17,65,100,1411,1,0.9291282778171509,0.07087172218284904,1230,0.07016300496102056,0.012048192771084338,0.04606661941885188,0.8717221828490432
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,134,43,116,1928,6204,1,0.6892327530625403,0.3107672469374597,5911,0.021598968407479047,0.006931012250161186,0.018697614442295292,0.9527724049000644
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,217,49,122,637,3736,1,0.8294967880085653,0.1705032119914347,3348,0.05808351177730193,0.013115631691648822,0.032655246252676656,0.8961456102783726
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,284,47,144,369,2316,1,0.8406735751295337,0.15932642487046633,1841,0.1226252158894646,0.020293609671848015,0.06217616580310881,0.7949050086355786
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,175,22,94,353,2818,1,0.8747338537970192,0.12526614620298085,2527,0.06210078069552875,0.007806955287437899,0.0333569907735983,0.896735273243435
