,COUNTY,VAP,NAME,WVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,632,468,619,2889,1,0.7857390100380754,0.21426098996192455,1789,0.21876081689165802,0.16199376947040497,0.619245413637937
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,770,529,1255,4130,1,0.6961259079903148,0.30387409200968524,2831,0.1864406779661017,0.12808716707021792,0.6854721549636804
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,209,197,374,1265,1,0.7043478260869566,0.2956521739130435,859,0.16521739130434782,0.15573122529644268,0.6790513833992095
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,669,403,713,3157,1,0.774152676591701,0.22584732340829902,2085,0.21191004117833387,0.12765283496990815,0.660437123851758
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1411,855,2701,5523,1,0.5109541915625566,0.48904580843744344,3257,0.2554770957812783,0.1548071700162955,0.5897157342024262
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,320,353,100,1411,1,0.9291282778171509,0.07087172218284904,738,0.22678951098511693,0.25017717930545713,0.523033309709426
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,747,409,1928,6204,1,0.6892327530625403,0.3107672469374597,5048,0.12040618955512572,0.06592520954223081,0.8136686009026435
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,825,796,637,3736,1,0.8294967880085653,0.1705032119914347,2115,0.22082441113490364,0.21306209850107066,0.5661134903640257
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,1082,1036,369,2316,1,0.8406735751295337,0.15932642487046633,198,0.46718480138169255,0.4473229706390328,0.08549222797927461
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,656,654,353,2818,1,0.8747338537970192,0.12526614620298085,1508,0.23278921220723917,0.2320794889992903,0.5351312987934705
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,500,533,145,2037,1,0.9288168875797742,0.07118311242022582,1004,0.24545900834560627,0.2616593028964163,0.49288168875797744
