,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,118,42,33,13,41,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2642,0.040844582900657664,0.014537902388369679,0.01142263759086189,0.004499826929733472,0.014191761855313257,0.914503288335064
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,175,84,34,12,60,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,3765,0.0423728813559322,0.020338983050847456,0.008232445520581114,0.0029055690072639223,0.014527845036319613,0.9116222760290557
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,40,16,13,2,13,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,1181,0.03162055335968379,0.012648221343873518,0.010276679841897233,0.0015810276679841897,0.010276679841897233,0.9335968379446641
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,94,62,23,8,46,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2924,0.029775102945834655,0.019638897687678177,0.007285397529299968,0.0025340513145391194,0.014570795058599937,0.9261957554640482
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,244,98,48,18,92,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,5023,0.044178888285352165,0.017743979721166033,0.008690928843020097,0.0032590983161325366,0.01665761361578852,0.9094694912185406
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,50,12,18,7,24,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,1300,0.03543586109142452,0.008504606661941885,0.012756909992912827,0.004961020552799433,0.01700921332388377,0.9213323883770376
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,104,56,28,8,48,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,5960,0.016763378465506126,0.009026434558349452,0.004513217279174726,0.0012894906511927789,0.007736943907156673,0.9606705351386202
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,146,51,46,15,52,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,3426,0.03907922912205567,0.013650963597430408,0.012312633832976445,0.004014989293361884,0.013918629550321198,0.9170235546038544
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,175,78,48,19,72,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,1924,0.07556131260794473,0.03367875647668394,0.02072538860103627,0.008203799654576857,0.031088082901554404,0.8307426597582038
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,107,46,30,12,44,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,2579,0.037970191625266145,0.016323633782824698,0.0106458481192335,0.0042583392476933995,0.015613910574875798,0.9151880766501065
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,75,31,26,6,33,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1866,0.036818851251840944,0.01521845851742759,0.012763868433971527,0.0029455081001472753,0.016200294550810016,0.9160530191458026
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,135,47,44,16,64,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,3164,0.03890489913544669,0.013544668587896254,0.012680115273775217,0.004610951008645533,0.018443804034582133,0.9118155619596542
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,87,40,32,5,40,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,2182,0.036462699077954734,0.016764459346186086,0.013411567476948869,0.0020955574182732607,0.016764459346186086,0.914501257334451
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,110,54,32,21,46,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,3766,0.027302060064532143,0.01340282948622487,0.007942417473318442,0.0052122114668652275,0.011417225117895259,0.934723256391164
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,96,41,25,12,43,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,2285,0.03836930455635491,0.016386890487609912,0.009992006394884092,0.004796163069544364,0.01718625099920064,0.913269384492406
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,12,9,3,0,4,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,272,0.04,0.03,0.01,0.0,0.013333333333333334,0.9066666666666666
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,71,27,18,5,23,44,1364,1,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,1220,0.05205278592375367,0.019794721407624633,0.013196480938416423,0.0036656891495601175,0.01686217008797654,0.8944281524926686
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,14,45,93,54,35,13,50,53,3090,1,0.9637540453074434,0.004530744336569579,0.014563106796116505,0.01715210355987055,2845,0.030097087378640777,0.017475728155339806,0.011326860841423949,0.004207119741100324,0.016181229773462782,0.9207119741100324
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,748,78,106,50,19,10,44,74,3678,1,0.7553017944535073,0.20337139749864055,0.021207177814029365,0.02011963023382273,3449,0.028820010875475803,0.013594344752582926,0.005165851005981512,0.0027188689505165853,0.011963023382272975,0.9377379010331702
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,44,30,103,52,31,5,31,30,2060,1,0.9495145631067962,0.021359223300970873,0.014563106796116505,0.014563106796116505,1838,0.05,0.02524271844660194,0.015048543689320388,0.0024271844660194173,0.015048543689320388,0.8922330097087379
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,440,85,120,45,21,7,40,70,3091,1,0.8075056615981883,0.1423487544483986,0.027499191200258816,0.022646392753154318,2858,0.038822387576835975,0.014558395341313491,0.006793917825946296,0.002264639275315432,0.012940795858945324,0.9246198641216434
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,93,24,83,52,22,8,43,46,2662,1,0.9387678437265214,0.03493613824192337,0.009015777610818933,0.01728024042073629,2454,0.031179564237415476,0.019534184823441023,0.008264462809917356,0.003005259203606311,0.016153268219383923,0.9218632607062359
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,204,52,77,29,19,5,30,289,2544,1,0.7857704402515723,0.08018867924528301,0.020440251572327043,0.11360062893081761,2384,0.030267295597484277,0.01139937106918239,0.007468553459119497,0.0019654088050314465,0.01179245283018868,0.9371069182389937
450,Baltimore County,86,Baltimore County Precinct 11-020,73,7,6,1,1,0,0,0,0,86,1,0.8488372093023255,0.08139534883720931,0.06976744186046512,0.0,84,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.9767441860465116
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,81,38,95,61,34,10,44,74,3508,1,0.9449828962371721,0.023090079817559863,0.010832383124287344,0.021094640820980615,3264,0.02708095781071836,0.017388825541619156,0.009692132269099202,0.0028506271379703536,0.012542759407069556,0.9304446978335233
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,226,43,146,76,41,15,64,94,4160,1,0.9127403846153846,0.05432692307692308,0.010336538461538461,0.022596153846153846,3818,0.035096153846153846,0.01826923076923077,0.00985576923076923,0.003605769230769231,0.015384615384615385,0.9177884615384615
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,226,97,120,64,34,9,53,105,4692,1,0.9087809036658141,0.04816709292412617,0.020673486786018755,0.02237851662404092,4412,0.02557544757033248,0.013640238704177323,0.007246376811594203,0.0019181585677749361,0.011295822676896846,0.9403239556692242
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,180,87,67,32,22,6,33,126,2809,1,0.8600925596297615,0.06407974368102527,0.03097187611249555,0.04485582057671769,2649,0.02385190459238163,0.011391954432182272,0.007831968672125312,0.002135991456034176,0.011747953008187968,0.9430402278390887
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,41,30,64,38,17,3,31,68,1897,1,0.926726410121244,0.02161307327358988,0.0158144438587243,0.03584607274644175,1744,0.03373748023194518,0.020031628887717447,0.008961518186610437,0.0015814443858724301,0.016341591987348445,0.9193463363205061
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,58,61,53,37,23,3,28,83,2156,1,0.9063079777365491,0.026901669758812616,0.02829313543599258,0.03849721706864564,2012,0.02458256029684601,0.017161410018552876,0.010667903525046383,0.0013914656771799629,0.012987012987012988,0.9332096474953617
566,Baltimore County,3144,Baltimore County Precinct 15-016,2489,372,123,71,38,21,5,28,160,3144,1,0.7916666666666666,0.1183206106870229,0.039122137404580155,0.05089058524173028,2981,0.022582697201017812,0.012086513994910942,0.006679389312977099,0.0015903307888040711,0.008905852417302799,0.9481552162849872
567,Baltimore County,3506,Baltimore County Precinct 15-017,1421,1699,274,165,74,29,10,75,112,3506,1,0.40530519110096974,0.48459783228750714,0.07815173987450086,0.03194523673702225,3153,0.04706217912150599,0.021106674272675412,0.00827153451226469,0.002852253280091272,0.02139189960068454,0.8993154592127781
