,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,118,42,33,13,41,619,2889,1,0.7857390100380754,0.21426098996192455,2642,0.040844582900657664,0.014537902388369679,0.01142263759086189,0.004499826929733472,0.014191761855313257,0.914503288335064
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,175,84,34,12,60,1255,4130,1,0.6961259079903148,0.30387409200968524,3765,0.0423728813559322,0.020338983050847456,0.008232445520581114,0.0029055690072639223,0.014527845036319613,0.9116222760290557
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,40,16,13,2,13,374,1265,1,0.7043478260869566,0.2956521739130435,1181,0.03162055335968379,0.012648221343873518,0.010276679841897233,0.0015810276679841897,0.010276679841897233,0.9335968379446641
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,94,62,23,8,46,713,3157,1,0.774152676591701,0.22584732340829902,2924,0.029775102945834655,0.019638897687678177,0.007285397529299968,0.0025340513145391194,0.014570795058599937,0.9261957554640482
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,244,98,48,18,92,2701,5523,1,0.5109541915625566,0.48904580843744344,5023,0.044178888285352165,0.017743979721166033,0.008690928843020097,0.0032590983161325366,0.01665761361578852,0.9094694912185406
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,50,12,18,7,24,100,1411,1,0.9291282778171509,0.07087172218284904,1300,0.03543586109142452,0.008504606661941885,0.012756909992912827,0.004961020552799433,0.01700921332388377,0.9213323883770376
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,104,56,28,8,48,1928,6204,1,0.6892327530625403,0.3107672469374597,5960,0.016763378465506126,0.009026434558349452,0.004513217279174726,0.0012894906511927789,0.007736943907156673,0.9606705351386202
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,146,51,46,15,52,637,3736,1,0.8294967880085653,0.1705032119914347,3426,0.03907922912205567,0.013650963597430408,0.012312633832976445,0.004014989293361884,0.013918629550321198,0.9170235546038544
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,175,78,48,19,72,369,2316,1,0.8406735751295337,0.15932642487046633,1924,0.07556131260794473,0.03367875647668394,0.02072538860103627,0.008203799654576857,0.031088082901554404,0.8307426597582038
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,107,46,30,12,44,353,2818,1,0.8747338537970192,0.12526614620298085,2579,0.037970191625266145,0.016323633782824698,0.0106458481192335,0.0042583392476933995,0.015613910574875798,0.9151880766501065
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,75,31,26,6,33,145,2037,1,0.9288168875797742,0.07118311242022582,1866,0.036818851251840944,0.01521845851742759,0.012763868433971527,0.0029455081001472753,0.016200294550810016,0.9160530191458026
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,135,47,44,16,64,721,3470,1,0.7922190201729107,0.20778097982708935,3164,0.03890489913544669,0.013544668587896254,0.012680115273775217,0.004610951008645533,0.018443804034582133,0.9118155619596542
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,87,40,32,5,40,506,2386,1,0.787929589270746,0.21207041072925398,2182,0.036462699077954734,0.016764459346186086,0.013411567476948869,0.0020955574182732607,0.016764459346186086,0.914501257334451
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,110,54,32,21,46,156,4029,1,0.9612807148175726,0.0387192851824274,3766,0.027302060064532143,0.01340282948622487,0.007942417473318442,0.0052122114668652275,0.011417225117895259,0.934723256391164
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,96,41,25,12,43,164,2502,1,0.9344524380495604,0.06554756195043965,2285,0.03836930455635491,0.016386890487609912,0.009992006394884092,0.004796163069544364,0.01718625099920064,0.913269384492406
439,Baltimore County,300,Baltimore County Precinct 10-005,276,12,9,3,0,4,24,300,1,0.92,0.08,272,0.04,0.03,0.01,0.0,0.013333333333333334,0.9066666666666666
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,71,27,18,5,23,80,1364,1,0.9413489736070382,0.05865102639296188,1220,0.05205278592375367,0.019794721407624633,0.013196480938416423,0.0036656891495601175,0.01686217008797654,0.8944281524926686
