,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,431,1031,276,2889,1.0,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,1427,0.14918656974731742,0.35687088958116997,0.4939425406715126
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,689,1096,471,4130,1.0,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,2345,0.1668280871670702,0.2653753026634383,0.5677966101694916
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,199,344,158,1265,1.0,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,722,0.15731225296442689,0.2719367588932806,0.5707509881422925
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,488,829,101,3157,1.0,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,1840,0.1545771301868863,0.26259106746911626,0.5828318023439975
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,1144,1737,522,5523,1.0,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,2642,0.20713380409197898,0.3145029875067898,0.4783632084012312
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,158,700,34,1411,1.0,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,553,0.11197732104890148,0.4961020552799433,0.3919206236711552
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,692,685,298,6204,1.0,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,4827,0.11154094132817537,0.11041263700838169,0.778046421663443
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,511,1597,277,3736,1.0,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,1628,0.13677730192719487,0.4274625267665953,0.43576017130620986
432,Baltimore County,2631,Baltimore County Precinct 11-007,2210,111,60,620,2008,250,2631,1.1347150259067358,0.8399847966552642,0.04218928164196123,0.02280501710376283,0.09502090459901179,3,0.23565184340554923,0.7632079057392627,0.0011402508551881414
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,352,1355,202,2818,1.0,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1111,0.12491128459900638,0.4808374733853797,0.3942512420156139
