,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,827,817,276,2889,1.0,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,1245,0.2862582208376601,0.2827968155070959,0.43094496365524404
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,1169,831,471,4130,1.0,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,2130,0.2830508474576271,0.20121065375302663,0.5157384987893463
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,331,306,158,1265,1.0,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,628,0.2616600790513834,0.24189723320158102,0.4964426877470356
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,884,817,101,3157,1.0,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,1456,0.28001267025657267,0.25878999049730755,0.4611973392461197
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,2010,1383,522,5523,1.0,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,2130,0.3639326453014666,0.25040738728951656,0.3856599674090168
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,308,625,34,1411,1.0,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,478,0.21828490432317504,0.44294826364280654,0.3387668320340184
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,1185,580,298,6204,1.0,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,4439,0.19100580270793036,0.09348807221147647,0.7155061250805932
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,963,1283,277,3736,1.0,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,1490,0.257762312633833,0.3434154175588865,0.3988222698072805
432,Baltimore County,2758,Baltimore County Precinct 11-007,2318,116,62,1229,1528,262,2758,1.1904145077720207,0.8404641044234953,0.04205946337926034,0.022480058013052938,0.09499637418419145,1,0.44561276287164614,0.5540246555474981,0.00036258158085569254
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,737,1061,202,2818,1.0,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1020,0.26153300212916963,0.3765081618168914,0.36195883605393897
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,499,932,62,2037,1.0,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,606,0.24496809032891506,0.4575355915562101,0.2974963181148748
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,1031,1274,434,3470,1.0,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,1165,0.29711815561959654,0.3671469740634006,0.3357348703170029
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,609,1009,323,2386,1.0,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,768,0.25523889354568313,0.422883487007544,0.32187761944677284
