,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,827,817,619,2889,1.0,0.7857390100380754,0.21426098996192455,1245,0.2862582208376601,0.2827968155070959,0.43094496365524404
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,1169,831,1255,4130,1.0,0.6961259079903148,0.30387409200968524,2130,0.2830508474576271,0.20121065375302663,0.5157384987893463
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,331,306,374,1265,1.0,0.7043478260869566,0.2956521739130435,628,0.2616600790513834,0.24189723320158102,0.4964426877470356
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,884,817,713,3157,1.0,0.774152676591701,0.22584732340829902,1456,0.28001267025657267,0.25878999049730755,0.4611973392461197
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,2010,1383,2701,5523,1.0,0.5109541915625566,0.48904580843744344,2130,0.3639326453014666,0.25040738728951656,0.3856599674090168
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,308,625,100,1411,1.0,0.9291282778171509,0.07087172218284904,478,0.21828490432317504,0.44294826364280654,0.3387668320340184
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1185,580,1928,6204,1.0,0.6892327530625403,0.3107672469374597,4439,0.19100580270793036,0.09348807221147647,0.7155061250805932
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,963,1283,637,3736,1.0,0.8294967880085653,0.1705032119914347,1490,0.257762312633833,0.3434154175588865,0.3988222698072805
432,Baltimore County,2758,Baltimore County Precinct 11-007,2318,1229,1528,440,2758,1.1904145077720207,0.8404641044234953,0.15953589557650472,1,0.44561276287164614,0.5540246555474981,0.00036258158085569254
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,737,1061,353,2818,1.0,0.8747338537970192,0.12526614620298085,1020,0.26153300212916963,0.3765081618168914,0.36195883605393897
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,499,932,145,2037,1.0,0.9288168875797742,0.07118311242022582,606,0.24496809032891506,0.4575355915562101,0.2974963181148748
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,1031,1274,721,3470,1.0,0.7922190201729107,0.20778097982708935,1165,0.29711815561959654,0.3671469740634006,0.3357348703170029
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,609,1009,506,2386,1.0,0.787929589270746,0.21207041072925398,768,0.25523889354568313,0.422883487007544,0.32187761944677284
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,802,2341,156,4029,1.0,0.9612807148175726,0.0387192851824274,886,0.19905683792504344,0.5810374782824522,0.21990568379250433
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,760,1252,164,2502,1.0,0.9344524380495604,0.06554756195043965,490,0.3037569944044764,0.5003996802557954,0.19584332533972823
439,Baltimore County,311,Baltimore County Precinct 10-005,286,119,191,25,311,1.0333333333333334,0.9196141479099679,0.08038585209003216,1,0.38263665594855306,0.6141479099678456,0.003215434083601286
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,466,820,80,1364,1.0,0.9413489736070382,0.05865102639296188,78,0.3416422287390029,0.6011730205278593,0.05718475073313783
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,758,1711,112,3090,1.0,0.9637540453074434,0.036245954692556634,621,0.2453074433656958,0.5537216828478965,0.20097087378640777
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,942,943,900,3678,1.0,0.7553017944535073,0.24469820554649266,1793,0.2561174551386623,0.256389342033714,0.4874932028276237
446,Baltimore County,2093,Baltimore County Precinct 15-025,1987,708,1384,106,2093,1.0155339805825243,0.9493549928332538,0.050645007166746296,1,0.33827042522694695,0.6612517916865743,0.00047778308647873863
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,779,1137,595,3091,1.0,0.8075056615981883,0.1924943384018117,1175,0.2520219993529602,0.3678421222905209,0.3801358783565189
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,554,1471,163,2662,1.0,0.9387678437265214,0.06123215627347859,637,0.20811419984973703,0.5525920360631105,0.23929376408715253
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,683,1017,545,2544,1.0,0.7857704402515723,0.21422955974842767,844,0.2684748427672956,0.39976415094339623,0.33176100628930816
450,Baltimore County,86,Baltimore County Precinct 11-020,73,10,25,13,86,1.0,0.8488372093023255,0.1511627906976744,51,0.11627906976744186,0.29069767441860467,0.5930232558139535
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,714,1728,193,3508,1.0,0.9449828962371721,0.05501710376282782,1066,0.20353477765108324,0.4925883694412771,0.30387685290763966
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,869,1750,363,4160,1.0,0.9127403846153846,0.08725961538461538,1541,0.20889423076923078,0.4206730769230769,0.3704326923076923
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,913,1623,428,4692,1.0,0.9087809036658141,0.09121909633418585,2156,0.19458653026427963,0.3459079283887468,0.4595055413469736
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,555,856,393,2809,1.0,0.8600925596297615,0.13990744037023853,1398,0.19757920968316126,0.30473478106087576,0.49768600925596296
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,383,844,139,1897,1.0,0.926726410121244,0.07327358987875593,670,0.2018977332630469,0.444913020558777,0.35318924617817604
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,485,908,202,2156,1.0,0.9063079777365491,0.09369202226345083,763,0.22495361781076068,0.42115027829313545,0.3538961038961039
566,Baltimore County,3144,Baltimore County Precinct 15-016,2489,600,798,655,3144,1.0,0.7916666666666666,0.20833333333333334,1746,0.19083969465648856,0.2538167938931298,0.5553435114503816
