,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,91,7,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2791,0.031498788508134305,0.0024229837313949464,0.9660782277604707
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,123,13,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,3994,0.029782082324455207,0.0031476997578692495,0.9670702179176756
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,33,3,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,1229,0.02608695652173913,0.0023715415019762848,0.9715415019762846
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,97,8,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,3052,0.030725372188786824,0.0025340513145391194,0.9667405764966741
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,194,19,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,5310,0.03512583740720623,0.0034401593336954553,0.9614340032590983
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,59,4,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,1348,0.041814316087880936,0.002834868887313962,0.9553508150248051
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,166,22,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,6016,0.02675693101225016,0.0035460992907801418,0.9696969696969697
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,139,16,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,3581,0.03720556745182013,0.004282655246252677,0.9585117773019272
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,103,10,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,2203,0.04447322970639033,0.004317789291882556,0.9512089810017271
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,119,8,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,2691,0.042228530872959545,0.0028388928317956,0.9549325762952449
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,100,6,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1931,0.049091801669121256,0.0029455081001472753,0.9479626902307314
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,122,10,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,3338,0.03515850144092219,0.002881844380403458,0.9619596541786744
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,71,8,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,2307,0.029756915339480303,0.003352891869237217,0.9668901927912825
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,143,7,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,3879,0.03549267808389178,0.001737403822288409,0.9627699180938198
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,93,7,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,2402,0.03717026378896882,0.002797761790567546,0.9600319744204636
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,20,2,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,278,0.06666666666666667,0.006666666666666667,0.9266666666666666
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,62,6,44,1364,1,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,1296,0.045454545454545456,0.004398826979472141,0.9501466275659824
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,14,45,117,10,53,3090,1,0.9637540453074434,0.004530744336569579,0.014563106796116505,0.01715210355987055,2963,0.037864077669902914,0.003236245954692557,0.9588996763754045
