,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,91,7,619,2889,1,0.7857390100380754,0.21426098996192455,2791,0.031498788508134305,0.0024229837313949464,0.9660782277604707
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,123,13,1255,4130,1,0.6961259079903148,0.30387409200968524,3994,0.029782082324455207,0.0031476997578692495,0.9670702179176756
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,33,3,374,1265,1,0.7043478260869566,0.2956521739130435,1229,0.02608695652173913,0.0023715415019762848,0.9715415019762846
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,97,8,713,3157,1,0.774152676591701,0.22584732340829902,3052,0.030725372188786824,0.0025340513145391194,0.9667405764966741
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,194,19,2701,5523,1,0.5109541915625566,0.48904580843744344,5310,0.03512583740720623,0.0034401593336954553,0.9614340032590983
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,59,4,100,1411,1,0.9291282778171509,0.07087172218284904,1348,0.041814316087880936,0.002834868887313962,0.9553508150248051
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,166,22,1928,6204,1,0.6892327530625403,0.3107672469374597,6016,0.02675693101225016,0.0035460992907801418,0.9696969696969697
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,139,16,637,3736,1,0.8294967880085653,0.1705032119914347,3581,0.03720556745182013,0.004282655246252677,0.9585117773019272
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,103,10,369,2316,1,0.8406735751295337,0.15932642487046633,2203,0.04447322970639033,0.004317789291882556,0.9512089810017271
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,119,8,353,2818,1,0.8747338537970192,0.12526614620298085,2691,0.042228530872959545,0.0028388928317956,0.9549325762952449
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,100,6,145,2037,1,0.9288168875797742,0.07118311242022582,1931,0.049091801669121256,0.0029455081001472753,0.9479626902307314
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,122,10,721,3470,1,0.7922190201729107,0.20778097982708935,3338,0.03515850144092219,0.002881844380403458,0.9619596541786744
