,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,267,146,619,2889,1,0.7857390100380754,0.21426098996192455,2476,0.09241952232606439,0.05053651782623745,0.8570439598476982
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,333,234,1255,4130,1,0.6961259079903148,0.30387409200968524,3563,0.08062953995157385,0.05665859564164649,0.8627118644067797
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,100,57,374,1265,1,0.7043478260869566,0.2956521739130435,1108,0.07905138339920949,0.045059288537549404,0.8758893280632412
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,247,190,713,3157,1,0.774152676591701,0.22584732340829902,2720,0.07823883433639531,0.060183718720304084,0.8615774469433006
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,526,462,2701,5523,1,0.5109541915625566,0.48904580843744344,4535,0.09523809523809523,0.08365019011406843,0.8211117146478363
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,141,61,100,1411,1,0.9291282778171509,0.07087172218284904,1209,0.09992912827781715,0.04323175053153792,0.856839121190645
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,249,246,1928,6204,1,0.6892327530625403,0.3107672469374597,5709,0.04013539651837524,0.039651837524177946,0.9202127659574468
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,362,146,637,3736,1,0.8294967880085653,0.1705032119914347,3228,0.0968950749464668,0.03907922912205567,0.8640256959314775
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,486,196,369,2316,1,0.8406735751295337,0.15932642487046633,1634,0.20984455958549222,0.0846286701208981,0.7055267702936097
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,264,114,353,2818,1,0.8747338537970192,0.12526614620298085,2440,0.0936834634492548,0.04045422285308729,0.8658623136976579
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,222,78,145,2037,1,0.9288168875797742,0.07118311242022582,1737,0.10898379970544919,0.03829160530191458,0.8527245949926362
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,315,165,721,3470,1,0.7922190201729107,0.20778097982708935,2990,0.09077809798270893,0.04755043227665706,0.861671469740634
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,194,100,506,2386,1,0.787929589270746,0.21207041072925398,2092,0.08130762782900251,0.041911148365465216,0.8767812238055323
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,364,120,156,4029,1,0.9612807148175726,0.0387192851824274,3545,0.09034499875899726,0.029784065524944156,0.8798709357160586
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,264,89,164,2502,1,0.9344524380495604,0.06554756195043965,2149,0.10551558752997602,0.03557154276578737,0.8589128697042366
439,Baltimore County,300,Baltimore County Precinct 10-005,276,62,15,24,300,1,0.92,0.08,223,0.20666666666666667,0.05,0.7433333333333333
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,191,62,80,1364,1,0.9413489736070382,0.05865102639296188,1111,0.14002932551319647,0.045454545454545456,0.8145161290322581
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,308,94,112,3090,1,0.9637540453074434,0.036245954692556634,2688,0.09967637540453074,0.030420711974110032,0.8699029126213592
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,258,200,900,3678,1,0.7553017944535073,0.24469820554649266,3220,0.0701468189233279,0.054377379010331704,0.8754758020663403
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,250,123,104,2060,1,0.9495145631067962,0.05048543689320388,1687,0.12135922330097088,0.05970873786407767,0.8189320388349515
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,248,168,595,3091,1,0.8075056615981883,0.1924943384018117,2675,0.08023293432546101,0.054351342607570366,0.8654157230669686
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,299,86,163,2662,1,0.9387678437265214,0.06123215627347859,2277,0.11232156273478587,0.032306536438767845,0.8553719008264463
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,198,119,545,2544,1,0.7857704402515723,0.21422955974842767,2227,0.07783018867924528,0.046776729559748424,0.8753930817610063
450,Baltimore County,86,Baltimore County Precinct 11-020,73,5,2,13,86,1,0.8488372093023255,0.1511627906976744,79,0.05813953488372093,0.023255813953488372,0.9186046511627907
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,375,130,193,3508,1,0.9449828962371721,0.05501710376282782,3003,0.10689851767388825,0.037058152793614595,0.8560433295324972
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,465,193,363,4160,1,0.9127403846153846,0.08725961538461538,3502,0.11177884615384616,0.04639423076923077,0.8418269230769231
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,445,163,428,4692,1,0.9087809036658141,0.09121909633418585,4084,0.09484228473998295,0.03473998294970162,0.8704177323103154
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,211,91,393,2809,1,0.8600925596297615,0.13990744037023853,2507,0.07511569953720185,0.032395870416518334,0.8924884300462799
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,212,61,139,1897,1,0.926726410121244,0.07327358987875593,1624,0.1117554032683184,0.032156035846072746,0.8560885608856088
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,231,71,202,2156,1,0.9063079777365491,0.09369202226345083,1854,0.10714285714285714,0.03293135435992579,0.859925788497217
