,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,765,544,276,2889,1.0,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,1580,0.26479750778816197,0.18830044998269296,0.5469020422291451
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,1124,563,471,4130,1.0,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,2443,0.2721549636803874,0.13631961259079903,0.5915254237288136
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,300,198,158,1265,1.0,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,767,0.23715415019762845,0.1565217391304348,0.6063241106719368
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,756,490,101,3157,1.0,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,1911,0.2394678492239468,0.15521064301552107,0.6053215077605322
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,1755,952,522,5523,1.0,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,2816,0.3177620858229223,0.17237008871989862,0.5098678254571791
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,308,440,34,1411,1.0,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,663,0.21828490432317504,0.3118355776045358,0.46987951807228917
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,1011,347,298,6204,1.0,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,4846,0.16295938104448743,0.05593165699548678,0.7811089619600258
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,914,892,277,3736,1.0,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,1930,0.24464668094218414,0.23875802997858672,0.5165952890792291
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,1107,1129,220,2316,1.0,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,80,0.47797927461139894,0.48747841105354056,0.03454231433506045
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,668,764,202,2818,1.0,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1386,0.2370475514549326,0.27111426543647976,0.4918381831085876
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,485,680,62,2037,1.0,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,872,0.23809523809523808,0.3338242513500245,0.42808051055473734
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,1023,1012,434,3470,1.0,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,1435,0.2948126801152738,0.29164265129683,0.41354466858789624
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,612,772,323,2386,1.0,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,1002,0.2564962279966471,0.3235540653813915,0.41994970662196146
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,787,1853,69,4029,1.0,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,1389,0.19533382973442542,0.459915611814346,0.3447505584512286
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,653,896,94,2502,1.0,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,953,0.2609912070343725,0.3581135091926459,0.3808952837729816
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,103,147,17,300,1.0,0.92,0.0033333333333333335,0.02,0.056666666666666664,50,0.3433333333333333,0.49,0.16666666666666666
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,359,519,44,1364,1.0,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,486,0.2631964809384164,0.38049853372434017,0.3563049853372434
