,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,488,866,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,1338,0.1812778603268945,0.32169390787518576,0.4970282317979198
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,498,742,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,1413,0.1877120241236336,0.2796833773087071,0.5326045985676593
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,568,842,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,2064,0.16350028785261947,0.24237190558434082,0.5941278065630398
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,642,812,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,1774,0.19888475836431227,0.25154894671623296,0.5495662949194547
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,488,874,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,289,0.29557843731072075,0.5293761356753482,0.17504542701393094
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,716,838,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,1326,0.24861111111111112,0.29097222222222224,0.46041666666666664
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,574,1008,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,648,0.25739910313901343,0.45201793721973094,0.2905829596412556
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,510,774,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1790,0.16590761223162004,0.2517891997397528,0.5823031880286272
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,727,908,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,1048,0.2709653373089825,0.33842713380544165,0.39060752888557587
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,637,733,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,2190,0.1789325842696629,0.2058988764044944,0.6151685393258427
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,650,844,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,1517,0.2158751245433411,0.2803055463301229,0.503819329126536
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,505,914,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,948,0.21335023236163922,0.3861427967891846,0.4005069708491762
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,529,789,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,1047,0.22367864693446088,0.333615221987315,0.4427061310782241
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,661,661,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,1041,0.2797291578501904,0.2797291578501904,0.44054168429961915
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,484,718,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1767,0.16301785112832604,0.24183226675648367,0.5951498821151903
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,569,861,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,2111,0.16068907088393108,0.24315165207568484,0.5961592770403841
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,593,977,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,1395,0.2,0.3295109612141653,0.47048903878583476
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,602,637,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,1860,0.19425621168118748,0.20555017747660537,0.6001936108422071
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,534,511,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,1353,0.2226855713094245,0.21309424520433695,0.5642201834862385
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,646,752,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,1476,0.22477383437717466,0.2616562282533055,0.5135699373695198
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,603,922,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,1010,0.2378698224852071,0.3637080867850099,0.398422090729783
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,561,860,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,2062,0.16106804478897502,0.24691358024691357,0.5920183749641114
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,583,616,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,2212,0.17091761946643214,0.18059220170038112,0.6484901788331867
