,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,711,800,379,2692,1,0.8592124814264487,0.14078751857355126,1181,0.26411589895988113,0.2971768202080238,0.4387072808320951
342,Calvert,2653,Calvert Precinct 02-006,2176,725,699,477,2653,1,0.8202035431586883,0.17979645684131174,1229,0.27327553712777986,0.2634753109687147,0.46324915190350546
343,Calvert,3474,Calvert Precinct 02-008,2865,863,848,609,3474,1,0.8246977547495682,0.17530224525043178,1763,0.2484168105929764,0.24409902130109384,0.5074841681059298
344,Calvert,3228,Calvert Precinct 03-003,2225,931,800,1003,3228,1,0.6892812887236679,0.3107187112763321,1497,0.28841387856257744,0.24783147459727387,0.4637546468401487
345,Calvert,1651,Calvert Precinct 02-007,1552,666,804,99,1651,1,0.9400363416111448,0.05996365838885524,181,0.4033918837068443,0.48697758933979407,0.1096305269533616
346,Calvert,2880,Calvert Precinct 03-005,2457,1008,796,423,2880,1,0.853125,0.146875,1076,0.35,0.2763888888888889,0.3736111111111111
347,Calvert,2230,Calvert Precinct 03-007,1946,875,942,284,2230,1,0.8726457399103139,0.1273542600896861,413,0.3923766816143498,0.4224215246636771,0.1852017937219731
348,Calvert,3074,Calvert Precinct 03-004,2642,810,765,432,3074,1,0.8594664931685101,0.1405335068314899,1499,0.2635003253090436,0.24886141834743006,0.48763825634352637
349,Calvert,2683,Calvert Precinct 03-008,2217,1186,870,466,2683,1,0.8263138278046962,0.17368617219530377,627,0.44204248975027954,0.3242638837122624,0.23369362653745807
385,Calvert,3560,Calvert Precinct 02-002,2532,875,761,1028,3560,1,0.7112359550561798,0.28876404494382024,1924,0.24578651685393257,0.21376404494382023,0.5404494382022472
386,Calvert,3011,Calvert Precinct 02-001,2414,943,843,597,3011,1,0.8017270009963468,0.19827299900365328,1225,0.3131849883759548,0.27997343075390235,0.4068415808701428
393,Calvert,2367,Calvert Precinct 03-006,2018,796,882,349,2367,1,0.8525559780312632,0.1474440219687368,689,0.336290663286861,0.3726235741444867,0.2910857625686523
902,Calvert,2365,Calvert Precinct 01-004,1979,739,779,386,2365,1,0.8367864693446089,0.16321353065539113,847,0.3124735729386892,0.3293868921775899,0.3581395348837209
903,Calvert,2363,Calvert Precinct 02-004,1630,932,709,733,2363,1,0.6898011002962336,0.3101988997037664,722,0.39441388066017774,0.3000423190859077,0.30554380025391453
904,Calvert,2969,Calvert Precinct 01-003,2481,695,706,488,2969,1,0.8356348939036713,0.16436510609632873,1568,0.23408555069046816,0.23779050185247558,0.5281239474570563
905,Calvert,3541,Calvert Precinct 01-006,2855,902,752,686,3541,1,0.806269415419373,0.19373058458062695,1887,0.25473030217452697,0.21236938717876305,0.53290031064671
906,Calvert,2965,Calvert Precinct 02-005,2571,860,902,394,2965,1,0.8671163575042159,0.13288364249578416,1203,0.2900505902192243,0.30421585160202363,0.4057335581787521
907,Calvert,3099,Calvert Precinct 03-002,2465,893,639,634,3099,1,0.7954178767344304,0.20458212326556954,1567,0.2881574701516618,0.20619554695062922,0.5056469828977089
908,Calvert,2398,Calvert Precinct 03-001,2042,763,583,356,2398,1,0.8515429524603837,0.14845704753961636,1052,0.3181818181818182,0.24311926605504589,0.43869891576313597
955,Calvert,2874,Calvert Precinct 01-001,2444,1031,771,430,2874,1,0.8503827418232429,0.14961725817675714,1072,0.35873347251217813,0.26826722338204595,0.3729993041057759
956,Calvert,2535,Calvert Precinct 01-007,2065,937,801,470,2535,1,0.814595660749507,0.1854043392504931,797,0.36962524654832346,0.31597633136094677,0.31439842209072977
957,Calvert,3483,Calvert Precinct 01-005,2710,896,824,773,3483,1,0.7780648865920183,0.22193511340798164,1763,0.2572494975595751,0.2365776629342521,0.5061728395061729
958,Calvert,3411,Calvert Precinct 01-002,2504,891,576,907,3411,1,0.7340955731457051,0.26590442685429494,1944,0.2612137203166227,0.16886543535620052,0.5699208443271768
