,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,93,77,37,379,2692,1,0.8592124814264487,0.14078751857355126,2485,0.034546805349182766,0.028603268945022287,0.0137444279346211,0.9231054977711739
342,Calvert,2653,Calvert Precinct 02-006,2176,112,54,37,477,2653,1,0.8202035431586883,0.17979645684131174,2450,0.04221635883905013,0.020354315868827744,0.01394647568790049,0.9234828496042217
343,Calvert,3474,Calvert Precinct 02-008,2865,107,82,42,609,3474,1,0.8246977547495682,0.17530224525043178,3243,0.030800230282095567,0.02360391479562464,0.012089810017271158,0.9335060449050087
344,Calvert,3228,Calvert Precinct 03-003,2225,172,74,39,1003,3228,1,0.6892812887236679,0.3107187112763321,2943,0.05328376703841388,0.02292441140024783,0.012081784386617101,0.9117100371747212
345,Calvert,1651,Calvert Precinct 02-007,1552,69,82,40,99,1651,1,0.9400363416111448,0.05996365838885524,1460,0.041792852816474865,0.04966686856450636,0.024227740763173834,0.884312537855845
346,Calvert,2880,Calvert Precinct 03-005,2457,171,80,37,423,2880,1,0.853125,0.146875,2592,0.059375,0.027777777777777776,0.012847222222222222,0.9
347,Calvert,2230,Calvert Precinct 03-007,1946,104,72,44,284,2230,1,0.8726457399103139,0.1273542600896861,2010,0.04663677130044843,0.03228699551569507,0.019730941704035873,0.9013452914798207
348,Calvert,3074,Calvert Precinct 03-004,2642,78,68,43,432,3074,1,0.8594664931685101,0.1405335068314899,2885,0.025374105400130124,0.022121014964216004,0.01398828887443071,0.9385165907612232
349,Calvert,2683,Calvert Precinct 03-008,2217,110,62,45,466,2683,1,0.8263138278046962,0.17368617219530377,2466,0.04099888184867685,0.023108460678345134,0.016772269847185987,0.9191203876257921
385,Calvert,3560,Calvert Precinct 02-002,2532,162,87,42,1028,3560,1,0.7112359550561798,0.28876404494382024,3269,0.04550561797752809,0.02443820224719101,0.011797752808988765,0.9182584269662921
386,Calvert,3011,Calvert Precinct 02-001,2414,156,81,42,597,3011,1,0.8017270009963468,0.19827299900365328,2732,0.05181002989040186,0.026901361673862503,0.013948854201262038,0.9073397542344736
393,Calvert,2367,Calvert Precinct 03-006,2018,93,68,36,349,2367,1,0.8525559780312632,0.1474440219687368,2170,0.03929024081115336,0.0287283481199831,0.015209125475285171,0.9167722855935784
902,Calvert,2365,Calvert Precinct 01-004,1979,116,85,40,386,2365,1,0.8367864693446089,0.16321353065539113,2124,0.04904862579281184,0.035940803382663845,0.016913319238900635,0.8980972515856237
903,Calvert,2363,Calvert Precinct 02-004,1630,144,75,45,733,2363,1,0.6898011002962336,0.3101988997037664,2099,0.06093948370715192,0.031739314430808296,0.019043588658484975,0.8882776132035548
904,Calvert,2969,Calvert Precinct 01-003,2481,87,65,38,488,2969,1,0.8356348939036713,0.16436510609632873,2779,0.029302795554058604,0.021892893230043786,0.012798922196025598,0.936005389019872
905,Calvert,3541,Calvert Precinct 01-006,2855,86,48,55,686,3541,1,0.806269415419373,0.19373058458062695,3352,0.024286924597571306,0.013555492798644452,0.015532335498446766,0.9466252471053375
906,Calvert,2965,Calvert Precinct 02-005,2571,83,65,57,394,2965,1,0.8671163575042159,0.13288364249578416,2760,0.027993254637436762,0.021922428330522766,0.019224283305227657,0.9308600337268128
907,Calvert,3099,Calvert Precinct 03-002,2465,108,61,50,634,3099,1,0.7954178767344304,0.20458212326556954,2880,0.03484995159728945,0.0196837689577283,0.016134236850596968,0.9293320425943853
908,Calvert,2398,Calvert Precinct 03-001,2042,87,65,31,356,2398,1,0.8515429524603837,0.14845704753961636,2215,0.03628023352793995,0.027105921601334446,0.01292743953294412,0.9236864053377815
955,Calvert,2874,Calvert Precinct 01-001,2444,146,91,51,430,2874,1,0.8503827418232429,0.14961725817675714,2586,0.05080027835768963,0.031663187195546276,0.017745302713987474,0.8997912317327766
956,Calvert,2535,Calvert Precinct 01-007,2065,106,68,45,470,2535,1,0.814595660749507,0.1854043392504931,2316,0.04181459566074951,0.026824457593688362,0.01775147928994083,0.9136094674556213
957,Calvert,3483,Calvert Precinct 01-005,2710,96,44,54,773,3483,1,0.7780648865920183,0.22193511340798164,3289,0.02756244616709733,0.012632787826586276,0.015503875968992248,0.9443008900373241
958,Calvert,3411,Calvert Precinct 01-002,2504,120,52,29,907,3411,1,0.7340955731457051,0.26590442685429494,3210,0.03518029903254178,0.01524479624743477,0.008501905599530929,0.9410729991204925
