,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,303,1092,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,1297,0.11255572065378901,0.40564635958395245,0.48179791976225855
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,373,895,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,1385,0.14059555220505088,0.3373539389370524,0.5220505088578967
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,388,1055,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,2031,0.11168681635002879,0.3036845135290731,0.5846286701208981
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,483,989,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,1756,0.1496282527881041,0.3063816604708798,0.5439900867410161
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,291,1103,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,257,0.17625681405208965,0.6680799515445185,0.1556632344033919
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,564,1019,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,1297,0.19583333333333333,0.35381944444444446,0.45034722222222223
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,385,1234,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,611,0.1726457399103139,0.5533632286995516,0.27399103139013453
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,338,974,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1762,0.1099544567338972,0.31685100845803515,0.5731945348080677
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,560,1093,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,1030,0.20872158032053673,0.4073797987327618,0.38389862094670146
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,463,960,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,2137,0.1300561797752809,0.2696629213483146,0.6002808988764045
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,465,1038,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,1508,0.154433742942544,0.34473596811690466,0.5008302889405513
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,327,1125,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,915,0.13814955640050697,0.4752851711026616,0.3865652724968314
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,373,960,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,1032,0.15771670190274842,0.4059196617336152,0.43636363636363634
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,474,852,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,1037,0.20059246720270843,0.36055861193398225,0.43884892086330934
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,332,891,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1746,0.11182216234422364,0.3001010441226002,0.5880767935331761
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,422,1004,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,2115,0.11917537418808247,0.2835357243716464,0.5972889014402711
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,410,1199,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,1356,0.13827993254637436,0.4043844856661046,0.4573355817875211
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,462,785,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,1852,0.14908034849951599,0.2533075185543724,0.5976121329461116
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,374,687,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,1337,0.1559633027522936,0.286488740617181,0.5575479566305255
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,490,932,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,1452,0.17049408489909534,0.3242867084203201,0.5052192066805845
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,438,1079,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,1018,0.1727810650887574,0.4256410256410256,0.40157790927021697
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,401,1012,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,2070,0.11513063451047947,0.29055412001148434,0.5943152454780362
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,454,749,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,2208,0.13309879800644972,0.2195836997947816,0.6473175021987687
