,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,303,1092,379,2692,1,0.8592124814264487,0.14078751857355126,1297,0.11255572065378901,0.40564635958395245,0.48179791976225855
342,Calvert,2653,Calvert Precinct 02-006,2176,373,895,477,2653,1,0.8202035431586883,0.17979645684131174,1385,0.14059555220505088,0.3373539389370524,0.5220505088578967
343,Calvert,3474,Calvert Precinct 02-008,2865,388,1055,609,3474,1,0.8246977547495682,0.17530224525043178,2031,0.11168681635002879,0.3036845135290731,0.5846286701208981
344,Calvert,3228,Calvert Precinct 03-003,2225,483,989,1003,3228,1,0.6892812887236679,0.3107187112763321,1756,0.1496282527881041,0.3063816604708798,0.5439900867410161
345,Calvert,1651,Calvert Precinct 02-007,1552,291,1103,99,1651,1,0.9400363416111448,0.05996365838885524,257,0.17625681405208965,0.6680799515445185,0.1556632344033919
346,Calvert,2880,Calvert Precinct 03-005,2457,564,1019,423,2880,1,0.853125,0.146875,1297,0.19583333333333333,0.35381944444444446,0.45034722222222223
347,Calvert,2230,Calvert Precinct 03-007,1946,385,1234,284,2230,1,0.8726457399103139,0.1273542600896861,611,0.1726457399103139,0.5533632286995516,0.27399103139013453
348,Calvert,3074,Calvert Precinct 03-004,2642,338,974,432,3074,1,0.8594664931685101,0.1405335068314899,1762,0.1099544567338972,0.31685100845803515,0.5731945348080677
349,Calvert,2683,Calvert Precinct 03-008,2217,560,1093,466,2683,1,0.8263138278046962,0.17368617219530377,1030,0.20872158032053673,0.4073797987327618,0.38389862094670146
385,Calvert,3560,Calvert Precinct 02-002,2532,463,960,1028,3560,1,0.7112359550561798,0.28876404494382024,2137,0.1300561797752809,0.2696629213483146,0.6002808988764045
386,Calvert,3011,Calvert Precinct 02-001,2414,465,1038,597,3011,1,0.8017270009963468,0.19827299900365328,1508,0.154433742942544,0.34473596811690466,0.5008302889405513
393,Calvert,2367,Calvert Precinct 03-006,2018,327,1125,349,2367,1,0.8525559780312632,0.1474440219687368,915,0.13814955640050697,0.4752851711026616,0.3865652724968314
902,Calvert,2365,Calvert Precinct 01-004,1979,373,960,386,2365,1,0.8367864693446089,0.16321353065539113,1032,0.15771670190274842,0.4059196617336152,0.43636363636363634
903,Calvert,2363,Calvert Precinct 02-004,1630,474,852,733,2363,1,0.6898011002962336,0.3101988997037664,1037,0.20059246720270843,0.36055861193398225,0.43884892086330934
904,Calvert,2969,Calvert Precinct 01-003,2481,332,891,488,2969,1,0.8356348939036713,0.16436510609632873,1746,0.11182216234422364,0.3001010441226002,0.5880767935331761
905,Calvert,3541,Calvert Precinct 01-006,2855,422,1004,686,3541,1,0.806269415419373,0.19373058458062695,2115,0.11917537418808247,0.2835357243716464,0.5972889014402711
906,Calvert,2965,Calvert Precinct 02-005,2571,410,1199,394,2965,1,0.8671163575042159,0.13288364249578416,1356,0.13827993254637436,0.4043844856661046,0.4573355817875211
907,Calvert,3099,Calvert Precinct 03-002,2465,462,785,634,3099,1,0.7954178767344304,0.20458212326556954,1852,0.14908034849951599,0.2533075185543724,0.5976121329461116
908,Calvert,2398,Calvert Precinct 03-001,2042,374,687,356,2398,1,0.8515429524603837,0.14845704753961636,1337,0.1559633027522936,0.286488740617181,0.5575479566305255
955,Calvert,2874,Calvert Precinct 01-001,2444,490,932,430,2874,1,0.8503827418232429,0.14961725817675714,1452,0.17049408489909534,0.3242867084203201,0.5052192066805845
956,Calvert,2535,Calvert Precinct 01-007,2065,438,1079,470,2535,1,0.814595660749507,0.1854043392504931,1018,0.1727810650887574,0.4256410256410256,0.40157790927021697
957,Calvert,3483,Calvert Precinct 01-005,2710,401,1012,773,3483,1,0.7780648865920183,0.22193511340798164,2070,0.11513063451047947,0.29055412001148434,0.5943152454780362
958,Calvert,3411,Calvert Precinct 01-002,2504,454,749,907,3411,1,0.7340955731457051,0.26590442685429494,2208,0.13309879800644972,0.2195836997947816,0.6473175021987687
