,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,43,11,24,9,45,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,2560,0.015973254086181277,0.004086181277860327,0.008915304606240713,0.0033432392273402673,0.016716196136701337,0.950965824665676
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,64,13,20,12,64,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,2480,0.02412363362231436,0.004900113079532605,0.007538635506973238,0.004523181304183943,0.02412363362231436,0.9347908028646815
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,76,15,27,13,79,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,3264,0.021876799078871616,0.004317789291882556,0.007772020725388601,0.003742084052964882,0.02274035693724813,0.9395509499136442
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,80,19,26,15,103,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,2985,0.024783147459727387,0.005885997521685254,0.0080545229244114,0.004646840148698885,0.03190830235439901,0.9247211895910781
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,53,8,38,14,75,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,1463,0.03210175651120533,0.004845548152634767,0.02301635372501514,0.008479709267110842,0.04542701393095094,0.886129618413083
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,114,12,32,11,96,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,2615,0.03958333333333333,0.004166666666666667,0.011111111111111112,0.0038194444444444443,0.03333333333333333,0.9079861111111112
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,88,16,21,11,70,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,2024,0.039461883408071746,0.007174887892376682,0.009417040358744395,0.004932735426008968,0.03139013452914798,0.9076233183856502
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,69,8,26,12,60,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,2899,0.022446324007807418,0.002602472348731295,0.008458035133376708,0.003903708523096942,0.01951854261548471,0.943070917371503
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,77,12,31,8,97,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,2458,0.0286992172940738,0.004472605292582929,0.011554230339172567,0.002981736861721953,0.03615355944837868,0.9161386507640701
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,69,14,21,11,81,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,3364,0.019382022471910114,0.003932584269662922,0.005898876404494382,0.003089887640449438,0.022752808988764046,0.9449438202247191
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,83,20,20,6,83,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,2799,0.027565592826303553,0.006642311524410495,0.006642311524410495,0.0019926934573231483,0.027565592826303553,0.9295914978412487
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,68,8,36,5,89,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,2161,0.0287283481199831,0.0033798056611744824,0.015209125475285171,0.0021123785382340513,0.03760033798056612,0.912970004224757
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,78,7,30,11,71,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,2168,0.03298097251585624,0.002959830866807611,0.012684989429175475,0.004651162790697674,0.030021141649048625,0.9167019027484143
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,81,17,32,12,90,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,2131,0.03427845958527296,0.007194244604316547,0.013542107490478206,0.0050782903089293275,0.03808717731696995,0.901819720694033
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,73,14,29,10,67,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,2776,0.024587403166049175,0.004715392388009431,0.009767598518019536,0.003368137420006736,0.02256652071404513,0.9349949477938699
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,76,13,35,10,78,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,3329,0.021462863597853713,0.0036712792996328723,0.009884213499011578,0.002824060999717594,0.02202767579779723,0.940129906805987
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,62,12,30,15,71,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,2775,0.0209106239460371,0.004047217537942664,0.01011804384485666,0.00505902192242833,0.023946037099494097,0.9359190556492412
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,76,9,36,19,85,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2874,0.02452404001290739,0.002904162633107454,0.011616650532429816,0.006131010003226848,0.027428202646014845,0.9273959341723137
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,75,11,26,10,73,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,2203,0.03127606338615513,0.0045871559633027525,0.010842368640533779,0.004170141784820684,0.030442035029190993,0.9186822351959967
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,107,32,36,21,109,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,2569,0.0372303409881698,0.011134307585247043,0.012526096033402923,0.007306889352818371,0.037926235212247736,0.8938761308281141
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,70,15,33,16,69,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,2332,0.027613412228796843,0.005917159763313609,0.01301775147928994,0.00631163708086785,0.027218934911242602,0.9199211045364891
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,82,16,30,12,52,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,3291,0.023542922767728968,0.004593741027849555,0.008613264427217916,0.0034453057708871662,0.014929658340511054,0.9448751076658053
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,68,11,23,14,81,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,3214,0.019935502785107008,0.0032248607446496626,0.0067428906479038405,0.004104368220463207,0.023746701846965697,0.9422456757549106
